Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5e-06,20.721334,[22 30] ; [201  70],[35.90092879 16.09907121] ; [187.09907121  83.90092879],1
n4,1,0.000102,15.093341,[27 26] ; [210  63],[38.53067485 14.46932515] ; [198.46932515  74.53067485],1
s5,1,0.009518,6.722949,[ 7 45] ; [ 82 181],[14.69206349 37.30793651] ; [ 74.30793651 188.69206349],0
r4,1,0.0255,4.989607,[41 12] ; [243  31],[46.03058104  6.96941896] ; [237.96941896  36.03058104],0
b1,1,0.045611,3.995897,[25 28] ; [ 90 184],[18.63914373 34.36085627] ; [ 96.36085627 177.63914373],0
a5,1,0.052168,3.770361,[29 24] ; [187  86],[35.11656442 17.88343558] ; [180.88343558  92.11656442],0
p10,1,0.065586,3.390181,[38 15] ; [223  47],[42.82662539 10.17337461] ; [218.17337461  51.82662539],0
u2,1,0.065879,3.38283,[16  6] ; [48 46],[12.13793103  9.86206897] ; [51.86206897 42.13793103],0
p9,1,0.069019,3.306199,[39 14] ; [226  43],[43.61801242  9.38198758] ; [221.38198758  47.61801242],0
r2,1,0.084944,2.967669,[45  8] ; [251  21],[48.27076923  4.72923077] ; [247.72923077  24.27076923],0
p3,1,0.094499,2.796009,[17 36] ; [121 151],[22.50461538 30.49538462] ; [115.49538462 156.50461538],0
v3,1,0.095945,2.771687,[ 9 43] ; [ 76 191],[13.85579937 38.14420063] ; [ 71.14420063 195.85579937],0
s6,1,0.119041,2.429898,[27 26] ; [166 100],[32.06583072 20.93416928] ; [160.93416928 105.06583072],0
b5,1,0.135916,2.223598,[33 20] ; [140 134],[28.03975535 24.96024465] ; [144.96024465 129.03975535],0
n2,1,0.137906,2.201166,[14  2] ; [47 21],[11.61904762  4.38095238] ; [49.38095238 18.61904762],0
u3,1,0.155306,2.019342,[14  8] ; [44 50],[11. 11.] ; [47. 47.],0
d2,1,0.156606,2.006698,[18 35] ; [121 151],[22.66769231 30.33230769] ; [116.33230769 155.66769231],0
s7,1,0.185078,1.756369,[17 32] ; [119 146],[21.22292994 27.77707006] ; [114.77707006 150.22292994],0
d1,1,0.187272,1.738947,[23 30] ; [146 128],[27.39143731 25.60856269] ; [141.60856269 132.39143731],0
v4,1,0.187855,1.734357,[47  6] ; [255  17],[49.24923077  3.75076923] ; [252.75076923  19.24923077],0
u4,1,0.193342,1.691969,[ 1 52] ; [  1 273],[ 0.32415902 52.67584098] ; [  1.67584098 272.32415902],0
b2,1,0.202735,1.622558,[ 6 24] ; [ 49 106],[ 8.91891892 21.08108108] ; [ 46.08108108 108.91891892],0
b3,1,0.202735,1.622558,[ 6 24] ; [ 49 106],[ 8.91891892 21.08108108] ; [ 46.08108108 108.91891892],0
r1,1,0.212939,1.551334,[35 17] ; [207  67],[38.60122699 13.39877301] ; [203.39877301  70.60122699],0
d5,1,0.221268,1.49613,[36 17] ; [208  66],[39.54740061 13.45259939] ; [204.45259939  69.54740061],0
p8,1,0.225692,1.467806,[22 30] ; [139 131],[26. 26.] ; [135. 135.],0
p7,1,0.241304,1.372958,[34 16] ; [158 109],[30.28391167 19.71608833] ; [161.71608833 105.28391167],0
a2,1,0.243139,1.362304,[ 7 46] ; [ 55 219],[10.04892966 42.95107034] ; [ 51.95107034 222.04892966],0
p1,1,0.251326,1.315919,[ 2 50] ; [ 23 248],[ 4.0247678 47.9752322] ; [ 20.9752322 250.0247678],0
p6,1,0.258724,1.275572,[12 40] ; [ 84 188],[15.40740741 36.59259259] ; [ 80.59259259 191.40740741],0
