Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.00368,8.435212,[5 1] ; [ 3 14],[2.08695652 3.91304348] ; [ 5.91304348 11.08695652],0
s6,1,0.004229,8.182667,[6 4] ; [ 3 21],[2.64705882 7.35294118] ; [ 6.35294118 17.64705882],0
d3,1,0.004229,8.182667,[6 4] ; [ 3 21],[2.64705882 7.35294118] ; [ 6.35294118 17.64705882],0
d4,1,0.006528,7.39848,[8 2] ; [ 7 17],[4.41176471 5.58823529] ; [10.58823529 13.41176471],0
r4,1,0.007186,7.225977,[4 6] ; [ 1 23],[1.47058824 8.52941176] ; [ 3.52941176 20.47058824],0
n5,1,0.013885,6.052747,[3 7] ; [18  6],[6.17647059 3.82352941] ; [14.82352941  9.17647059],0
v4,1,0.017112,5.684881,[9 1] ; [11 13],[5.88235294 4.11764706] ; [14.11764706  9.88235294],0
d1,1,0.027317,4.870635,[4 6] ; [ 2 22],[1.76470588 8.23529412] ; [ 4.23529412 19.76470588],0
p9,1,0.034562,4.466705,[7 3] ; [ 7 16],[4.24242424 5.75757576] ; [ 9.75757576 13.24242424],0
d5,1,0.051672,3.786364,[6 4] ; [ 6 18],[3.52941176 6.47058824] ; [ 8.47058824 15.52941176],0
n4,1,0.08364,2.992708,[3 7] ; [15  9],[5.29411765 4.70588235] ; [12.70588235 11.29411765],0
s8,1,0.104083,2.641839,[3 7] ; [ 2 22],[1.47058824 8.52941176] ; [ 3.52941176 20.47058824],0
n3,1,0.121335,2.4,[4 1] ; [6 9],[2.5 2.5] ; [7.5 7.5],0
v1,1,0.143886,2.135897,[4 6] ; [ 4 20],[2.35294118 7.64705882] ; [ 5.64705882 18.35294118],0
n1,1,0.17595,1.831502,[3 2] ; [ 4 11],[1.75 3.25] ; [5.25 9.75],0
s7,1,0.186122,1.748049,[3 6] ; [ 3 20],[1.6875 7.3125] ; [ 4.3125 18.6875],0
s4,1,0.222605,1.4875,[3 7] ; [ 3 21],[1.76470588 8.23529412] ; [ 4.23529412 19.76470588],0
p11,1,0.229948,1.441186,[1 9] ; [ 7 17],[2.35294118 7.64705882] ; [ 5.64705882 18.35294118],0
r1,1,0.246762,1.34154,[5 5] ; [ 7 17],[3.52941176 6.47058824] ; [ 8.47058824 15.52941176],0
u2,1,0.28255,1.154783,[4 2] ; [ 7 10],[2.86956522 3.13043478] ; [8.13043478 8.86956522],0
b5,1,0.329131,0.952315,[6 4] ; [10 14],[4.70588235 5.29411765] ; [11.29411765 12.70588235],0
s5,1,0.33602,0.925556,[2 8] ; [ 2 22],[1.17647059 8.82352941] ; [ 2.82352941 21.17647059],0
r2,1,0.340987,0.906718,[7 3] ; [12 11],[5.75757576 4.24242424] ; [13.24242424  9.75757576],0
p6,1,0.360505,0.836132,[2 8] ; [ 2 21],[1.21212121 8.78787879] ; [ 2.78787879 20.21212121],0
p3,1,0.380977,0.767549,[3 7] ; [ 4 20],[2.05882353 7.94117647] ; [ 4.94117647 19.05882353],0
p8,1,0.381768,0.765,[4 6] ; [ 6 18],[2.94117647 7.05882353] ; [ 7.05882353 16.94117647],0
a3,1,0.407016,0.6875,[4 5] ; [ 7 17],[3. 6.] ; [ 8. 16.],0
p4,1,0.421671,0.645652,[1 9] ; [ 5 18],[1.81818182 8.18181818] ; [ 4.18181818 18.81818182],0
a4,1,0.456511,0.554435,[1 8] ; [ 1 23],[0.54545455 8.45454545] ; [ 1.45454545 22.54545455],0
p10,1,0.561496,0.33712,[5 5] ; [ 9 14],[4.24242424 5.75757576] ; [ 9.75757576 13.24242424],0
s2,1,0.573687,0.316552,[2 8] ; [ 3 21],[1.47058824 8.52941176] ; [ 3.52941176 20.47058824],0
d2,1,0.580926,0.304741,[2 8] ; [ 7 17],[2.64705882 7.35294118] ; [ 6.35294118 17.64705882],0
a6,1,0.580926,0.304741,[2 8] ; [ 7 17],[2.64705882 7.35294118] ; [ 6.35294118 17.64705882],0
p2,1,0.594525,0.283333,[4 6] ; [12 12],[4.70588235 5.29411765] ; [11.29411765 12.70588235],0
b1,1,0.594525,0.283333,[6 4] ; [12 12],[5.29411765 4.70588235] ; [12.70588235 11.29411765],0
b3,1,0.603743,0.269388,[2 5] ; [6 9],[2.54545455 4.45454545] ; [5.45454545 9.54545455],0
b2,1,0.603743,0.269388,[2 5] ; [6 9],[2.54545455 4.45454545] ; [5.45454545 9.54545455],0
n2,1,0.605577,0.266667,[3 2] ; [7 8],[2.5 2.5] ; [7.5 7.5],0
v3,1,0.608503,0.26236,[2 8] ; [ 3 20],[1.51515152 8.48484848] ; [ 3.48484848 19.51515152],0
p7,1,0.642238,0.215828,[2 7] ; [ 7 16],[2.53125 6.46875] ; [ 6.46875 16.53125],0
b4,1,0.676701,0.173864,[7 3] ; [15  9],[6.47058824 3.52941176] ; [15.52941176  8.47058824],0
s3,1,0.796052,0.066801,[2 7] ; [ 4 18],[1.74193548 7.25806452] ; [ 4.25806452 17.74193548],0
p1,1,0.816297,0.053968,[2 8] ; [ 4 20],[1.76470588 8.23529412] ; [ 4.23529412 19.76470588],0
v2,1,0.862667,0.029922,[2 8] ; [ 5 17],[2.1875 7.8125] ; [ 4.8125 17.1875],0
a1,1,0.87594,0.024373,[1 9] ; [ 2 22],[0.88235294 9.11764706] ; [ 2.11764706 21.88235294],0
s1,1,0.87594,0.024373,[1 9] ; [ 2 22],[0.88235294 9.11764706] ; [ 2.11764706 21.88235294],0
n6,1,0.928308,0.008095,[4 6] ; [10 14],[4.11764706 5.88235294] ; [ 9.88235294 14.11764706],0
