Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3.7e-05,17.037023,[32 13] ; [33 64],[20.59859155 24.40140845] ; [44.40140845 52.59859155],1
n4,1,0.007507,7.14746,[38  8] ; [59 39],[30.98611111 15.01388889] ; [66.01388889 31.98611111],0
v1,1,0.027955,4.830839,[29 17] ; [43 56],[22.84137931 23.15862069] ; [49.15862069 49.84137931],0
p8,1,0.031489,4.626079,[23 22] ; [32 67],[17.1875 27.8125] ; [37.8125 61.1875],0
s8,1,0.066941,3.356481,[23 22] ; [35 65],[18. 27.] ; [40. 60.],0
b4,1,0.081107,3.042586,[31 15] ; [52 48],[26.15068493 19.84931507] ; [56.84931507 43.15068493],0
n5,1,0.135909,2.223683,[34 12] ; [60 38],[30.02777778 15.97222222] ; [63.97222222 34.02777778],0
r4,1,0.1372,2.209084,[41  5] ; [79 21],[37.80821918  8.19178082] ; [82.19178082 17.80821918],0
n2,1,0.144758,2.126641,[12  2] ; [24 13],[9.88235294 4.11764706] ; [26.11764706 10.88235294],0
p10,1,0.145221,2.12175,[33 13] ; [58 40],[29.06944444 16.93055556] ; [61.93055556 36.06944444],0
a5,1,0.148248,2.09019,[32 14] ; [57 43],[28.04109589 17.95890411] ; [60.95890411 39.04109589],0
s5,1,0.151753,2.054544,[19 24] ; [30 65],[15.26811594 27.73188406] ; [33.73188406 61.26811594],0
p12,1,0.16283,1.947747,[ 3 43] ; [ 2 98],[ 1.57534247 44.42465753] ; [ 3.42465753 96.57534247],0
s4,1,0.165215,1.925836,[ 7 38] ; [26 74],[10.24137931 34.75862069] ; [22.75862069 77.24137931],0
p3,1,0.168459,1.896607,[24 22] ; [40 60],[20.16438356 25.83561644] ; [43.83561644 56.16438356],0
d3,1,0.193131,1.693571,[35 11] ; [64 34],[31.625 14.375] ; [67.375 30.625],0
s2,1,0.209332,1.57604,[28 17] ; [51 49],[24.51724138 20.48275862] ; [54.48275862 45.51724138],0
