Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,4.9e-05,16.500023,[13  9] ; [21 94],[ 5.45985401 16.54014599] ; [28.54014599 86.45985401],1
s6,1,6.2e-05,16.052368,[18  4] ; [41 74],[ 9.47445255 12.52554745] ; [49.52554745 65.47445255],1
s7,1,0.001499,10.08,[12  9] ; [24 81],[ 6. 15.] ; [30. 75.],0
s2,1,0.001644,9.909829,[13  8] ; [31 84],[ 6.79411765 14.20588235] ; [37.20588235 77.79411765],0
p12,1,0.016327,5.767305,[ 2 20] ; [  1 113],[ 0.48529412 21.51470588] ; [  2.51470588 111.48529412],0
s3,1,0.020152,5.398661,[15  6] ; [50 64],[10.11111111 10.88888889] ; [54.88888889 59.11111111],0
d4,1,0.02982,4.719654,[20  2] ; [77 36],[15.80740741  6.19259259] ; [81.19259259 31.80740741],0
d3,1,0.0548,3.688175,[17  5] ; [63 51],[12.94117647  9.05882353] ; [67.05882353 46.94117647],0
d1,1,0.057846,3.598087,[13  9] ; [43 72],[ 8.99270073 13.00729927] ; [47.00729927 67.99270073],0
v1,1,0.067799,3.335509,[11  9] ; [38 75],[ 7.36842105 12.63157895] ; [41.63157895 71.36842105],0
a4,1,0.07051,3.271118,[ 4 18] ; [44 71],[ 7.7080292 14.2919708] ; [40.2919708 74.7080292],0
p2,1,0.093441,2.814071,[17  5] ; [67 48],[13.48905109  8.51094891] ; [70.51094891 44.48905109],0
s4,1,0.128885,2.305885,[ 4 18] ; [  9 106],[ 2.08759124 19.91240876] ; [ 10.91240876 104.08759124],0
u2,1,0.138636,2.193035,[6 1] ; [23 18],[4.22916667 2.77083333] ; [24.77083333 16.22916667],0
p5,1,0.143619,2.138746,[ 2 20] ; [  3 110],[ 0.81481481 21.18518519] ; [  4.18518519 108.81481481],0
p9,1,0.169254,1.88954,[16  6] ; [65 49],[13.10294118  8.89705882] ; [67.89705882 46.10294118],0
d2,1,0.214885,1.538204,[11 11] ; [41 73],[ 8.41176471 13.58823529] ; [43.58823529 70.41176471],0
p10,1,0.241069,1.374333,[14  8] ; [57 57],[11.48529412 10.51470588] ; [59.51470588 54.48529412],0
v2,1,0.261721,1.259633,[11 11] ; [39 66],[ 8.66141732 13.33858268] ; [41.33858268 63.66141732],0
d5,1,0.291841,1.111107,[17  5] ; [75 39],[14.88235294  7.11764706] ; [77.11764706 36.88235294],0
a6,1,0.314528,1.011566,[12 10] ; [75 39],[14.07352941  7.92647059] ; [72.92647059 41.07352941],0
p3,1,0.323925,0.973034,[ 8 14] ; [30 85],[ 6.10218978 15.89781022] ; [31.89781022 83.10218978],0
r2,1,0.353034,0.862521,[19  2] ; [93 20],[17.55223881  3.44776119] ; [94.44776119 18.55223881],0
n3,1,0.358795,0.842105,[5 5] ; [25 13],[6.25 3.75] ; [23.75 14.25],0
a2,1,0.375414,0.785667,[ 2 20] ; [19 96],[ 3.37226277 18.62773723] ; [17.62773723 97.37226277],0
v3,1,0.381555,0.765687,[ 4 17] ; [30 76],[ 5.62204724 15.37795276] ; [28.37795276 77.62204724],0
p4,1,0.394481,0.725085,[ 9 13] ; [36 78],[ 7.27941176 14.72058824] ; [37.72058824 76.27941176],0
u3,1,0.519172,0.415538,[5 2] ; [24 17],[4.22916667 2.77083333] ; [24.77083333 16.22916667],0
n1,1,0.52321,0.407562,[3 7] ; [16 23],[3.87755102 6.12244898] ; [15.12244898 23.87755102],0
p8,1,0.525025,0.404012,[ 5 16] ; [35 79],[ 6.22222222 14.77777778] ; [33.77777778 80.22222222],0
p7,1,0.525197,0.403676,[10 11] ; [45 67],[ 8.68421053 12.31578947] ; [46.31578947 65.68421053],0
r3,1,0.531144,0.392202,[18  4] ; [87 28],[16.86131387  5.13868613] ; [88.13868613 26.86131387],0
b4,1,0.536053,0.382904,[14  8] ; [65 50],[12.68613139  9.31386861] ; [66.31386861 48.68613139],0
a8,1,0.542622,0.370702,[ 3 19] ; [10 97],[ 2.21705426 19.78294574] ; [10.78294574 96.21705426],0
p1,1,0.581592,0.303668,[ 1 21] ; [  9 105],[ 1.61764706 20.38235294] ; [  8.38235294 105.61764706],0
b3,1,0.586383,0.296028,[ 5 11] ; [17 52],[ 4.14117647 11.85882353] ; [17.85882353 51.14117647],0
b2,1,0.586383,0.296028,[ 5 11] ; [17 52],[ 4.14117647 11.85882353] ; [17.85882353 51.14117647],0
p11,1,0.602059,0.271901,[13  9] ; [61 54],[11.88321168 10.11678832] ; [62.11678832 52.88321168],0
n2,1,0.658531,0.195312,[7 3] ; [25 15],[6.4 3.6] ; [25.6 14.4],0
v4,1,0.666424,0.185813,[18  4] ; [87 25],[17.23880597  4.76119403] ; [87.76119403 24.23880597],0
b1,1,0.668617,0.183224,[12 10] ; [57 58],[11.08029197 10.91970803] ; [57.91970803 57.08029197],0
a5,1,0.673241,0.177834,[15  7] ; [73 42],[14.13138686  7.86861314] ; [73.86861314 41.13138686],0
a3,1,0.709424,0.138853,[15  7] ; [73 41],[14.23529412  7.76470588] ; [73.76470588 40.23529412],0
r1,1,0.744062,0.106588,[15  6] ; [78 37],[14.36029412  6.63970588] ; [78.63970588 36.36029412],0
n5,1,0.771189,0.084576,[10 12] ; [48 66],[ 9.38235294 12.61764706] ; [48.61764706 65.38235294],0
a7,1,0.788435,0.072008,[15  7] ; [75 40],[14.45255474  7.54744526] ; [75.54744526 39.45255474],0
