Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,71.985734,[255  33] ; [21 33],[232.42105263  55.57894737] ; [43.57894737 10.42105263],1
n6,1,0.0,54.208837,[269  20] ; [30 23],[252.66374269  36.33625731] ; [46.33625731  6.66374269],1
a3,1,0.000684,11.533072,[244  45] ; [35 19],[235.07580175  53.92419825] ; [43.92419825 10.07580175],1
a5,1,0.001434,10.162138,[246  44] ; [36 18],[237.73255814  52.26744186] ; [44.26744186  9.73255814],0
p11,1,0.0015,10.078193,[242  48] ; [35 19],[233.51744186  56.48255814] ; [43.48255814 10.51744186],0
s4,1,0.002139,9.425941,[ 49 239] ; [19 35],[ 57.26315789 230.73684211] ; [10.73684211 43.26315789],0
p2,1,0.006333,7.45316,[251  38] ; [39 15],[244.34402332  44.65597668] ; [45.65597668  8.34402332],0
v3,1,0.006563,7.388943,[147 131] ; [16 34],[138.15243902 139.84756098] ; [24.84756098 25.15243902],0
p4,1,0.008163,6.997394,[203  86] ; [28 26],[194.63265306  94.36734694] ; [36.36734694 17.63265306],0
a8,1,0.008489,6.927315,[ 49 211] ; [ 2 49],[ 42.63665595 217.36334405] ; [ 8.36334405 42.63665595],0
a4,1,0.012519,6.235877,[161 129] ; [20 34],[152.5872093 137.4127907] ; [28.4127907 25.5872093],0
p7,1,0.017377,5.657846,[202  80] ; [28 23],[194.77477477  87.22522523] ; [35.22522523 15.77477477],0
r1,1,0.020647,5.356372,[253  35] ; [41 13],[247.57894737  40.42105263] ; [46.42105263  7.57894737],0
s7,1,0.028547,4.794712,[217  60] ; [32 18],[210.9266055  66.0733945] ; [38.0733945 11.9266055],0
d4,1,0.032388,4.577832,[268  22] ; [45  9],[263.86627907  26.13372093] ; [49.13372093  4.86627907],0
p5,1,0.033933,4.498055,[ 49 238] ; [ 3 50],[ 43.89411765 243.10588235] ; [ 8.10588235 44.89411765],0
p1,1,0.046021,3.980828,[ 20 269] ; [ 8 45],[ 23.66081871 265.33918129] ; [ 4.33918129 48.66081871],0
d2,1,0.049481,3.858967,[186 104] ; [27 27],[179.56395349 110.43604651] ; [33.43604651 20.56395349],0
u1,1,0.053749,3.720489,[ 79 211] ; [ 8 46],[ 73.34302326 216.65697674] ; [13.65697674 40.34302326],0
p6,1,0.053793,3.719106,[141 144] ; [19 35],[134.51327434 150.48672566] ; [25.48672566 28.51327434],0
d1,1,0.056242,3.64489,[228  62] ; [36 18],[222.55813953  67.44186047] ; [41.44186047 12.55813953],0
a2,1,0.062927,3.45851,[ 90 200] ; [10 44],[ 84.30232558 205.69767442] ; [15.69767442 38.30232558],0
u3,1,0.090133,2.871999,[32 14] ; [17  2],[34.67692308 11.32307692] ; [14.32307692  4.67692308],0
p8,1,0.176371,1.827944,[165 119] ; [26 28],[160.4852071 123.5147929] ; [30.5147929 23.4852071],0
p12,1,0.204416,1.610538,[ 33 254] ; [ 3 50],[ 30.38823529 256.61176471] ; [ 5.61176471 47.38823529],0
