Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,126.739385,[596  13] ; [29 18],[580.22103659  28.77896341] ; [44.77896341  2.22103659],1
r1,1,0.0,95.803314,[516  95] ; [14 37],[489.16918429 121.83081571] ; [40.83081571 10.16918429],1
r3,1,0.0,69.560341,[601  11] ; [37 12],[590.70499244  21.29500756] ; [47.29500756  1.70499244],1
v4,1,0.0,67.547373,[601  12] ; [36 12],[590.74281392  22.25718608] ; [46.25718608  1.74281392],1
s6,1,0.00021,13.737388,[436 163] ; [24 26],[424.56086287 174.43913713] ; [35.43913713 14.56086287],1
p7,1,0.000236,13.517442,[413 189] ; [21 28],[401.33333333 200.66666667] ; [32.66666667 16.33333333],1
a7,1,0.00046,12.272506,[455 156] ; [27 25],[444.19607843 166.80392157] ; [37.80392157 14.19607843],1
d1,1,0.004555,8.048315,[382 231] ; [22 30],[372.40902256 240.59097744] ; [31.59097744 20.40902256],0
s5,1,0.005797,7.6124,[228 360] ; [ 9 39],[219.11320755 368.88679245] ; [17.88679245 30.11320755],0
v2,1,0.006034,7.540131,[354 237] ; [19 29],[344.98122066 246.01877934] ; [28.01877934 19.98122066],0
v1,1,0.012264,6.272311,[348 250] ; [19 29],[339.73065015 258.26934985] ; [27.26934985 20.73065015],0
n4,1,0.013194,6.142912,[508 104] ; [36 16],[501.39759036 110.60240964] ; [42.60240964  9.39759036],0
a3,1,0.013245,6.136062,[456 154] ; [30 21],[448.50226929 161.49773071] ; [37.49773071 13.50226929],0
p8,1,0.013297,6.129157,[351 253] ; [21 31],[342.51219512 261.48780488] ; [29.48780488 22.51219512],0
p10,1,0.015924,5.811223,[570  42] ; [41  8],[565.7065053  46.2934947] ; [45.2934947  3.7065053],0
a6,1,0.017601,5.635453,[427 185] ; [28 24],[419.36746988 192.63253012] ; [35.63253012 16.36746988],0
v3,1,0.022315,5.22104,[252 340] ; [13 37],[244.36137072 347.63862928] ; [20.63862928 29.36137072],0
s2,1,0.02303,5.166227,[333 276] ; [19 31],[325.29286798 283.70713202] ; [26.70713202 23.29286798],0
d3,1,0.040316,4.204552,[436 176] ; [30 22],[429.5060241 182.4939759] ; [36.4939759 15.5060241],0
u2,1,0.040447,4.199048,[86 70] ; [ 7 15],[81.50561798 74.49438202] ; [11.49438202 10.50561798],0
u3,1,0.040547,4.194838,[89 67] ; [ 7 14],[84.61016949 71.38983051] ; [11.38983051  9.61016949],0
a8,1,0.041262,4.165214,[ 86 473] ; [ 2 44],[ 81.30909091 477.69090909] ; [ 6.69090909 39.30909091],0
s3,1,0.044379,4.042079,[356 251] ; [21 27],[349.37251908 257.62748092] ; [27.62748092 20.37251908],0
a2,1,0.045949,3.983459,[159 454] ; [ 7 45],[153.01954887 459.98045113] ; [12.98045113 39.01954887],0
s8,1,0.049688,3.851967,[303 308] ; [18 33],[296.27039275 314.72960725] ; [24.72960725 26.27039275],0
s7,1,0.083839,2.988856,[316 273] ; [20 29],[310.19435737 278.80564263] ; [25.80564263 23.19435737],0
