Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,123.902741,[242   4] ; [10 16],[227.91176471  18.08823529] ; [24.08823529  1.91176471],1
p11,1,0.0,31.992028,[223  23] ; [14 13],[213.56043956  32.43956044] ; [23.43956044  3.56043956],1
n5,1,4e-06,21.134713,[217  28] ; [15 12],[208.97058824  36.02941176] ; [23.02941176  3.97058824],1
p3,1,0.000144,14.445525,[171  74] ; [ 9 18],[162.13235294  82.86764706] ; [17.86764706  9.13235294],1
s5,1,0.006336,7.452123,[112 125] ; [ 5 21],[105.43346008 131.56653992] ; [11.56653992 14.43346008],0
r4,1,0.016221,5.77873,[236  10] ; [23  4],[233.38461538  12.61538462] ; [25.61538462  1.38461538],0
p4,1,0.025932,4.960565,[199  46] ; [17 10],[194.55882353  50.44117647] ; [21.44117647  5.55882353],0
p2,1,0.026152,4.94595,[230  16] ; [22  5],[227.07692308  18.92307692] ; [24.92307692  2.07692308],0
r2,1,0.031686,4.615385,[236   7] ; [24  3],[234.   9.] ; [26.  1.],0
n6,1,0.033235,4.533648,[221  22] ; [21  6],[217.8  25.2] ; [24.2  2.8],0
n4,1,0.037024,4.349294,[211  35] ; [19  8],[207.25274725  38.74725275] ; [22.74725275  4.25274725],0
p7,1,0.041378,4.160481,[207  35] ; [19  8],[203.31598513  38.68401487] ; [22.68401487  4.31598513],0
b3,1,0.05612,3.648489,[76 83] ; [ 4 13],[72.27272727 86.72727273] ; [7.72727273 9.27272727],0
b2,1,0.05612,3.648489,[76 83] ; [ 4 13],[72.27272727 86.72727273] ; [7.72727273 9.27272727],0
s8,1,0.06769,3.338171,[139 104] ; [10 16],[134.59851301 108.40148699] ; [14.40148699 11.59851301],0
r3,1,0.072943,3.215529,[237   9] ; [24  3],[235.18681319  10.81318681] ; [25.81318681  1.18681319],0
a6,1,0.074366,3.183924,[157  87] ; [22  5],[161.16605166  82.83394834] ; [17.83394834  9.16605166],0
p5,1,0.082113,3.022566,[ 53 193] ; [ 2 25],[ 49.56043956 196.43956044] ; [ 5.43956044 21.56043956],0
n1,1,0.086479,2.938722,[18 15] ; [7 1],[20.12195122 12.87804878] ; [4.87804878 3.12195122],0
v4,1,0.095823,2.773723,[239   5] ; [25  2],[237.69741697   6.30258303] ; [26.30258303  0.69741697],0
u2,1,0.102723,2.662748,[33 24] ; [3 7],[30.62686567 26.37313433] ; [5.37313433 4.62686567],0
b5,1,0.10885,2.570842,[143 103] ; [20  7],[146.87912088  99.12087912] ; [16.12087912 10.87912088],0
p12,1,0.146886,2.104294,[ 33 213] ; [ 1 26],[ 30.63736264 215.36263736] ; [ 3.36263736 23.63736264],0
d3,1,0.159377,1.98013,[178  67] ; [23  4],[181.04779412  63.95220588] ; [19.95220588  7.04779412],0
d1,1,0.166645,1.912865,[169  77] ; [15 12],[165.8021978  80.1978022] ; [18.1978022  8.8021978],0
u3,1,0.168485,1.896374,[36 21] ; [4 6],[34.02985075 22.97014925] ; [5.97014925 4.02985075],0
a3,1,0.168736,1.894135,[189  55] ; [17  9],[186.16296296  57.83703704] ; [19.83703704  6.16296296],0
s6,1,0.19431,1.684633,[175  63] ; [16 10],[172.18939394  65.81060606] ; [18.81060606  7.18939394],0
b4,1,0.219017,1.5108,[143 103] ; [19  8],[145.97802198 100.02197802] ; [16.02197802 10.97802198],0
s2,1,0.22024,1.502805,[134 110] ; [11 15],[131.03703704 112.96296296] ; [13.96296296 12.03703704],0
u4,1,0.27523,1.190491,[  8 238] ; [ 2 25],[  9.01098901 236.98901099] ; [ 0.98901099 26.01098901],0
a2,1,0.286274,1.137062,[ 59 187] ; [ 9 18],[ 61.27472527 184.72527473] ; [ 6.72527473 20.27472527],0
b1,1,0.295177,1.09586,[ 93 153] ; [13 14],[ 95.51648352 150.48351648] ; [10.48351648 16.51648352],0
v3,1,0.336801,0.92257,[135 106] ; [12 14],[132.68539326 108.31460674] ; [14.31460674 11.68539326],0
d4,1,0.360213,0.83715,[214  30] ; [22  5],[212.48708487  31.51291513] ; [23.51291513  3.48708487],0
p1,1,0.371963,0.797097,[ 33 212] ; [ 2 25],[ 31.52573529 213.47426471] ; [ 3.47426471 23.52573529],0
d5,1,0.374068,0.790106,[206  38] ; [21  6],[204.38376384  39.61623616] ; [22.61623616  4.38376384],0
p6,1,0.508424,0.43731,[134 110] ; [12 13],[132.43122677 111.56877323] ; [13.56877323 11.43122677],0
