Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,35.209344,[20 34] ; [81 15],[36.36 17.64] ; [64.64 31.36],1
r1,1,0.001364,10.254477,[33 21] ; [81 15],[41.04 12.96] ; [72.96 23.04],0
p11,1,0.003462,8.546402,[32 22] ; [78 18],[39.6 14.4] ; [70.4 25.6],0
p3,1,0.00594,7.568406,[20 34] ; [58 38],[28.08 25.92] ; [49.92 46.08],0
p4,1,0.010186,6.602045,[25 29] ; [65 31],[32.4 21.6] ; [57.6 38.4],0
a2,1,0.019119,5.490643,[ 5 49] ; [24 72],[10.44 43.56] ; [18.56 77.44],0
n6,1,0.019337,5.470749,[39 14] ; [85 11],[44.10738255  8.89261745] ; [79.89261745 16.10738255],0
v1,1,0.023584,5.124936,[19 34] ; [53 43],[25.61073826 27.38926174] ; [46.38926174 49.61073826],0
a5,1,0.025769,4.971425,[31 23] ; [72 24],[37.08 16.92] ; [65.92 30.08],0
p5,1,0.026085,4.950402,[ 1 53] ; [12 84],[ 4.68 49.32] ; [ 8.32 87.68],0
u1,1,0.026573,4.918338,[ 5 49] ; [23 73],[10.08 43.92] ; [17.92 78.08],0
s8,1,0.030471,4.682499,[21 33] ; [55 41],[27.36 26.64] ; [48.64 47.36],0
p10,1,0.037738,4.316793,[40 13] ; [85 11],[44.46308725  8.53691275] ; [80.53691275 15.46308725],0
p8,1,0.037918,4.308695,[21 32] ; [54 40],[27.04081633 25.95918367] ; [47.95918367 46.04081633],0
p9,1,0.04539,4.004072,[41 11] ; [87  9],[44.97297297  7.02702703] ; [83.02702703 12.97297297],0
a3,1,0.051888,3.779383,[31 23] ; [70 26],[36.36 17.64] ; [64.64 31.36],0
s7,1,0.056539,3.636112,[25 26] ; [62 33],[30.39041096 20.60958904] ; [56.60958904 38.39041096],0
p12,1,0.080328,3.058259,[ 1 52] ; [ 9 87],[ 3.55704698 49.44295302] ; [ 6.44295302 89.55704698],0
r4,1,0.083476,2.995886,[46  8] ; [90  6],[48.96  5.04] ; [87.04  8.96],0
n3,1,0.096519,2.762148,[15  8] ; [15  2],[17.25  5.75] ; [12.75  4.25],0
b3,1,0.097684,2.74295,[ 9 18] ; [ 9 44],[ 6.075 20.925] ; [11.925 41.075],0
b2,1,0.097684,2.74295,[ 9 18] ; [ 9 44],[ 6.075 20.925] ; [11.925 41.075],0
v4,1,0.113522,2.504491,[50  4] ; [93  2],[51.82550336  2.17449664] ; [91.17449664  3.82550336],0
a4,1,0.135625,2.226906,[18 36] ; [44 52],[22.32 31.68] ; [39.68 56.32],0
p2,1,0.200132,1.641414,[39 15] ; [78 18],[42.12 11.88] ; [74.88 21.12],0
b4,1,0.2113,1.5625,[36 18] ; [54 42],[32.4 21.6] ; [57.6 38.4],0
d1,1,0.216541,1.527149,[27 27] ; [58 38],[30.6 23.4] ; [54.4 41.6],0
p1,1,0.251749,1.313572,[ 7 47] ; [ 7 89],[ 5.04 48.96] ; [ 8.96 87.04],0
a6,1,0.25866,1.275917,[31 23] ; [64 32],[34.2 19.8] ; [60.8 35.2],0
b1,1,0.273056,1.201331,[16 38] ; [37 59],[19.08 34.92] ; [33.92 62.08],0
p7,1,0.283533,1.150079,[31 21] ; [65 30],[33.95918367 18.04081633] ; [62.04081633 32.95918367],0
s1,1,0.308588,1.036711,[ 1 53] ; [ 5 90],[ 2.17449664 51.82550336] ; [ 3.82550336 91.17449664],0
d2,1,0.332398,0.939532,[22 32] ; [47 49],[24.84 29.16] ; [44.16 51.84],0
s3,1,0.355036,0.855375,[37 17] ; [71 23],[39.40540541 14.59459459] ; [68.59459459 25.40540541],0
d4,1,0.36419,0.823394,[45  9] ; [74 22],[42.84 11.16] ; [76.16 19.84],0
u3,1,0.389581,0.740248,[16  7] ; [15 11],[14.55102041  8.44897959] ; [16.44897959  9.55102041],0
b5,1,0.435379,0.608431,[35 19] ; [56 40],[32.76 21.24] ; [58.24 37.76],0
p6,1,0.465149,0.533477,[20 34] ; [41 54],[22.10738255 31.89261745] ; [38.89261745 56.10738255],0
u2,1,0.489795,0.476977,[12 11] ; [11 15],[10.79591837 12.20408163] ; [12.20408163 13.79591837],0
r2,1,0.50529,0.443809,[52  2] ; [90  6],[51.12  2.88] ; [90.88  5.12],0
a7,1,0.526917,0.400333,[38 15] ; [64 32],[36.28187919 16.71812081] ; [65.71812081 30.28187919],0
n2,1,0.527447,0.399307,[17  6] ; [14  3],[17.825  5.175] ; [13.175  3.825],0
v3,1,0.529042,0.396231,[14 38] ; [30 64],[15.67123288 36.32876712] ; [28.32876712 65.67123288],0
v2,1,0.572715,0.318161,[23 28] ; [47 47],[24.62068966 26.37931034] ; [45.37931034 48.62068966],0
a1,1,0.64224,0.215825,[ 1 53] ; [ 3 93],[ 1.44 52.56] ; [ 2.56 93.44],0
s2,1,0.650666,0.205062,[37 17] ; [67 26],[38.20408163 15.79591837] ; [65.79591837 27.20408163],0
d3,1,0.734119,0.115364,[40 13] ; [70 26],[39.12751678 13.87248322] ; [70.87248322 25.12751678],0
n1,1,0.745657,0.105216,[ 7 16] ; [ 6 11],[ 7.475 15.525] ; [ 5.525 11.475],0
d5,1,0.888391,0.019695,[42 11] ; [77 19],[42.32885906 10.67114094] ; [76.67114094 19.32885906],0
s6,1,0.894514,0.017581,[45  8] ; [78 13],[45.27083333  7.72916667] ; [77.72916667 13.27083333],0
s5,1,0.94439,0.004866,[27 24] ; [45 41],[26.80291971 24.19708029] ; [45.19708029 40.80291971],0
