Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000242,13.472828,[95  9] ; [37 17],[86.88607595 17.11392405] ; [45.11392405  8.88607595],1
n5,1,0.000521,12.037866,[63 41] ; [17 37],[52.65822785 51.34177215] ; [27.34177215 26.65822785],1
u1,1,0.003905,8.327666,[25 79] ; [ 3 51],[18.43037975 85.56962025] ; [ 9.56962025 44.43037975],0
s7,1,0.009163,6.790686,[44 55] ; [11 38],[36.79054054 62.20945946] ; [18.20945946 30.79054054],0
s8,1,0.017906,5.605356,[33 69] ; [ 8 46],[26.80769231 75.19230769] ; [14.19230769 39.80769231],0
d1,1,0.026704,4.909843,[69 35] ; [26 28],[62.53164557 41.46835443] ; [32.46835443 21.53164557],0
s6,1,0.031413,4.630243,[60 42] ; [22 32],[53.61538462 48.38461538] ; [28.38461538 25.61538462],0
n4,1,0.034049,4.492219,[70 34] ; [27 27],[63.84810127 40.15189873] ; [33.15189873 20.84810127],0
r2,1,0.042128,4.130048,[94  8] ; [43 10],[90.15483871 11.84516129] ; [46.84516129  6.15483871],0
p4,1,0.052007,3.77555,[47 56] ; [16 38],[41.33121019 61.66878981] ; [21.66878981 32.33121019],0
p11,1,0.057659,3.603466,[57 47] ; [21 33],[51.34177215 52.65822785] ; [26.65822785 27.34177215],0
r3,1,0.070579,3.269498,[95  9] ; [44 10],[91.49367089 12.50632911] ; [47.50632911  6.49367089],0
r4,1,0.094932,2.78869,[82 22] ; [36 18],[77.67088608 26.32911392] ; [40.32911392 13.67088608],0
d2,1,0.122126,2.389845,[61 42] ; [25 29],[56.42038217 46.57961783] ; [29.57961783 24.42038217],0
u2,1,0.122823,2.380952,[15 20] ; [10  5],[17.5 17.5] ; [7.5 7.5],0
p8,1,0.150899,2.063136,[36 66] ; [13 41],[32.03846154 69.96153846] ; [16.96153846 37.03846154],0
s2,1,0.155696,2.015537,[42 60] ; [16 38],[37.92307692 64.07692308] ; [20.07692308 33.92307692],0
v3,1,0.174351,1.845129,[33 68] ; [11 39],[29.43046358 71.56953642] ; [14.56953642 35.43046358],0
b5,1,0.227263,1.45791,[68 36] ; [30 24],[64.50632911 39.49367089] ; [33.49367089 20.50632911],0
d3,1,0.238125,1.391662,[75 29] ; [34 20],[71.74683544 32.25316456] ; [37.25316456 16.74683544],0
p6,1,0.249512,1.326035,[28 73] ; [10 42],[25.08496732 75.91503268] ; [12.91503268 39.08496732],0
a6,1,0.326473,0.962838,[61 43] ; [36 18],[63.84810127 40.15189873] ; [33.15189873 20.84810127],0
s3,1,0.354822,0.856136,[44 58] ; [27 26],[46.72258065 55.27741935] ; [24.27741935 28.72258065],0
u4,1,0.356534,0.850063,[ 5 99] ; [ 1 53],[  3.94936709 100.05063291] ; [ 2.05063291 51.94936709],0
p3,1,0.370512,0.801946,[30 74] ; [19 34],[32.45859873 71.54140127] ; [16.54140127 36.45859873],0
n2,1,0.388001,0.745197,[25 12] ; [13 10],[23.43333333 13.56666667] ; [14.56666667  8.43333333],0
s5,1,0.397281,0.716541,[23 76] ; [ 9 43],[20.98013245 78.01986755] ; [11.01986755 40.98013245],0
a2,1,0.428079,0.62803,[25 79] ; [10 44],[23.03797468 80.96202532] ; [11.96202532 42.03797468],0
b1,1,0.432078,0.617233,[49 55] ; [29 25],[51.34177215 52.65822785] ; [26.65822785 27.34177215],0
p7,1,0.465668,0.532237,[42 60] ; [19 35],[39.88461538 62.11538462] ; [21.11538462 32.88461538],0
a4,1,0.4776,0.504339,[50 53] ; [23 31],[47.89171975 55.10828025] ; [25.10828025 28.89171975],0
p5,1,0.497007,0.461322,[  4 100] ; [ 1 53],[  3.29113924 100.70886076] ; [ 1.70886076 52.29113924],0
a3,1,0.500933,0.45296,[67 36] ; [38 16],[68.88535032 34.11464968] ; [36.11464968 17.88535032],0
b2,1,0.51953,0.414826,[24 41] ; [11 25],[22.52475248 42.47524752] ; [12.47524752 23.52475248],0
b3,1,0.51953,0.414826,[24 41] ; [11 25],[22.52475248 42.47524752] ; [12.47524752 23.52475248],0
v2,1,0.582464,0.302268,[49 53] ; [23 30],[47.38064516 54.61935484] ; [24.61935484 28.38064516],0
a8,1,0.597365,0.278988,[10 83] ; [ 4 46],[ 9.1048951 83.8951049] ; [ 4.8951049 45.1048951],0
s1,1,0.602481,0.27127,[  4 100] ; [ 3 50],[ 4.63694268 99.36305732] ; [ 2.36305732 50.63694268],0
a5,1,0.6067,0.265008,[67 37] ; [37 17],[68.4556962 35.5443038] ; [35.5443038 18.4556962],0
p2,1,0.614962,0.253012,[64 40] ; [31 23],[62.53164557 41.46835443] ; [32.46835443 21.53164557],0
s4,1,0.639705,0.219128,[14 87] ; [ 9 45],[14.98709677 86.01290323] ; [ 8.01290323 45.98709677],0
p9,1,0.661684,0.191484,[38 60] ; [19 35],[36.75 61.25] ; [20.25 33.75],0
d5,1,0.730787,0.11839,[87 17] ; [44 10],[86.2278481 17.7721519] ; [44.7721519  9.2278481],0
a7,1,0.742393,0.108034,[72 32] ; [36 18],[71.08860759 32.91139241] ; [36.91139241 17.08860759],0
a1,1,0.773532,0.082805,[ 7 97] ; [ 3 51],[ 6.58227848 97.41772152] ; [ 3.41772152 50.58227848],0
r1,1,0.84613,0.037659,[74 29] ; [38 16],[73.47770701 29.52229299] ; [38.52229299 15.47770701],0
b4,1,0.872534,0.025741,[63 41] ; [32 22],[62.53164557 41.46835443] ; [32.46835443 21.53164557],0
v1,1,0.89052,0.018946,[40 61] ; [22 32],[40.4 60.6] ; [21.6 32.4],0
n3,1,0.927837,0.008202,[22 16] ; [13  9],[22.16666667 15.83333333] ; [12.83333333  9.16666667],0
p1,1,0.966636,0.00175,[ 6 97] ; [ 3 50],[ 5.94230769 97.05769231] ; [ 3.05769231 49.94230769],0
u3,1,0.97274,0.001168,[21 16] ; [9 7],[20.94339623 16.05660377] ; [9.05660377 6.94339623],0
n1,1,0.977768,0.000777,[15 22] ; [ 9 13],[15.05084746 21.94915254] ; [ 8.94915254 13.05084746],0
