Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,87.521822,[281  45] ; [10 32],[257.78804348  68.21195652] ; [33.21195652  8.78804348],1
r3,1,0.0,68.728602,[300  25] ; [19 22],[283.26502732  41.73497268] ; [35.73497268  5.26502732],1
r2,1,0.0,51.171332,[301  23] ; [22 18],[287.50549451  36.49450549] ; [35.49450549  4.50549451],1
p2,1,0.0,33.449156,[247  77] ; [14 28],[231.04918033  92.95081967] ; [29.95081967 12.04918033],1
r1,1,0.0,30.6931,[242  81] ; [14 28],[226.54246575  96.45753425] ; [29.45753425 12.54246575],1
p10,1,1e-06,24.073588,[233  90] ; [14 27],[219.17857143 103.82142857] ; [27.82142857 13.17857143],1
n6,1,1e-06,23.658752,[257  69] ; [18 23],[244.27792916  81.72207084] ; [30.72207084 10.27792916],1
p11,1,2e-06,22.676703,[241  85] ; [16 26],[227.66847826  98.33152174] ; [29.33152174 12.66847826],1
p9,1,3.1e-05,17.357442,[241  80] ; [18 23],[229.66574586  91.33425414] ; [29.33425414 11.66574586],1
u3,1,6.4e-05,15.968012,[74 57] ; [ 2 19],[65.5 65.5] ; [10.5 10.5],1
a6,1,0.001138,10.588039,[229  97] ; [19 23],[219.69565217 106.30434783] ; [28.30434783 13.69565217],0
a7,1,0.001277,10.374995,[234  91] ; [20 22],[224.93188011 100.06811989] ; [29.06811989 12.93188011],0
s6,1,0.001376,10.237337,[153 169] ; [ 9 33],[143.30769231 178.69230769] ; [18.69230769 23.30769231],0
a1,1,0.00152,10.053704,[ 11 315] ; [ 6 36],[ 15.05978261 310.94021739] ; [ 1.94021739 40.05978261],0
n3,1,0.00171,9.837234,[67 21] ; [ 7 11],[61.43396226 26.56603774] ; [12.56603774  5.43396226],0
p7,1,0.002015,9.535453,[149 171] ; [ 9 33],[139.66850829 180.33149171] ; [18.33149171 23.66850829],0
u2,1,0.003786,8.383556,[69 61] ; [ 4 17],[62.84768212 67.15231788] ; [10.15231788 10.84768212],0
b5,1,0.00521,7.805232,[205 121] ; [17 25],[196.66304348 129.33695652] ; [25.33695652 16.66304348],0
v1,1,0.005283,7.779814,[139 177] ; [ 9 33],[130.63687151 185.36312849] ; [17.36312849 24.63687151],0
s1,1,0.009038,6.815337,[  7 314] ; [ 4 38],[  9.72727273 311.27272727] ; [ 1.27272727 40.72727273],0
p1,1,0.01135,6.409721,[ 15 309] ; [ 6 36],[ 18.59016393 305.40983607] ; [ 2.40983607 39.59016393],0
d5,1,0.015204,5.89266,[244  82] ; [24 18],[237.41304348  88.58695652] ; [30.58695652 11.41304348],0
v2,1,0.018169,5.579756,[150 157] ; [12 29],[142.9137931 164.0862069] ; [19.0862069 21.9137931],0
v3,1,0.018277,5.569392,[100 212] ; [ 6 36],[ 93.42372881 218.57627119] ; [12.57627119 29.42372881],0
n2,1,0.019164,5.486499,[64 24] ; [ 8 10],[59.77358491 28.22641509] ; [12.22641509  5.77358491],0
p8,1,0.019623,5.445087,[123 200] ; [ 8 33],[116.24450549 206.75549451] ; [14.75549451 26.24450549],0
d3,1,0.033706,4.509539,[203 123] ; [19 23],[196.66304348 129.33695652] ; [25.33695652 16.66304348],0
a2,1,0.041197,4.167875,[ 55 271] ; [ 2 40],[ 50.49456522 275.50543478] ; [ 6.50543478 35.49456522],0
s8,1,0.049216,3.867972,[ 53 273] ; [ 2 40],[ 48.72282609 277.27717391] ; [ 6.27717391 35.72282609],0
d1,1,0.05917,3.560493,[159 167] ; [14 28],[153.25543478 172.74456522] ; [19.74456522 22.25543478],0
d4,1,0.073228,3.209145,[250  75] ; [27 15],[245.29972752  79.70027248] ; [31.70027248 10.29972752],0
a5,1,0.075429,3.160736,[209 117] ; [21 21],[203.75 122.25] ; [26.25 15.75],0
u4,1,0.085271,2.961464,[  1 325] ; [ 1 41],[  1.77173913 324.22826087] ; [ 0.22826087 41.77173913],0
p4,1,0.088874,2.89466,[128 194] ; [11 31],[122.96153846 199.03846154] ; [16.03846154 25.96153846],0
n1,1,0.099377,2.715517,[26 61] ; [9 9],[29. 58.] ; [ 6. 12.],0
s2,1,0.157519,1.997887,[ 86 235] ; [ 7 35],[ 82.23966942 238.76033058] ; [10.76033058 31.23966942],0
p3,1,0.204958,1.606686,[109 216] ; [10 32],[105.38147139 219.61852861] ; [13.61852861 28.38147139],0
b1,1,0.206651,1.594737,[115 211] ; [19 23],[118.70652174 207.29347826] ; [15.29347826 26.70652174],0
s5,1,0.248596,1.331177,[ 62 253] ; [ 5 36],[ 59.28370787 255.71629213] ; [ 7.71629213 33.28370787],0
a3,1,0.306483,1.04577,[193 131] ; [21 20],[189.96164384 134.03835616] ; [24.03835616 16.96164384],0
u1,1,0.310821,1.027186,[ 31 295] ; [ 2 40],[ 29.23369565 296.76630435] ; [ 3.76630435 38.23369565],0
s3,1,0.371624,0.798226,[116 203] ; [12 29],[113.42222222 205.57777778] ; [14.57777778 26.42222222],0
s4,1,0.455685,0.556473,[ 44 278] ; [ 4 38],[ 42.46153846 279.53846154] ; [ 5.53846154 36.46153846],0
n4,1,0.544871,0.366586,[209 116] ; [29 13],[210.76294278 114.23705722] ; [27.23705722 14.76294278],0
a4,1,0.588355,0.292921,[117 208] ; [13 28],[115.43715847 209.56284153] ; [14.56284153 26.43715847],0
b2,1,0.606526,0.265264,[ 49 123] ; [ 9 18],[ 50.13065327 121.86934673] ; [ 7.86934673 19.13065327],0
b3,1,0.606526,0.265264,[ 49 123] ; [ 9 18],[ 50.13065327 121.86934673] ; [ 7.86934673 19.13065327],0
b4,1,0.626752,0.236492,[189 137] ; [26 16],[190.46195652 135.53804348] ; [24.53804348 17.46195652],0
a8,1,0.65875,0.195045,[ 30 271] ; [ 5 36],[ 30.80409357 270.19590643] ; [ 4.19590643 36.80409357],0
n5,1,0.684798,0.164775,[205 118] ; [28 14],[206.1890411 116.8109589] ; [26.8109589 15.1890411],0
d2,1,0.869084,0.027166,[130 194] ; [17 24],[130.48767123 193.51232877] ; [16.51232877 24.48767123],0
p5,1,0.989976,0.000158,[ 16 309] ; [ 2 39],[ 15.98360656 309.01639344] ; [ 2.01639344 38.98360656],0
