Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,6.9e-05,15.82926,[264  54] ; [65 36],[249.69451074  68.30548926] ; [79.30548926 21.69451074],1
a8,1,0.000204,13.796992,[ 57 241] ; [ 3 90],[ 45.72890026 252.27109974] ; [14.27109974 78.72890026],1
s5,1,0.003293,8.637671,[131 179] ; [57 39],[143.54679803 166.45320197] ; [44.45320197 51.54679803],0
v3,1,0.004629,8.019097,[139 167] ; [29 70],[126.93333333 179.06666667] ; [41.06666667 57.93333333],0
b3,1,0.007083,7.251913,[ 86 122] ; [11 41],[ 77.6 130.4] ; [19.4 32.6],0
b2,1,0.007083,7.251913,[ 86 122] ; [11 41],[ 77.6 130.4] ; [19.4 32.6],0
v1,1,0.012192,6.282751,[181 124] ; [45 55],[170.19753086 134.80246914] ; [55.80246914 44.19753086],0
v2,1,0.013003,6.168747,[184 119] ; [45 52],[173.4675 129.5325] ; [55.5325 41.4675],0
s2,1,0.019868,5.42342,[260  60] ; [92  9],[267.55344418  52.44655582] ; [84.44655582 16.55344418],0
n1,1,0.020436,5.37426,[34 31] ; [ 7 20],[28.9673913 36.0326087] ; [12.0326087 14.9673913],0
p5,1,0.040069,4.214951,[ 51 266] ; [ 8 93],[ 44.74401914 272.25598086] ; [14.25598086 86.74401914],0
p12,1,0.054811,3.687831,[ 41 278] ; [ 6 95],[ 35.69761905 283.30238095] ; [11.30238095 89.69761905],0
n5,1,0.059742,3.544527,[255  63] ; [72 29],[248.17661098  69.82338902] ; [78.82338902 22.17661098],0
u4,1,0.090212,2.870593,[ 15 305] ; [  1 100],[ 12.16152019 307.83847981] ; [ 3.83847981 97.16152019],0
a1,1,0.092749,2.826008,[ 20 300] ; [ 2 99],[ 16.72209026 303.27790974] ; [ 5.27790974 95.72209026],0
r4,1,0.152398,2.048078,[299  21] ; [90 11],[295.67695962  24.32304038] ; [93.32304038  7.67695962],0
r1,1,0.204122,1.612634,[271  46] ; [81 20],[266.94736842  50.05263158] ; [85.05263158 15.94736842],0
a5,1,0.257597,1.281627,[240  80] ; [70 31],[235.62945368  84.37054632] ; [74.37054632 26.62945368],0
p11,1,0.27509,1.19119,[257  63] ; [76 25],[253.11163895  66.88836105] ; [79.88836105 21.11163895],0
u2,1,0.280951,1.162483,[49 28] ; [14 13],[46.64423077 30.35576923] ; [16.35576923 10.64423077],0
d4,1,0.291267,1.113754,[274  43] ; [83 18],[270.73923445  46.26076555] ; [86.26076555 14.73923445],0
s8,1,0.328466,0.954936,[206 112] ; [60 41],[201.88066826 116.11933174] ; [64.11933174 36.88066826],0
p9,1,0.397594,0.71559,[283  35] ; [85 14],[280.63309353  37.36690647] ; [87.36690647 11.63309353],0
r2,1,0.404827,0.693941,[305  10] ; [96  5],[303.64182692  11.35817308] ; [97.35817308  3.64182692],0
u3,1,0.405599,0.691665,[51 27] ; [20  7],[52.74285714 25.25714286] ; [18.25714286  8.74285714],0
a2,1,0.423241,0.641299,[ 89 231] ; [24 77],[ 85.89073634 234.10926366] ; [27.10926366 73.89073634],0
s7,1,0.426493,0.632353,[214  95] ; [72 26],[217.13513514  91.86486486] ; [68.86486486 29.13513514],0
n6,1,0.448533,0.574355,[272  44] ; [83 17],[269.66346154  46.33653846] ; [85.33653846 14.66346154],0
p6,1,0.471576,0.51828,[124 191] ; [43 56],[127.06521739 187.93478261] ; [39.93478261 59.06521739],0
p2,1,0.501035,0.452743,[274  45] ; [84 17],[271.90952381  47.09047619] ; [86.09047619 14.90952381],0
p7,1,0.516001,0.421879,[205 103] ; [68 29],[207.61481481 100.38518519] ; [65.38518519 31.61481481],0
s1,1,0.526879,0.400408,[ 14 301] ; [ 6 94],[ 15.18072289 299.81927711] ; [ 4.81927711 95.18072289],0
a7,1,0.54818,0.360589,[234  85] ; [71 30],[231.6547619  87.3452381] ; [73.3452381 27.6547619],0
p10,1,0.554346,0.34959,[267  49] ; [82 18],[265.10576923  50.89423077] ; [83.89423077 16.10576923],0
b5,1,0.621942,0.243148,[194 126] ; [64 37],[196.10451306 123.89548694] ; [61.89548694 39.10451306],0
r3,1,0.634432,0.226099,[312   7] ; [96  3],[311.36842105   7.63157895] ; [96.63157895  2.36842105],0
a4,1,0.669233,0.182501,[147 172] ; [49 52],[148.86666667 170.13333333] ; [47.13333333 53.86666667],0
b1,1,0.686843,0.162524,[129 191] ; [43 58],[130.73634204 189.26365796] ; [41.26365796 59.73634204],0
v4,1,0.691063,0.157937,[308  10] ; [97  4],[307.37470167  10.62529833] ; [97.62529833  3.37470167],0
a3,1,0.691536,0.157427,[240  79] ; [74 27],[238.49047619  80.50952381] ; [75.50952381 25.49047619],0
d3,1,0.732496,0.116832,[221  97] ; [72 29],[222.37231504  95.62768496] ; [70.62768496 30.37231504],0
p4,1,0.739348,0.1107,[202 116] ; [66 35],[203.39856802 114.60143198] ; [64.60143198 36.39856802],0
n2,1,0.744552,0.106166,[51 14] ; [22  5],[51.57608696 13.42391304] ; [21.42391304  5.57608696],0
a6,1,0.788343,0.072073,[212 105] ; [69 32],[213.10287081 103.89712919] ; [67.89712919 33.10287081],0
p1,1,0.814095,0.055294,[ 34 283] ; [10 91],[ 33.36842105 283.63157895] ; [10.63157895 90.36842105],0
d1,1,0.83108,0.045504,[199 121] ; [64 37],[199.90498812 120.09501188] ; [63.09501188 37.90498812],0
n3,1,0.862318,0.030076,[47 18] ; [20  7],[47.33695652 17.66304348] ; [19.66304348  7.33695652],0
d5,1,0.904347,0.014441,[262  55] ; [84 17],[262.39712919  54.60287081] ; [83.60287081 17.39712919],0
u1,1,0.916992,0.010863,[ 65 255] ; [21 80],[ 65.36817102 254.63182898] ; [20.63182898 80.36817102],0
b4,1,0.967256,0.001685,[194 126] ; [61 40],[193.82422803 126.17577197] ; [61.17577197 39.82422803],0
p3,1,0.980431,0.000602,[171 148] ; [54 47],[170.89285714 148.10714286] ; [54.10714286 46.89285714],0
