Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.33657,[30 30] ; [59  9],[41.71875 18.28125] ; [47.28125 20.71875],1
r2,1,0.005011,7.875619,[42 18] ; [61  7],[48.28125 11.71875] ; [54.71875 13.28125],0
u3,1,0.007826,7.072765,[16 20] ; [21  6],[21.14285714 14.85714286] ; [15.85714286 11.14285714],0
d4,1,0.009303,6.763724,[36 24] ; [55 13],[42.65625 17.34375] ; [48.34375 19.65625],0
a2,1,0.014943,5.923137,[ 1 59] ; [ 9 59],[ 4.6875 55.3125] ; [ 5.3125 62.6875],0
d1,1,0.023784,5.110324,[15 45] ; [30 38],[21.09375 38.90625] ; [23.90625 44.09375],0
a3,1,0.041368,4.160878,[24 35] ; [40 28],[29.73228346 29.26771654] ; [34.26771654 33.73228346],0
a4,1,0.047692,3.920823,[11 49] ; [23 45],[15.9375 44.0625] ; [18.0625 49.9375],0
v4,1,0.063493,3.443719,[47 12] ; [62  6],[50.63779528  8.36220472] ; [58.36220472  9.63779528],0
d5,1,0.082272,3.019446,[31 28] ; [46 22],[35.77165354 23.22834646] ; [41.22834646 26.77165354],0
s6,1,0.082388,3.017158,[23 37] ; [36 31],[27.87401575 32.12598425] ; [31.12598425 35.87401575],0
a5,1,0.092629,2.828072,[22 38] ; [35 33],[26.71875 33.28125] ; [30.28125 37.71875],0
d3,1,0.095583,2.777736,[29 29] ; [44 24],[33.6031746 24.3968254] ; [39.3968254 28.6031746],0
s3,1,0.12194,2.392228,[21 39] ; [33 35],[25.3125 34.6875] ; [28.6875 39.3125],0
s8,1,0.145605,2.117705,[12 48] ; [21 46],[15.59055118 44.40944882] ; [17.40944882 49.59055118],0
a6,1,0.174928,1.840193,[29 31] ; [41 27],[32.8125 27.1875] ; [37.1875 30.8125],0
r3,1,0.207043,1.591982,[47 13] ; [59  9],[49.6875 10.3125] ; [56.3125 11.6875],0
n3,1,0.242315,1.367077,[14 11] ; [20  8],[16.03773585  8.96226415] ; [17.96226415 10.03773585],0
v1,1,0.258834,1.274981,[14 45] ; [22 45],[16.85714286 42.14285714] ; [19.14285714 47.85714286],0
s5,1,0.270811,1.212637,[13 47] ; [20 46],[15.71428571 44.28571429] ; [17.28571429 48.71428571],0
s4,1,0.305388,1.050515,[18 42] ; [15 53],[15.46875 44.53125] ; [17.53125 50.46875],0
u2,1,0.305507,1.05,[18 18] ; [17 10],[20. 16.] ; [15. 12.],0
b4,1,0.307514,1.041323,[29 31] ; [39 29],[31.875 28.125] ; [36.125 31.875],0
a1,1,0.319692,0.990207,[ 4 56] ; [ 2 66],[ 2.8125 57.1875] ; [ 3.1875 64.8125],0
a7,1,0.321677,0.982116,[34 25] ; [45 23],[36.7007874 22.2992126] ; [42.2992126 25.7007874],0
s7,1,0.391676,0.733733,[13 44] ; [19 45],[15.07438017 41.92561983] ; [16.92561983 47.07438017],0
p4,1,0.432521,0.616045,[21 39] ; [28 39],[23.1496063 36.8503937] ; [25.8503937 41.1496063],0
b5,1,0.459191,0.547865,[35 25] ; [44 24],[37.03125 22.96875] ; [41.96875 26.03125],0
p2,1,0.467932,0.526855,[39 20] ; [49 19],[40.88188976 18.11811024] ; [47.11811024 20.88188976],0
p7,1,0.475199,0.50986,[27 30] ; [35 30],[28.96721311 28.03278689] ; [33.03278689 31.96721311],0
p10,1,0.483261,0.491496,[34 24] ; [44 24],[35.9047619 22.0952381] ; [42.0952381 25.9047619],0
d2,1,0.56408,0.332689,[20 40] ; [26 42],[21.5625 38.4375] ; [24.4375 43.5625],0
p1,1,0.570173,0.322393,[ 5 54] ; [ 4 64],[ 4.18110236 54.81889764] ; [ 4.81889764 63.18110236],0
n5,1,0.650589,0.205158,[22 38] ; [22 45],[20.78740157 39.21259843] ; [23.21259843 43.78740157],0
b1,1,0.662786,0.190157,[27 33] ; [28 40],[25.78125 34.21875] ; [29.21875 38.78125],0
b2,1,0.674291,0.176623,[ 9 24] ; [ 8 27],[ 8.25 24.75] ; [ 8.75 26.25],0
b3,1,0.674291,0.176623,[ 9 24] ; [ 8 27],[ 8.25 24.75] ; [ 8.75 26.25],0
p11,1,0.677568,0.172877,[34 26] ; [41 27],[35.15625 24.84375] ; [39.84375 28.15625],0
u1,1,0.753323,0.09876,[ 2 58] ; [ 3 65],[ 2.34375 57.65625] ; [ 2.65625 65.34375],0
n2,1,0.767235,0.087612,[16  9] ; [19  9],[16.50943396  8.49056604] ; [18.49056604  9.50943396],0
p6,1,0.774848,0.081818,[14 46] ; [14 52],[13.33333333 46.66666667] ; [14.66666667 51.33333333],0
p3,1,0.782095,0.076502,[19 41] ; [20 48],[18.28125 41.71875] ; [20.71875 47.28125],0
a8,1,0.79827,0.065324,[ 3 55] ; [ 4 60],[ 3.32786885 54.67213115] ; [ 3.67213115 60.32786885],0
v3,1,0.816774,0.053683,[ 6 53] ; [ 6 61],[ 5.61904762 53.38095238] ; [ 6.38095238 60.61904762],0
s1,1,0.826575,0.048003,[ 3 57] ; [ 4 64],[ 3.28125 56.71875] ; [ 3.71875 64.28125],0
n6,1,0.854852,0.033464,[37 23] ; [43 25],[37.5 22.5] ; [42.5 25.5],0
p9,1,0.926385,0.008537,[39 18] ; [46 22],[38.76 18.24] ; [46.24 21.76],0
p8,1,0.933728,0.006915,[23 36] ; [27 41],[23.22834646 35.77165354] ; [26.77165354 41.22834646],0
s2,1,0.939925,0.00568,[22 38] ; [25 42],[22.20472441 37.79527559] ; [24.79527559 42.20472441],0
n1,1,0.96323,0.002125,[ 7 18] ; [ 8 20],[ 7.0754717 17.9245283] ; [ 7.9245283 20.0754717],0
