Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-05,19.451991,[14 13] ; [85 10],[21.90983607  5.09016393] ; [77.09016393 17.90983607],1
s6,1,0.000707,11.470529,[10 15] ; [71 23],[17.01680672  7.98319328] ; [63.98319328 30.01680672],1
d5,1,0.001182,10.518269,[15 11] ; [82 13],[20.84297521  5.15702479] ; [76.15702479 18.84297521],0
v4,1,0.002606,9.064386,[21  6] ; [91  4],[24.78688525  2.21311475] ; [87.21311475  7.78688525],0
s7,1,0.00326,8.656009,[ 7 19] ; [52 35],[13.57522124 12.42477876] ; [45.42477876 41.57522124],0
s8,1,0.00514,7.829422,[ 6 21] ; [50 45],[12.39344262 14.60655738] ; [43.60655738 51.39344262],0
d4,1,0.006188,7.494852,[17 10] ; [82 13],[21.90983607  5.09016393] ; [77.09016393 17.90983607],0
a5,1,0.006216,7.486523,[12 15] ; [69 26],[17.92622951  9.07377049] ; [63.07377049 31.92622951],0
a3,1,0.006488,7.409388,[13 14] ; [71 23],[18.74380165  8.25619835] ; [65.25619835 28.74380165],0
d1,1,0.015439,5.865711,[10 17] ; [60 35],[15.49180328 11.50819672] ; [54.50819672 40.49180328],0
v2,1,0.03818,4.297006,[ 9 18] ; [51 40],[13.72881356 13.27118644] ; [46.27118644 44.72881356],0
a6,1,0.050692,3.818405,[12 15] ; [62 33],[16.37704918 10.62295082] ; [57.62295082 37.37704918],0
n6,1,0.055826,3.65725,[17 10] ; [75 18],[20.7  6.3] ; [71.3 21.7],0
a4,1,0.067449,3.344033,[ 8 19] ; [47 48],[12.17213115 14.82786885] ; [42.82786885 52.17213115],0
p4,1,0.068833,3.310634,[ 9 18] ; [50 44],[13.16528926 13.83471074] ; [45.83471074 48.16528926],0
b2,1,0.072715,3.220635,[5 4] ; [12 35],[2.73214286 6.26785714] ; [14.26785714 32.73214286],0
b3,1,0.072715,3.220635,[5 4] ; [12 35],[2.73214286 6.26785714] ; [14.26785714 32.73214286],0
p7,1,0.080041,3.064064,[11 16] ; [55 37],[14.97478992 12.02521008] ; [51.02521008 40.97478992],0
p2,1,0.094608,2.794159,[17 10] ; [74 20],[20.30578512  6.69421488] ; [70.69421488 23.30578512],0
a2,1,0.097338,2.748627,[ 3 24] ; [25 70],[ 6.19672131 20.80327869] ; [21.80327869 73.19672131],0
u1,1,0.126124,2.339574,[ 2 25] ; [19 76],[ 4.64754098 22.35245902] ; [16.35245902 78.64754098],0
d2,1,0.138936,2.189699,[11 16] ; [54 41],[14.3852459 12.6147541] ; [50.6147541 44.3852459],0
r2,1,0.160796,1.966725,[23  3] ; [90  4],[24.48333333  1.51666667] ; [88.51666667  5.48333333],0
r3,1,0.165597,1.922357,[21  6] ; [83 11],[23.20661157  3.79338843] ; [80.79338843 13.20661157],0
n4,1,0.176681,1.825324,[15 12] ; [66 29],[17.92622951  9.07377049] ; [63.07377049 31.92622951],0
n3,1,0.23437,1.414141,[5 4] ; [25  8],[6.42857143 2.57142857] ; [23.57142857  9.42857143],0
p3,1,0.265099,1.24193,[ 8 19] ; [39 55],[10.48760331 16.51239669] ; [36.51239669 57.48760331],0
p6,1,0.326522,0.962641,[ 8 19] ; [38 57],[10.18032787 16.81967213] ; [35.81967213 59.18032787],0
a7,1,0.342741,0.900152,[17  9] ; [71 24],[18.90909091  7.09090909] ; [69.09090909 25.90909091],0
p8,1,0.375894,0.784088,[ 8 19] ; [37 58],[ 9.95901639 17.04098361] ; [35.04098361 59.95901639],0
v3,1,0.409216,0.681076,[ 8 19] ; [36 58],[ 9.81818182 17.18181818] ; [34.18181818 59.81818182],0
s4,1,0.417653,0.65691,[ 8 19] ; [21 74],[ 6.41803279 20.58196721] ; [22.58196721 72.41803279],0
n1,1,0.425031,0.636364,[2 7] ; [12 21],[3. 6.] ; [11. 22.],0
n2,1,0.449177,0.572727,[6 3] ; [26  7],[6.85714286 2.14285714] ; [25.14285714  7.85714286],0
n5,1,0.455215,0.557635,[16 11] ; [63 31],[17.62809917  9.37190083] ; [61.37190083 32.62809917],0
d3,1,0.461872,0.541353,[16  9] ; [68 27],[17.5  7.5] ; [66.5 28.5],0
s3,1,0.481984,0.494371,[13 14] ; [53 42],[14.60655738 12.39344262] ; [51.39344262 43.60655738],0
s2,1,0.510605,0.432827,[14 13] ; [56 39],[15.49180328 11.50819672] ; [54.50819672 40.49180328],0
p1,1,0.542198,0.371481,[ 3 24] ; [ 7 87],[ 2.23140496 24.76859504] ; [ 7.76859504 86.23140496],0
b4,1,0.576167,0.312472,[14 13] ; [55 40],[15.2704918 11.7295082] ; [53.7295082 41.2704918],0
u3,1,0.59256,0.286364,[7 7] ; [13  9],[7.77777778 6.22222222] ; [12.22222222  9.77777778],0
b5,1,0.595318,0.282115,[18  9] ; [58 37],[16.81967213 10.18032787] ; [59.18032787 35.81967213],0
s1,1,0.599167,0.276254,[ 1 26] ; [ 6 88],[ 1.56198347 25.43801653] ; [ 5.43801653 88.56198347],0
s5,1,0.607053,0.264489,[ 9 15] ; [39 51],[10.10526316 13.89473684] ; [37.89473684 52.10526316],0
u2,1,0.699454,0.149041,[7 7] ; [10 13],[6.43243243 7.56756757] ; [10.56756757 12.43243243],0
a1,1,0.740896,0.109341,[ 1 26] ; [ 5 90],[ 1.32786885 25.67213115] ; [ 4.67213115 90.32786885],0
b1,1,0.753017,0.099014,[14 13] ; [46 49],[13.27868852 13.72131148] ; [46.72131148 48.27868852],0
a8,1,0.764178,0.089999,[ 2 24] ; [ 8 75],[ 2.3853211 23.6146789] ; [ 7.6146789 75.3853211],0
v1,1,0.980023,0.000627,[13 14] ; [46 49],[13.05737705 13.94262295] ; [45.94262295 49.05737705],0
p5,1,0.994513,4.7e-05,[ 2 25] ; [ 7 87],[ 2.00826446 24.99173554] ; [ 6.99173554 87.00826446],0
p9,1,0.995437,3.3e-05,[23  3] ; [84 11],[22.99173554  3.00826446] ; [84.00826446 10.99173554],0
