Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,2e-06,22.322551,[29 30] ; [ 5 51],[17.44347826 41.55652174] ; [16.55652174 39.44347826],1
p2,1,9e-06,19.650306,[50  9] ; [26 31],[38.65517241 20.34482759] ; [37.34482759 19.65517241],1
p8,1,1.4e-05,18.93438,[36 21] ; [13 44],[24.5 32.5] ; [24.5 32.5],1
p3,1,1.9e-05,18.314383,[33 26] ; [10 47],[21.87068966 37.12931034] ; [21.12931034 35.87068966],1
p4,1,3.6e-05,17.071029,[35 24] ; [12 44],[24.11304348 34.88695652] ; [22.88695652 33.11304348],1
a7,1,0.000424,12.421591,[40 19] ; [20 37],[30.51724138 28.48275862] ; [29.48275862 27.51724138],1
s7,1,0.003085,8.756269,[24 30] ; [10 45],[16.8440367 37.1559633] ; [17.1559633 37.8440367],0
s3,1,0.013839,6.058588,[33 25] ; [19 37],[26.45614035 31.54385965] ; [25.54385965 30.45614035],0
s2,1,0.020152,5.398716,[27 32] ; [14 42],[21.03478261 37.96521739] ; [19.96521739 36.03478261],0
r3,1,0.028629,4.789755,[52  7] ; [41 16],[47.30172414 11.69827586] ; [45.69827586 11.30172414],0
s8,1,0.034012,4.494107,[19 39] ; [ 9 48],[14.12173913 43.87826087] ; [13.87826087 43.12173913],0
v2,1,0.042962,4.096901,[19 37] ; [ 9 44],[14.3853211 41.6146789] ; [13.6146789 39.3853211],0
v4,1,0.044322,4.044242,[52  6] ; [43 14],[47.91304348 10.08695652] ; [47.08695652  9.91304348],0
p5,1,0.050352,3.829689,[ 8 50] ; [ 2 55],[ 5.04347826 52.95652174] ; [ 4.95652174 52.04347826],0
b3,1,0.053616,3.724628,[ 7 27] ; [11 14],[10.37288136 23.62711864] ; [ 7.62711864 17.37288136],0
b2,1,0.053616,3.724628,[ 7 27] ; [11 14],[10.37288136 23.62711864] ; [ 7.62711864 17.37288136],0
b4,1,0.08662,2.936087,[29 30] ; [37 20],[33.56896552 25.43103448] ; [32.43103448 24.56896552],0
