Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,2.3e-05,17.962121,[46 11] ; [ 4 12],[39.04109589 17.95890411] ; [10.95890411  5.04109589],1
r3,1,0.000868,11.089886,[55  2] ; [11  5],[51.53424658  5.46575342] ; [14.46575342  1.53424658],1
d2,1,0.008159,6.99818,[32 25] ; [ 3 13],[27.32876712 29.67123288] ; [7.67123288 8.32876712],0
v4,1,0.041878,4.140115,[53  4] ; [12  4],[50.75342466  6.24657534] ; [14.24657534  1.75342466],0
p7,1,0.046501,3.963341,[30 26] ; [13  3],[33.44444444 22.55555556] ; [9.55555556 6.44444444],0
a7,1,0.050049,3.839822,[43 14] ; [8 8],[39.82191781 17.17808219] ; [11.17808219  4.82191781],0
s1,1,0.066149,3.376077,[ 3 54] ; [ 3 12],[ 4.75 52.25] ; [ 1.25 13.75],0
p11,1,0.088613,2.899394,[35 22] ; [ 6 10],[32.01369863 24.98630137] ; [8.98630137 7.01369863],0
a4,1,0.103648,2.648498,[20 37] ; [ 2 13],[17.41666667 39.58333333] ; [ 4.58333333 10.41666667],0
u3,1,0.113794,2.500726,[16 11] ; [3 7],[13.86486486 13.13513514] ; [5.13513514 4.86486486],0
s6,1,0.139661,2.181693,[36 20] ; [7 9],[33.44444444 22.55555556] ; [9.55555556 6.44444444],0
r4,1,0.165134,1.926576,[48  9] ; [11  5],[46.06849315 10.93150685] ; [12.93150685  3.06849315],0
d3,1,0.179283,1.803555,[42 15] ; [9 7],[39.82191781 17.17808219] ; [11.17808219  4.82191781],0
p10,1,0.197259,1.662552,[17 40] ; [ 2 13],[15.04166667 41.95833333] ; [ 3.95833333 11.04166667],0
a6,1,0.206818,1.593561,[35 22] ; [7 9],[32.79452055 24.20547945] ; [9.20547945 6.79452055],0
n1,1,0.211346,1.562185,[ 5 12] ; [3 2],[ 6.18181818 10.81818182] ; [1.81818182 3.18181818],0
s3,1,0.228456,1.450446,[29 27] ; [11  5],[31.11111111 24.88888889] ; [8.88888889 7.11111111],0
n4,1,0.278378,1.174993,[37 20] ; [8 8],[35.1369863 21.8630137] ; [9.8630137 6.1369863],0
a3,1,0.284722,1.144411,[30 27] ; [ 6 10],[28.10958904 28.89041096] ; [7.89041096 8.10958904],0
s7,1,0.308512,1.037037,[21 33] ; [ 4 12],[19.28571429 34.71428571] ; [ 5.71428571 10.28571429],0
s4,1,0.336829,0.922462,[13 42] ; [ 2 14],[11.61971831 43.38028169] ; [ 3.38028169 12.61971831],0
s5,1,0.336829,0.922462,[14 42] ; [ 2 13],[12.61971831 43.38028169] ; [ 3.38028169 11.61971831],0
r2,1,0.376628,0.781678,[51  6] ; [13  3],[49.97260274  7.02739726] ; [14.02739726  1.97260274],0
b5,1,0.37997,0.770799,[32 25] ; [7 9],[30.45205479 26.54794521] ; [8.54794521 7.45205479],0
r1,1,0.382511,0.762616,[42 15] ; [10  6],[40.60273973 16.39726027] ; [11.39726027  4.60273973],0
p6,1,0.430156,0.622403,[15 40] ; [ 6 10],[16.26760563 38.73239437] ; [ 4.73239437 11.26760563],0
p8,1,0.453286,0.562422,[28 29] ; [9 6],[29.29166667 27.70833333] ; [7.70833333 7.29166667],0
p3,1,0.57075,0.321429,[27 29] ; [9 7],[28. 28.] ; [8. 8.],0
p2,1,0.590031,0.290296,[43 14] ; [11  5],[42.16438356 14.83561644] ; [11.83561644  4.16438356],0
s2,1,0.661858,0.191275,[24 31] ; [ 6 10],[23.23943662 31.76056338] ; [6.76056338 9.23943662],0
n5,1,0.662779,0.190165,[32 25] ; [8 8],[31.23287671 25.76712329] ; [8.76712329 7.23287671],0
s8,1,0.677574,0.172869,[17 39] ; [ 4 12],[16.33333333 39.66666667] ; [ 4.66666667 11.33333333],0
b1,1,0.740765,0.109455,[33 24] ; [10  6],[33.57534247 23.42465753] ; [9.42465753 6.57534247],0
v2,1,0.752414,0.099513,[27 29] ; [7 9],[26.44444444 29.55555556] ; [7.55555556 8.44444444],0
v3,1,0.756292,0.096319,[19 38] ; [ 6 10],[19.52054795 37.47945205] ; [ 5.47945205 10.52054795],0
n6,1,0.778492,0.079121,[40 16] ; [12  4],[40.44444444 15.55555556] ; [11.55555556  4.44444444],0
b4,1,0.807082,0.05963,[34 23] ; [9 7],[33.57534247 23.42465753] ; [9.42465753 6.57534247],0
p1,1,0.823284,0.049873,[ 6 51] ; [ 2 14],[ 6.24657534 50.75342466] ; [ 1.75342466 14.24657534],0
b2,1,0.859921,0.031143,[11 33] ; [2 7],[10.79245283 33.20754717] ; [2.20754717 6.79245283],0
b3,1,0.859921,0.031143,[11 33] ; [2 7],[10.79245283 33.20754717] ; [2.20754717 6.79245283],0
n2,1,0.868516,0.027405,[13  4] ; [4 1],[13.13636364  3.86363636] ; [3.86363636 1.13636364],0
a1,1,0.878187,0.023491,[ 3 54] ; [ 1 15],[ 3.12328767 53.87671233] ; [ 0.87671233 15.12328767],0
a8,1,0.924924,0.00888,[ 3 47] ; [ 1 14],[ 3.07692308 46.92307692] ; [ 0.92307692 14.07692308],0
u2,1,0.932412,0.007193,[10 16] ; [4 6],[10.11111111 15.88888889] ; [3.88888889 6.11111111],0
v1,1,0.961583,0.00232,[21 36] ; [ 6 10],[21.08219178 35.91780822] ; [ 5.91780822 10.08219178],0
a5,1,0.961583,0.00232,[36 21] ; [10  6],[35.91780822 21.08219178] ; [10.08219178  5.91780822],0
p5,1,0.962063,0.002262,[ 4 53] ; [ 1 14],[ 3.95833333 53.04166667] ; [ 1.04166667 13.95833333],0
