Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,3e-06,21.813078,[54  5] ; [13 15],[45.43678161 13.56321839] ; [21.56321839  6.43678161],1
p10,1,4.9e-05,16.493423,[50  9] ; [13 17],[41.76404494 17.23595506] ; [21.23595506  8.76404494],1
p11,1,0.000158,14.276329,[50  9] ; [14 16],[42.42696629 16.57303371] ; [21.57303371  8.42696629],1
p4,1,0.001545,10.023714,[38 20] ; [ 9 21],[30.97727273 27.02272727] ; [16.02272727 13.97727273],0
v4,1,0.002647,9.0361,[53  6] ; [19 11],[47.73033708 11.26966292] ; [24.26966292  5.73033708],0
r3,1,0.003367,8.596931,[55  4] ; [21  9],[50.38202247  8.61797753] ; [25.61797753  4.38202247],0
n3,1,0.003402,8.578431,[14  3] ; [ 6 12],[9.71428571 7.28571429] ; [10.28571429  7.71428571],0
n6,1,0.004379,8.119548,[52  7] ; [18 11],[46.93181818 12.06818182] ; [23.06818182  5.93181818],0
r4,1,0.004411,8.106494,[42 17] ; [12 18],[35.79775281 23.20224719] ; [18.20224719 11.79775281],0
v3,1,0.004654,8.009114,[27 31] ; [ 4 23],[21.15294118 36.84705882] ; [ 9.84705882 17.15294118],0
s8,1,0.005064,7.856401,[30 29] ; [ 6 24],[23.86516854 35.13483146] ; [12.13483146 17.86516854],0
s6,1,0.014131,6.021687,[39 19] ; [12 18],[33.61363636 24.38636364] ; [17.38636364 12.61363636],0
p3,1,0.027951,4.831086,[33 26] ; [ 9 20],[28.15909091 30.84090909] ; [13.84090909 15.15909091],0
v1,1,0.036,4.397107,[30 27] ; [ 8 20],[25.48235294 31.51764706] ; [12.51764706 15.48235294],0
p7,1,0.03626,4.384828,[31 27] ; [ 9 21],[26.36363636 31.63636364] ; [13.63636364 16.36363636],0
p8,1,0.051352,3.796745,[25 31] ; [ 7 23],[20.8372093 35.1627907] ; [11.1627907 18.8372093],0
p1,1,0.052365,3.764058,[ 5 54] ; [ 7 23],[ 7.95505618 51.04494382] ; [ 4.04494382 25.95505618],0
n4,1,0.0572,3.616765,[45 14] ; [17 13],[41.1011236 17.8988764] ; [20.8988764  9.1011236],0
s1,1,0.077281,3.121182,[ 1 57] ; [ 3 27],[ 2.63636364 55.36363636] ; [ 1.36363636 28.63636364],0
s3,1,0.099723,2.709968,[32 26] ; [11 19],[28.34090909 29.65909091] ; [14.65909091 15.34090909],0
d2,1,0.103393,2.652417,[39 20] ; [24  5],[42.23863636 16.76136364] ; [20.76136364  8.23863636],0
s2,1,0.116873,2.458732,[32 27] ; [11 19],[28.50561798 30.49438202] ; [14.49438202 15.50561798],0
p6,1,0.126064,2.34032,[25 31] ; [ 8 21],[21.74117647 34.25882353] ; [11.25882353 17.74117647],0
v2,1,0.127057,2.328104,[36 22] ; [12 15],[32.75294118 25.24705882] ; [15.24705882 11.75294118],0
p5,1,0.141186,2.164987,[ 8 51] ; [ 1 28],[ 6.03409091 52.96590909] ; [ 2.96590909 26.03409091],0
n5,1,0.170752,1.876332,[42 17] ; [17 13],[39.11235955 19.88764045] ; [19.88764045 10.11235955],0
n2,1,0.192622,1.697452,[13  4] ; [10  8],[11.17142857  5.82857143] ; [11.82857143  6.17142857],0
a3,1,0.24844,1.332053,[45 14] ; [26  4],[47.06741573 11.93258427] ; [23.93258427  6.06741573],0
b1,1,0.250045,1.323051,[22 37] ; [15 15],[24.52808989 34.47191011] ; [12.47191011 17.52808989],0
a5,1,0.2723,1.205125,[43 16] ; [25  5],[45.07865169 13.92134831] ; [22.92134831  7.07865169],0
s5,1,0.275895,1.187199,[19 34] ; [ 7 22],[16.80487805 36.19512195] ; [ 9.19512195 19.80487805],0
s7,1,0.286321,1.136842,[26 31] ; [ 9 18],[23.75 33.25] ; [11.25 15.75],0
a4,1,0.324766,0.969658,[28 31] ; [17 12],[30.17045455 28.82954545] ; [14.82954545 14.17045455],0
a2,1,0.348111,0.880331,[ 9 50] ; [ 7 23],[10.60674157 48.39325843] ; [ 5.39325843 24.60674157],0
b3,1,0.371646,0.798152,[13 23] ; [11 12],[14.6440678 21.3559322] ; [ 9.3559322 13.6440678],0
b2,1,0.371646,0.798152,[13 23] ; [11 12],[14.6440678 21.3559322] ; [ 9.3559322 13.6440678],0
u2,1,0.374857,0.7875,[7 7] ; [1 3],[6.22222222 7.77777778] ; [1.77777778 2.22222222],0
a7,1,0.465524,0.53258,[40 19] ; [18 12],[38.4494382 20.5505618] ; [19.5505618 10.4494382],0
u1,1,0.472333,0.516513,[ 5 54] ; [ 4 26],[ 5.96629213 53.03370787] ; [ 3.03370787 26.96629213],0
a1,1,0.593694,0.284613,[ 4 55] ; [ 3 27],[ 4.64044944 54.35955056] ; [ 2.35955056 27.64044944],0
r2,1,0.595695,0.281538,[49  8] ; [22  5],[48.17857143  8.82142857] ; [22.82142857  4.17857143],0
u4,1,0.622025,0.243032,[ 1 58] ; [ 1 29],[ 1.3258427 57.6741573] ; [ 0.6741573 29.3258427],0
d5,1,0.622025,0.243032,[58  1] ; [29  1],[57.6741573  1.3258427] ; [29.3258427  0.6741573],0
d4,1,0.622025,0.243032,[58  1] ; [29  1],[57.6741573  1.3258427] ; [29.3258427  0.6741573],0
u3,1,0.799846,0.064286,[8 6] ; [2 2],[7.77777778 6.22222222] ; [2.22222222 1.77777778],0
b5,1,0.803436,0.061952,[37 22] ; [18 12],[36.46067416 22.53932584] ; [18.53932584 11.46067416],0
a8,1,0.820447,0.051515,[ 3 52] ; [ 2 28],[ 3.23529412 51.76470588] ; [ 1.76470588 28.23529412],0
d3,1,0.862649,0.02993,[50  9] ; [25  5],[49.71910112  9.28089888] ; [25.28089888  4.71910112],0
n1,1,0.896876,0.016798,[ 5 11] ; [ 6 12],[ 5.17647059 10.82352941] ; [ 5.82352941 12.17647059],0
b4,1,0.920536,0.009952,[38 21] ; [19 11],[37.78651685 21.21348315] ; [19.21348315 10.78651685],0
a6,1,0.926028,0.00862,[36 23] ; [18 12],[35.79775281 23.20224719] ; [18.20224719 11.79775281],0
s4,1,0.969979,0.001416,[12 47] ; [ 6 24],[11.93258427 47.06741573] ; [ 6.06741573 23.93258427],0
