Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,42.140355,[126  44] ; [33 65],[100.85820896  69.14179104] ; [58.14179104 39.85820896],1
s2,1,0.0,38.950376,[133  38] ; [38 58],[109.51685393  61.48314607] ; [61.48314607 34.51685393],1
s3,1,1.1e-05,19.381805,[121  48] ; [43 54],[104.19548872  64.80451128] ; [59.80451128 37.19548872],1
a3,1,3.3e-05,17.218852,[143  26] ; [61 37],[129.12359551  39.87640449] ; [74.87640449 23.12359551],1
s5,1,6.8e-05,15.859195,[94 67] ; [31 64],[78.61328125 82.38671875] ; [46.38671875 48.61328125],1
s6,1,0.000349,12.784817,[142  26] ; [60 32],[130.52307692  37.47692308] ; [71.47692308 20.52307692],1
u3,1,0.010145,6.609336,[23  5] ; [19 18],[18.09230769  9.90769231] ; [23.90769231 13.09230769],0
v3,1,0.010618,6.528239,[84 85] ; [31 62],[74.17938931 94.82061069] ; [40.82061069 52.17938931],0
u2,1,0.014069,6.02944,[22  6] ; [18 19],[17.23076923 10.76923077] ; [22.76923077 14.23076923],0
n4,1,0.019377,5.467194,[151  20] ; [76 22],[144.30111524  26.69888476] ; [82.69888476 15.30111524],0
b4,1,0.023667,5.11889,[91 80] ; [66 32],[99.80297398 71.19702602] ; [57.19702602 40.80297398],0
p5,1,0.027057,4.887141,[ 42 129] ; [13 85],[ 34.96282528 136.03717472] ; [20.03717472 77.96282528],0
p3,1,0.04018,4.21028,[123  47] ; [59 39],[115.44776119  54.55223881] ; [66.55223881 31.44776119],0
d2,1,0.048136,3.905244,[101  69] ; [46 52],[93.24626866 76.75373134] ; [53.75373134 44.24626866],0
a7,1,0.073666,3.199388,[120  51] ; [77 19],[126.16853933  44.83146067] ; [70.83146067 25.16853933],0
s1,1,0.076719,3.133066,[  9 162] ; [ 1 97],[  6.35687732 164.64312268] ; [ 3.64312268 94.35687732],0
p8,1,0.084411,2.977855,[115  55] ; [76 22],[121.15671642  48.84328358] ; [69.84328358 28.15671642],0
