Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,4e-06,21.261368,[14 33] ; [60 24],[26.54961832 20.45038168] ; [47.45038168 36.54961832],1
a6,1,9e-06,19.784405,[16 31] ; [62 22],[27.98473282 19.01526718] ; [50.01526718 33.98473282],1
a2,1,0.000444,12.339189,[ 2 45] ; [26 60],[ 9.89473684 37.10526316] ; [18.10526316 67.89473684],1
u1,1,0.001402,10.203138,[ 1 46] ; [20 66],[ 7.42105263 39.57894737] ; [13.57894737 72.42105263],0
d1,1,0.004942,7.900371,[17 30] ; [53 33],[24.73684211 22.26315789] ; [45.26315789 40.73684211],0
n5,1,0.032001,4.59842,[24 22] ; [61 25],[29.62121212 16.37878788] ; [55.37878788 30.62121212],0
d4,1,0.036566,4.370531,[31 16] ; [69 15],[35.8778626 11.1221374] ; [64.1221374 19.8778626],0
p10,1,0.044446,4.039554,[22 24] ; [56 29],[27.38931298 18.61068702] ; [50.61068702 34.38931298],0
a5,1,0.070399,3.273686,[26 21] ; [61 25],[30.7443609 16.2556391] ; [56.2556391 29.7443609],0
p8,1,0.089733,2.879154,[ 7 40] ; [24 62],[10.95488722 36.04511278] ; [20.04511278 65.95488722],0
b3,1,0.112123,2.524038,[14 18] ; [14 38],[10.66666667 21.33333333] ; [17.33333333 34.66666667],0
b2,1,0.112123,2.524038,[14 18] ; [14 38],[10.66666667 21.33333333] ; [17.33333333 34.66666667],0
a1,1,0.115329,2.479631,[ 1 46] ; [ 8 78],[ 3.18045113 43.81954887] ; [ 5.81954887 80.18045113],0
s8,1,0.124546,2.359196,[22 24] ; [29 56],[17.90839695 28.09160305] ; [33.09160305 51.90839695],0
p9,1,0.147045,2.102637,[24 22] ; [56 30],[27.87878788 18.12121212] ; [52.12121212 33.87878788],0
n4,1,0.217821,1.518669,[29 18] ; [62 24],[32.15789474 14.84210526] ; [58.84210526 27.15789474],0
v4,1,0.225032,1.471993,[40  7] ; [79  7],[42.05263158  4.94736842] ; [76.94736842  9.05263158],0
d5,1,0.230852,1.435602,[30 17] ; [62 22],[33.00763359 13.99236641] ; [58.99236641 25.00763359],0
s1,1,0.23103,1.434506,[ 6 39] ; [ 6 80],[ 4.1221374 40.8778626] ; [ 7.8778626 78.1221374],0
b5,1,0.238179,1.391337,[24 23] ; [53 33],[27.21052632 19.78947368] ; [49.78947368 36.21052632],0
v2,1,0.284711,1.144464,[20 24] ; [46 37],[22.86614173 21.13385827] ; [43.13385827 39.86614173],0
b4,1,0.294966,1.096817,[24 23] ; [52 34],[26.85714286 20.14285714] ; [49.14285714 36.85714286],0
n1,1,0.315041,1.009424,[10  7] ; [14 18],[8.32653061 8.67346939] ; [15.67346939 16.32653061],0
n6,1,0.321444,0.983062,[31 16] ; [63 22],[33.46969697 13.53030303] ; [60.53030303 24.46969697],0
p1,1,0.32752,0.958678,[ 1 46] ; [ 5 81],[ 2.12030075 44.87969925] ; [ 3.87969925 82.12030075],0
u3,1,0.363648,0.825256,[13  5] ; [19 13],[11.52  6.48] ; [20.48 11.52],0
p11,1,0.369552,0.805171,[30 17] ; [48 38],[27.56390977 19.43609023] ; [50.43609023 35.56390977],0
b1,1,0.386868,0.748764,[25 22] ; [39 47],[22.61654135 24.38345865] ; [41.38345865 44.61654135],0
v1,1,0.448506,0.574424,[21 25] ; [33 52],[18.96183206 27.03816794] ; [35.03816794 49.96183206],0
p7,1,0.538654,0.37804,[13 31] ; [29 54],[14.5511811 29.4488189] ; [27.4488189 55.5511811],0
p12,1,0.581798,0.303337,[ 3 43] ; [ 8 78],[ 3.83333333 42.16666667] ; [ 7.16666667 78.83333333],0
p5,1,0.592631,0.286254,[ 3 42] ; [ 8 77],[ 3.80769231 41.19230769] ; [ 7.19230769 77.80769231],0
p4,1,0.594894,0.282766,[16 29] ; [26 58],[14.65116279 30.34883721] ; [27.34883721 56.65116279],0
p3,1,0.611222,0.258399,[14 33] ; [29 56],[15.31060606 31.68939394] ; [27.68939394 57.31060606],0
s6,1,0.611263,0.258339,[26 19] ; [53 32],[27.34615385 17.65384615] ; [51.65384615 33.34615385],0
p6,1,0.626164,0.237298,[ 8 38] ; [18 68],[ 9.06060606 36.93939394] ; [16.93939394 69.06060606],0
d2,1,0.64986,0.206077,[21 26] ; [41 43],[22.24427481 24.75572519] ; [39.75572519 44.24427481],0
n3,1,0.699234,0.14927,[10  4] ; [21 11],[9.43478261 4.56521739] ; [21.56521739 10.43478261],0
r2,1,0.72022,0.128282,[44  2] ; [81  5],[43.56060606  2.43939394] ; [81.43939394  4.56060606],0
s2,1,0.732246,0.117059,[22 24] ; [38 47],[21.06870229 24.93129771] ; [38.93129771 46.06870229],0
s4,1,0.758999,0.094123,[10 37] ; [16 68],[ 9.32824427 37.67175573] ; [16.67175573 67.32824427],0
s7,1,0.759631,0.093615,[18 26] ; [35 45],[18.80645161 25.19354839] ; [34.19354839 45.80645161],0
a8,1,0.766635,0.088078,[ 5 41] ; [10 69],[ 5.52 40.48] ; [ 9.48 69.52],0
a3,1,0.768478,0.086651,[29 18] ; [54 30],[29.77862595 17.22137405] ; [53.22137405 30.77862595],0
a4,1,0.793016,0.068852,[21 26] ; [40 45],[21.71969697 25.28030303] ; [39.28030303 45.71969697],0
s3,1,0.812605,0.056201,[24 22] ; [42 42],[23.35384615 22.64615385] ; [42.64615385 41.35384615],0
u4,1,0.824096,0.049408,[ 2 45] ; [ 3 83],[ 1.76691729 45.23308271] ; [ 3.23308271 82.76691729],0
r4,1,0.847072,0.037193,[41  6] ; [76 10],[41.34586466  5.65413534] ; [75.65413534 10.34586466],0
r3,1,0.847072,0.037193,[41  6] ; [76 10],[41.34586466  5.65413534] ; [75.65413534 10.34586466],0
v3,1,0.875637,0.024493,[17 25] ; [32 50],[16.59677419 25.40322581] ; [32.40322581 49.59677419],0
n2,1,0.948057,0.004244,[12  5] ; [23 10],[11.9  5.1] ; [23.1  9.9],0
s5,1,0.951203,0.003745,[12 30] ; [23 59],[11.85483871 30.14516129] ; [23.14516129 58.85483871],0
u2,1,0.970177,0.001398,[10  7] ; [19 13],[10.06122449  6.93877551] ; [18.93877551 13.06122449],0
