Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,2e-05,18.166634,[14 22] ; [27  3],[22.36363636 13.63636364] ; [18.63636364 11.36363636],1
d3,1,4.3e-05,16.749124,[16 19] ; [28  2],[23.69230769 11.30769231] ; [20.30769231  9.69230769],1
a3,1,0.000538,11.977778,[11 25] ; [22  8],[18. 18.] ; [15. 15.],1
d2,1,0.004014,8.27725,[ 7 29] ; [16 14],[12.54545455 23.45454545] ; [10.45454545 19.54545455],0
p4,1,0.013433,6.111111,[13 23] ; [20 10],[18. 18.] ; [15. 15.],0
p10,1,0.024302,5.072941,[24 12] ; [27  3],[27.81818182  8.18181818] ; [23.18181818  6.81818182],0
p6,1,0.03406,4.491667,[ 6 30] ; [12 18],[ 9.81818182 26.18181818] ; [ 8.18181818 21.81818182],0
a4,1,0.035939,4.4,[ 8 28] ; [14 16],[12. 24.] ; [10. 20.],0
r1,1,0.059871,3.540952,[21 15] ; [24  6],[24.54545455 11.45454545] ; [20.45454545  9.54545455],0
s8,1,0.060527,3.522876,[ 5 31] ; [10 20],[ 8.18181818 27.81818182] ; [ 6.81818182 23.18181818],0
n2,1,0.081277,3.039183,[9 2] ; [4 5],[7.15 3.85] ; [5.85 3.15],0
r2,1,0.087465,2.920418,[30  6] ; [28  1],[32.12307692  3.87692308] ; [25.87692308  3.12307692],0
p3,1,0.170295,1.880342,[12 24] ; [15 15],[14.72727273 21.27272727] ; [12.27272727 17.72727273],0
b1,1,0.196876,1.665398,[ 8 28] ; [11 19],[10.36363636 25.63636364] ; [ 8.63636364 21.36363636],0
b5,1,0.228379,1.450927,[20 16] ; [21  9],[22.36363636 13.63636364] ; [18.63636364 11.36363636],0
p8,1,0.235935,1.404722,[11 25] ; [13 16],[13.29230769 22.70769231] ; [10.70769231 18.29230769],0
b3,1,0.238514,1.389356,[ 2 15] ; [ 4 10],[ 3.29032258 13.70967742] ; [ 2.70967742 11.29032258],0
b2,1,0.238514,1.389356,[ 2 15] ; [ 4 10],[ 3.29032258 13.70967742] ; [ 2.70967742 11.29032258],0
a6,1,0.253158,1.305793,[19 17] ; [20 10],[21.27272727 14.72727273] ; [17.72727273 12.27272727],0
p9,1,0.283481,1.150327,[26 10] ; [25  5],[27.81818182  8.18181818] ; [23.18181818  6.81818182],0
a7,1,0.295932,1.092437,[24 11] ; [24  6],[25.84615385  9.15384615] ; [22.15384615  7.84615385],0
s3,1,0.316363,1.003922,[15 19] ; [17 13],[17. 17.] ; [15. 15.],0
p7,1,0.322748,0.977778,[16 20] ; [17 13],[18. 18.] ; [15. 15.],0
p2,1,0.37163,0.798208,[24 12] ; [23  7],[25.63636364 10.36363636] ; [21.36363636  8.63636364],0
s6,1,0.380217,0.77,[22 11] ; [23  7],[23.57142857  9.42857143] ; [21.42857143  8.57142857],0
n4,1,0.387609,0.746429,[19 17] ; [19 11],[20.72727273 15.27272727] ; [17.27272727 12.72727273],0
v4,1,0.39662,0.718548,[33  3] ; [29  1],[33.81818182  2.18181818] ; [28.18181818  1.81818182],0
v2,1,0.397489,0.715909,[15 20] ; [15 13],[16.66666667 18.33333333] ; [13.33333333 14.66666667],0
n3,1,0.423139,0.641581,[8 3] ; [5 4],[7.15 3.85] ; [5.85 3.15],0
v1,1,0.437299,0.60336,[13 22] ; [14 16],[14.53846154 20.46153846] ; [12.46153846 17.53846154],0
u2,1,0.442695,0.589286,[10 15] ; [2 6],[ 9.09090909 15.90909091] ; [2.90909091 5.09090909],0
n6,1,0.474852,0.510662,[28  7] ; [26  4],[29.07692308  5.92307692] ; [24.92307692  5.07692308],0
n1,1,0.492353,0.47138,[4 7] ; [2 7],[3.3 7.7] ; [2.7 6.3],0
r4,1,0.507122,0.44,[29  7] ; [26  4],[30.  6.] ; [25.  5.],0
r3,1,0.511265,0.431477,[33  3] ; [26  4],[32.18181818  3.81818182] ; [26.81818182  3.18181818],0
b4,1,0.575062,0.314286,[24 12] ; [18 12],[22.90909091 13.09090909] ; [19.09090909 10.90909091],0
p11,1,0.599997,0.275,[25 11] ; [19 11],[24. 12.] ; [20. 10.],0
u3,1,0.603667,0.2695,[13 12] ; [5 3],[13.63636364 11.36363636] ; [4.36363636 3.63636364],0
p1,1,0.666062,0.186243,[ 2 34] ; [ 1 29],[ 1.63636364 34.36363636] ; [ 1.36363636 28.63636364],0
s5,1,0.734749,0.114796,[ 9 23] ; [ 9 19],[ 9.6 22.4] ; [ 8.4 19.6],0
s2,1,0.751094,0.100614,[13 20] ; [13 17],[13.61904762 19.38095238] ; [12.38095238 17.61904762],0
p5,1,0.850585,0.035484,[ 2 34] ; [ 2 28],[ 2.18181818 33.81818182] ; [ 1.81818182 28.18181818],0
a8,1,0.943552,0.005014,[ 1 31] ; [ 1 28],[ 1.04918033 30.95081967] ; [ 0.95081967 28.04918033],0
n5,1,0.960998,0.002391,[25 11] ; [21  9],[25.09090909 10.90909091] ; [20.90909091  9.09090909],0
v3,1,0.992089,9.8e-05,[ 7 27] ; [ 6 23],[ 7.01587302 26.98412698] ; [ 5.98412698 23.01587302],0
