Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,2e-06,22.167559,[91 14] ; [18 19],[80.59859155 24.40140845] ; [28.40140845  8.59859155],1
n4,1,5e-06,20.942746,[91 15] ; [18 19],[80.7972028 25.2027972] ; [28.2027972  8.7972028],1
p10,1,5.4e-05,16.316056,[89 15] ; [19 17],[80.22857143 23.77142857] ; [27.77142857  8.22857143],1
p9,1,0.000163,14.21875,[91 13] ; [21 15],[83.2 20.8] ; [28.8  7.2],1
s1,1,0.005034,7.867171,[  2 103] ; [ 5 32],[ 5.17605634 99.82394366] ; [ 1.82394366 35.17605634],0
p4,1,0.034428,4.473324,[65 40] ; [15 21],[59.57446809 45.42553191] ; [20.42553191 15.57446809],0
d3,1,0.038339,4.289909,[63 43] ; [29  8],[68.1958042 37.8041958] ; [23.8041958 13.1958042],0
p8,1,0.045025,4.017713,[60 43] ; [14 22],[54.83453237 48.16546763] ; [19.16546763 16.83453237],0
p3,1,0.050867,3.812636,[59 46] ; [13 22],[54. 51.] ; [18. 17.],0
p7,1,0.058654,3.575052,[71 34] ; [18 18],[66.27659574 38.72340426] ; [22.72340426 13.27659574],0
a6,1,0.09391,2.806042,[76 30] ; [21 16],[71.9020979 34.0979021] ; [25.0979021 11.9020979],0
p11,1,0.10518,2.625191,[90 16] ; [27 10],[86.72727273 19.27272727] ; [30.27272727  6.72727273],0
a2,1,0.118438,2.437859,[24 82] ; [ 4 33],[20.75524476 85.24475524] ; [ 7.24475524 29.75524476],0
s7,1,0.138404,2.195611,[28 72] ; [ 5 28],[24.81203008 75.18796992] ; [ 8.18796992 24.81203008],0
d2,1,0.201812,1.629209,[53 53] ; [14 23],[49.66433566 56.33566434] ; [17.33566434 19.66433566],0
p6,1,0.228533,1.449968,[36 68] ; [ 8 26],[33.15942029 70.84057971] ; [10.84057971 23.15942029],0
r4,1,0.286901,1.134109,[91 15] ; [29  8],[88.95104895 17.04895105] ; [31.04895105  5.95104895],0
n2,1,0.302191,1.0645,[14  4] ; [4 3],[12.96  5.04] ; [5.04 1.96],0
b2,1,0.310341,1.029224,[35 34] ; [ 8 13],[32.96666667 36.03333333] ; [10.03333333 10.96666667],0
b3,1,0.310341,1.029224,[35 34] ; [ 8 13],[32.96666667 36.03333333] ; [10.03333333 10.96666667],0
b1,1,0.338132,0.917499,[42 64] ; [18 19],[44.47552448 61.52447552] ; [15.52447552 21.47552448],0
d1,1,0.348651,0.878359,[61 45] ; [18 19],[58.55944056 47.44055944] ; [20.44055944 16.55944056],0
a5,1,0.348703,0.878171,[80 26] ; [25 12],[77.83216783 28.16783217] ; [27.16783217  9.83216783],0
s5,1,0.413523,0.66865,[17 88] ; [ 8 28],[18.61702128 86.38297872] ; [ 6.38297872 29.61702128],0
s3,1,0.449819,0.571108,[27 77] ; [12 25],[28.76595745 75.23404255] ; [10.23404255 26.76595745],0
n1,1,0.466985,0.529101,[ 8 10] ; [2 5],[ 7.2 10.8] ; [2.8 4.2],0
d4,1,0.485651,0.486147,[80 26] ; [30  7],[81.53846154 24.46153846] ; [28.46153846  8.53846154],0
s8,1,0.492694,0.470637,[29 77] ; [ 8 29],[27.42657343 78.57342657] ; [ 9.57342657 27.42657343],0
