Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.005034,7.867179,[ 1 24] ; [2 2],[ 2.5862069 22.4137931] ; [0.4137931 3.5862069],0
p3,1,0.012616,6.222222,[ 4 20] ; [3 1],[ 6. 18.] ; [1. 3.],0
p4,1,0.040651,4.1905,[ 6 19] ; [3 1],[ 7.75862069 17.24137931] ; [1.24137931 2.75862069],0
b4,1,0.099838,2.708131,[17  8] ; [1 3],[15.51724138  9.48275862] ; [2.48275862 1.51724138],0
p7,1,0.099838,2.708131,[ 8 17] ; [3 1],[ 9.48275862 15.51724138] ; [1.51724138 2.48275862],0
d3,1,0.099838,2.708131,[ 8 17] ; [3 1],[ 9.48275862 15.51724138] ; [1.51724138 2.48275862],0
s8,1,0.123819,2.368333,[ 1 24] ; [1 3],[ 1.72413793 23.27586207] ; [0.27586207 3.72413793],0
p8,1,0.132529,2.262626,[ 4 20] ; [2 2],[ 5.14285714 18.85714286] ; [0.85714286 3.14285714],0
v1,1,0.192969,1.694805,[ 5 20] ; [2 2],[ 6.03448276 18.96551724] ; [0.96551724 3.03448276],0
d1,1,0.280038,1.166905,[ 6 19] ; [2 2],[ 6.89655172 18.10344828] ; [1.10344828 2.89655172],0
s2,1,0.280038,1.166905,[ 6 19] ; [2 2],[ 6.89655172 18.10344828] ; [1.10344828 2.89655172],0
a5,1,0.280038,1.166905,[ 6 19] ; [2 2],[ 6.89655172 18.10344828] ; [1.10344828 2.89655172],0
a2,1,0.299934,1.074487,[ 2 23] ; [1 3],[ 2.5862069 22.4137931] ; [0.4137931 3.5862069],0
d5,1,0.315691,1.006714,[12 13] ; [3 1],[12.93103448 12.06896552] ; [2.06896552 1.93103448],0
b5,1,0.315691,1.006714,[12 13] ; [3 1],[12.93103448 12.06896552] ; [2.06896552 1.93103448],0
a8,1,0.318388,0.995556,[ 2 22] ; [1 3],[ 2.57142857 21.42857143] ; [0.42857143 3.57142857],0
s7,1,0.359608,0.839262,[ 3 20] ; [1 2],[ 3.53846154 19.46153846] ; [0.46153846 2.53846154],0
d2,1,0.377209,0.779778,[ 7 18] ; [2 2],[ 7.75862069 17.24137931] ; [1.24137931 2.75862069],0
a7,1,0.390447,0.737548,[12 13] ; [1 3],[11.20689655 13.79310345] ; [1.79310345 2.20689655],0
p2,1,0.390447,0.737548,[12 13] ; [1 3],[11.20689655 13.79310345] ; [1.79310345 2.20689655],0
s3,1,0.408809,0.682261,[ 7 17] ; [2 2],[ 7.71428571 16.28571429] ; [1.28571429 2.71428571],0
n5,1,0.473763,0.513186,[11 14] ; [1 3],[10.34482759 14.65517241] ; [1.65517241 2.34482759],0
d4,1,0.473763,0.513186,[14 11] ; [3 1],[14.65517241 10.34482759] ; [2.34482759 1.65517241],0
v2,1,0.481915,0.494526,[ 8 17] ; [2 2],[ 8.62068966 16.37931034] ; [1.37931034 2.62068966],0
r1,1,0.481915,0.494526,[ 8 17] ; [2 2],[ 8.62068966 16.37931034] ; [1.37931034 2.62068966],0
p10,1,0.483883,0.4901,[ 3 22] ; [1 3],[ 3.44827586 21.55172414] ; [0.55172414 3.44827586],0
b1,1,0.565927,0.329545,[15 10] ; [3 1],[15.51724138  9.48275862] ; [2.48275862 1.51724138],0
p11,1,0.667378,0.184684,[ 9 16] ; [1 3],[ 8.62068966 16.37931034] ; [1.37931034 2.62068966],0
p6,1,0.717675,0.130731,[ 4 19] ; [1 3],[ 4.25925926 18.74074074] ; [0.74074074 3.25925926],0
a3,1,0.755189,0.097222,[10 14] ; [2 2],[10.28571429 13.71428571] ; [1.71428571 2.28571429],0
s4,1,0.818707,0.052536,[ 5 20] ; [1 3],[ 5.17241379 19.82758621] ; [0.82758621 3.17241379],0
n6,1,0.822729,0.050192,[11 14] ; [2 2],[11.20689655 13.79310345] ; [1.79310345 2.20689655],0
a6,1,0.822729,0.050192,[11 14] ; [2 2],[11.20689655 13.79310345] ; [1.79310345 2.20689655],0
u2,1,0.929308,0.00787,[7 8] ; [1 1],[7.05882353 7.94117647] ; [0.94117647 1.05882353],0
n4,1,0.940754,0.005524,[12 13] ; [2 2],[12.06896552 12.93103448] ; [1.93103448 2.06896552],0
r3,1,0.940754,0.005524,[12 13] ; [2 2],[12.06896552 12.93103448] ; [1.93103448 2.06896552],0
v4,1,0.940754,0.005524,[12 13] ; [2 2],[12.06896552 12.93103448] ; [1.93103448 2.06896552],0
a4,1,0.965387,0.001883,[ 6 19] ; [1 3],[ 6.03448276 18.96551724] ; [0.96551724 3.03448276],0
