Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.000163,14.220886,[54  5] ; [18 13],[47.2 11.8] ; [24.8  6.2],1
s8,1,0.00609,7.523346,[43 16] ; [14 18],[36.95604396 22.04395604] ; [20.04395604 11.95604396],0
s5,1,0.006791,7.327331,[31 23] ; [ 8 22],[25.07142857 28.92857143] ; [13.92857143 16.07142857],0
p7,1,0.019721,5.436409,[33 25] ; [10 22],[27.71111111 30.28888889] ; [15.28888889 16.71111111],0
s3,1,0.047948,3.911798,[36 23] ; [26  6],[40.1978022 18.8021978] ; [21.8021978 10.1978022],0
p2,1,0.048122,3.905734,[48 11] ; [20 12],[44.08791209 14.91208791] ; [23.91208791  8.08791209],0
v2,1,0.051422,3.794481,[35 23] ; [12 19],[30.62921348 27.37078652] ; [16.37078652 14.62921348],0
n1,1,0.053616,3.724603,[10 14] ; [11  4],[12.92307692 11.07692308] ; [8.07692308 6.92307692],0
v3,1,0.056688,3.631714,[25 34] ; [ 6 22],[21.02298851 37.97701149] ; [ 9.97701149 18.02298851],0
r1,1,0.106838,2.600387,[52  7] ; [24  8],[49.27472527  9.72527473] ; [26.72527473  5.27472527],0
p6,1,0.131553,2.274083,[30 29] ; [11 21],[26.58241758 32.41758242] ; [14.41758242 17.58241758],0
p1,1,0.136366,2.218493,[ 6 52] ; [ 7 25],[ 8.37777778 49.62222222] ; [ 4.62222222 27.37777778],0
n6,1,0.141254,2.164249,[48  9] ; [22  9],[45.34090909 11.65909091] ; [24.65909091  6.34090909],0
b3,1,0.172026,1.865201,[ 9 22] ; [10 11],[11.32692308 19.67307692] ; [ 7.67307692 13.32692308],0
b2,1,0.172026,1.865201,[ 9 22] ; [10 11],[11.32692308 19.67307692] ; [ 7.67307692 13.32692308],0
a6,1,0.180305,1.795105,[39 20] ; [16 15],[36.05555556 22.94444444] ; [18.94444444 12.05555556],0
v1,1,0.205479,1.602995,[34 25] ; [14 18],[31.12087912 27.87912088] ; [16.87912088 15.12087912],0
b5,1,0.234316,1.414471,[35 24] ; [23  9],[37.6043956 21.3956044] ; [20.3956044 11.6043956],0
a8,1,0.252324,1.310391,[ 6 45] ; [ 6 22],[ 7.74683544 43.25316456] ; [ 4.25316456 23.74683544],0
a7,1,0.27732,1.180178,[45 14] ; [21 11],[42.79120879 16.20879121] ; [23.20879121  8.79120879],0
p5,1,0.297697,1.084481,[ 5 54] ; [ 5 27],[ 6.48351648 52.51648352] ; [ 3.51648352 28.48351648],0
d5,1,0.318172,0.996446,[49 10] ; [23  8],[47.2 11.8] ; [24.8  6.2],0
a5,1,0.366774,0.814566,[44 15] ; [21 11],[42.14285714 16.85714286] ; [22.85714286  9.14285714],0
p8,1,0.374706,0.787999,[24 35] ; [10 22],[22.04395604 36.95604396] ; [11.95604396 20.04395604],0
n3,1,0.405033,0.693333,[16  8] ; [8 7],[14.76923077  9.23076923] ; [9.23076923 5.76923077],0
v4,1,0.431022,0.620068,[56  3] ; [29  3],[55.10989011  3.89010989] ; [29.89010989  2.10989011],0
u2,1,0.469064,0.524179,[7 8] ; [5 3],[7.82608696 7.17391304] ; [4.17391304 3.82608696],0
n5,1,0.496679,0.462024,[39 19] ; [23  8],[40.40449438 17.59550562] ; [21.59550562  9.40449438],0
s6,1,0.497128,0.461062,[47  9] ; [25  7],[45.81818182 10.18181818] ; [26.18181818  5.81818182],0
d4,1,0.505743,0.442865,[46 13] ; [26  5],[47.2 11.8] ; [24.8  6.2],0
s4,1,0.516979,0.419917,[13 46] ; [ 9 23],[14.26373626 44.73626374] ; [ 7.73626374 24.26373626],0
u1,1,0.552161,0.35346,[15 44] ; [10 22],[16.20879121 42.79120879] ; [ 8.79120879 23.20879121],0
s2,1,0.552161,0.35346,[44 15] ; [22 10],[42.79120879 16.20879121] ; [23.20879121  8.79120879],0
