Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,23.394337,[ 7 24] ; [103  46],[18.94444444 12.05555556] ; [91.05555556 57.94444444],1
p8,1,2e-06,23.083059,[ 3 28] ; [84 63],[15.15168539 15.84831461] ; [71.84831461 75.15168539],1
v4,1,1e-05,19.458243,[25  6] ; [146   2],[29.61452514  1.38547486] ; [141.38547486   6.61452514],1
p7,1,1.3e-05,18.963526,[10 21] ; [106  39],[20.43181818 10.56818182] ; [95.56818182 49.43181818],1
p3,1,0.005224,7.800161,[ 8 23] ; [79 69],[15.06703911 15.93296089] ; [71.93296089 76.06703911],0
b1,1,0.005741,7.629892,[20 11] ; [56 93],[13.08888889 17.91111111] ; [62.91111111 86.08888889],0
p11,1,0.009598,6.708022,[18 13] ; [119  30],[23.59444444  7.40555556] ; [113.40555556  35.59444444],0
p9,1,0.013008,6.168033,[21  9] ; [130  18],[25.4494382  4.5505618] ; [125.5505618  22.4494382],0
p12,1,0.020265,5.388922,[ 5 26] ; [  7 142],[ 2.06666667 28.93333333] ; [  9.93333333 139.06666667],0
a3,1,0.023815,5.108063,[29  2] ; [112  37],[24.28333333  6.71666667] ; [116.71666667  32.28333333],0
d2,1,0.030141,4.701232,[21  9] ; [72 77],[15.58659218 14.41340782] ; [77.41340782 71.58659218],0
s2,1,0.034279,4.480741,[16 15] ; [106  43],[21.01111111  9.98888889] ; [100.98888889  48.01111111],0
b4,1,0.036023,4.396029,[22  9] ; [75 74],[16.70555556 14.29444444] ; [80.29444444 68.70555556],0
v2,1,0.066267,3.373154,[17 12] ; [59 88],[12.52272727 16.47727273] ; [63.47727273 83.52272727],0
p6,1,0.095154,2.784953,[ 8 23] ; [62 86],[12.12290503 18.87709497] ; [57.87709497 90.12290503],0
v3,1,0.101626,2.679843,[12 16] ; [ 40 106],[ 8.36781609 19.63218391] ; [ 43.63218391 102.36781609],0
p5,1,0.107601,2.589107,[ 1 30] ; [ 20 129],[ 3.61666667 27.38333333] ; [ 17.38333333 131.61666667],0
a2,1,0.138434,2.19528,[11 20] ; [ 34 115],[ 7.75 23.25] ; [ 37.25 111.75],0
n5,1,0.144276,2.131749,[20 11] ; [114  34],[23.20670391  7.79329609] ; [110.79329609  37.20670391],0
a4,1,0.162077,1.954737,[18 13] ; [66 83],[14.46666667 16.53333333] ; [69.53333333 79.46666667],0
d1,1,0.170672,1.87703,[22  9] ; [86 63],[18.6 12.4] ; [89.4 59.6],0
n1,1,0.190239,1.715764,[7 4] ; [17 24],[5.07692308 5.92307692] ; [18.92307692 22.07692308],0
p10,1,0.19876,1.651463,[23  8] ; [125  24],[25.48888889  5.51111111] ; [122.51111111  26.48888889],0
u1,1,0.199256,1.647817,[ 9 22] ; [ 28 121],[ 6.37222222 24.62777778] ; [ 30.62777778 118.37222222],0
a8,1,0.212423,1.554835,[ 2 28] ; [ 21 116],[ 4.13173653 25.86826347] ; [ 18.86826347 118.13173653],0
s8,1,0.27086,1.212386,[21 10] ; [85 64],[18.25555556 12.74444444] ; [87.74444444 61.25555556],0
r4,1,0.27836,1.17508,[25  6] ; [131  18],[26.86666667  4.13333333] ; [129.13333333  19.86666667],0
n4,1,0.279467,1.169681,[23  8] ; [123  26],[25.14444444  5.85555556] ; [120.85555556  28.14444444],0
s3,1,0.315023,1.0095,[21 10] ; [113  35],[23.20670391  7.79329609] ; [110.79329609  37.20670391],0
a7,1,0.315167,1.008896,[19 12] ; [105  44],[21.35555556  9.64444444] ; [102.64444444  46.35555556],0
s1,1,0.362232,0.83014,[ 3 28] ; [  8 141],[ 1.89444444 29.10555556] ; [  9.10555556 139.89444444],0
r1,1,0.374363,0.789132,[23  8] ; [121  28],[24.8  6.2] ; [119.2  29.8],0
d4,1,0.476517,0.506825,[26  4] ; [121  28],[24.63687151  5.36312849] ; [122.36312849  26.63687151],0
n6,1,0.548406,0.36018,[26  5] ; [130  18],[27.01675978  3.98324022] ; [128.98324022  19.01675978],0
p1,1,0.553703,0.350725,[ 4 27] ; [ 14 135],[ 3.1 27.9] ; [ 14.9 134.1],0
a6,1,0.564728,0.331584,[20 10] ; [91 58],[18.60335196 11.39664804] ; [92.39664804 56.60335196],0
u3,1,0.607717,0.263514,[1 1] ; [25 12],[1.33333333 0.66666667] ; [24.66666667 12.33333333],0
d3,1,0.63602,0.223985,[19 11] ; [101  48],[20.11173184  9.88826816] ; [99.88826816 49.11173184],0
n2,1,0.659999,0.193524,[8 4] ; [30 11],[8.60377358 3.39622642] ; [29.39622642 11.60377358],0
d5,1,0.662179,0.190888,[25  5] ; [119  30],[24.13407821  5.86592179] ; [119.86592179  29.13407821],0
a1,1,0.683572,0.166133,[ 2 29] ; [  7 142],[ 1.55 29.45] ; [  7.45 141.55],0
u2,1,0.691862,0.157077,[1 1] ; [23 13],[1.26315789 0.73684211] ; [22.73684211 13.26315789],0
r2,1,0.696382,0.152263,[29  2] ; [140   7],[29.43258427  1.56741573] ; [139.56741573   7.43258427],0
