Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,77.431363,[225  40] ; [76 93],[183.79032258  81.20967742] ; [117.20967742  51.79032258],1
s6,1,4e-06,21.329816,[255  20] ; [131  38],[239.07657658  35.92342342] ; [146.92342342  22.07657658],1
v1,1,1.3e-05,18.981231,[177  92] ; [76 94],[155.02733485 113.97266515] ; [97.97266515 72.02733485],1
p3,1,0.00023,13.569126,[167 113] ; [71 99],[148.08888889 131.91111111] ; [89.91111111 80.08888889],1
a3,1,0.000235,13.529337,[224  55] ; [112  61],[207.39823009  71.60176991] ; [128.60176991  44.39823009],1
d1,1,0.000881,11.062509,[196  84] ; [95 79],[179.47136564 100.52863436] ; [111.52863436  62.47136564],1
a7,1,0.001917,9.62765,[188  91] ; [139  33],[202.29046563  76.70953437] ; [124.70953437  47.29046563],0
p6,1,0.002038,9.515151,[133 144] ; [ 56 113],[117.38340807 159.61659193] ; [71.61659193 97.38340807],0
n5,1,0.002296,9.296378,[227  51] ; [119  53],[213.75111111  64.24888889] ; [132.24888889  39.75111111],0
a5,1,0.002698,9.001332,[223  57] ; [116  57],[209.53642384  70.46357616] ; [129.46357616  43.53642384],0
p4,1,0.003053,8.775304,[195  84] ; [96 75],[180.42  98.58] ; [110.58  60.42],0
p9,1,0.003514,8.519324,[254  24] ; [137  30],[244.26516854  33.73483146] ; [146.73483146  20.26516854],0
p8,1,0.003579,8.486135,[159 118] ; [73 96],[144.0896861 132.9103139] ; [87.9103139 81.0896861],0
d2,1,0.005926,7.572725,[161 119] ; [76 96],[146.81415929 133.18584071] ; [90.18584071 81.81415929],0
d5,1,0.006791,7.32749,[243  36] ; [133  39],[232.60310421  46.39689579] ; [143.39689579  28.60310421],0
n6,1,0.007118,7.242941,[246  31] ; [136  35],[236.19196429  40.80803571] ; [145.80803571  25.19196429],0
u4,1,0.007214,7.218822,[ 15 265] ; [  1 173],[  9.86784141 270.13215859] ; [  6.13215859 167.86784141],0
v3,1,0.008714,6.880578,[127 138] ; [ 59 109],[113.83371824 151.16628176] ; [72.16628176 95.83371824],0
p10,1,0.010326,6.577784,[246  31] ; [136  34],[236.72035794  40.27964206] ; [145.27964206  24.72035794],0
s3,1,0.013555,6.095131,[251  28] ; [140  31],[242.42  36.58] ; [148.58  22.42],0
n1,1,0.017123,5.683761,[28 28] ; [10 29],[22.4 33.6] ; [15.6 23.4],0
v2,1,0.018443,5.553604,[169  97] ; [87 80],[157.26558891 108.73441109] ; [98.73441109 68.26558891],0
v4,1,0.021842,5.258301,[273   5] ; [163  10],[268.75388027   9.24611973] ; [167.24611973   5.75388027],0
n4,1,0.024381,5.067357,[225  53] ; [125  49],[215.26548673  62.73451327] ; [134.73451327  39.26548673],0
b2,1,0.025889,4.963439,[ 80 107] ; [26 64],[ 71.55956679 115.44043321] ; [34.44043321 55.55956679],0
b3,1,0.025889,4.963439,[ 80 107] ; [26 64],[ 71.55956679 115.44043321] ; [34.44043321 55.55956679],0
