Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,23.52,[13 37] ; [36 12],[25. 25.] ; [24. 24.],1
p6,1,9e-06,19.734096,[ 7 44] ; [26 20],[17.35051546 33.64948454] ; [15.64948454 30.35051546],1
s2,1,0.000168,14.160259,[26 26] ; [41  7],[34.84 17.16] ; [32.16 15.84],1
p11,1,0.000911,11.000458,[30 22] ; [42  6],[37.44 14.56] ; [34.56 13.44],1
s6,1,0.004956,7.895526,[28 22] ; [38  8],[34.375 15.625] ; [31.625 14.375],0
d1,1,0.01013,6.611901,[16 36] ; [27 21],[22.36 29.64] ; [20.64 27.36],0
p4,1,0.015526,5.85578,[21 31] ; [31 17],[27.04 24.96] ; [24.96 23.04],0
p10,1,0.020641,5.356892,[33 18] ; [40  7],[37.98979592 13.01020408] ; [35.01020408 11.98979592],0
a5,1,0.036384,4.379026,[25 27] ; [33 15],[30.16 21.84] ; [27.84 20.16],0
b4,1,0.049658,3.852956,[37 15] ; [25 23],[32.24 19.76] ; [29.76 18.24],0
v4,1,0.072868,3.217195,[40 11] ; [43  4],[43.19387755  7.80612245] ; [39.80612245  7.19387755],0
v2,1,0.077095,3.12511,[19 33] ; [24 20],[23.29166667 28.70833333] ; [19.70833333 24.29166667],0
v3,1,0.092151,2.836384,[11 39] ; [17 28],[14.73684211 35.26315789] ; [13.26315789 31.73684211],0
n4,1,0.102131,2.671955,[31 21] ; [36 12],[34.84 17.16] ; [32.16 15.84],0
p5,1,0.116769,2.460131,[ 2 48] ; [ 6 41],[ 4.12371134 45.87628866] ; [ 3.87628866 43.12371134],0
r4,1,0.11904,2.429902,[29 23] ; [34 14],[32.76 19.24] ; [30.24 17.76],0
a3,1,0.156784,2.004979,[28 23] ; [33 15],[31.42424242 19.57575758] ; [29.57575758 18.42424242],0
p7,1,0.189431,1.722037,[26 24] ; [30 16],[29.16666667 20.83333333] ; [26.83333333 19.16666667],0
p3,1,0.192176,1.700857,[22 29] ; [27 21],[25.24242424 25.75757576] ; [23.75757576 24.24242424],0
p2,1,0.197082,1.663866,[37 14] ; [40  8],[39.66666667 11.33333333] ; [37.33333333 10.66666667],0
n5,1,0.197729,1.65907,[34 18] ; [37 11],[36.92 15.08] ; [34.08 13.92],0
