Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.004506,8.067676,[11  5] ; [19 44],[6.07594937 9.92405063] ; [23.92405063 39.07594937],0
d5,1,0.008355,6.955828,[15  1] ; [37 26],[10.53164557  5.46835443] ; [41.46835443 21.53164557],0
s6,1,0.01366,6.081557,[11  4] ; [24 39],[6.73076923 8.26923077] ; [28.26923077 34.73076923],0
n5,1,0.022709,5.190594,[6 8] ; [46 16],[9.57894737 4.42105263] ; [42.42105263 19.57894737],0
s3,1,0.103373,2.652726,[9 5] ; [25 37],[6.26315789 7.73684211] ; [27.73684211 34.26315789],0
d3,1,0.116898,2.458399,[11  5] ; [29 33],[8.20512821 7.79487179] ; [31.79487179 30.20512821],0
p2,1,0.121077,2.403337,[14  1] ; [45 15],[11.8  3.2] ; [47.2 12.8],0
v2,1,0.122318,2.387391,[9 7] ; [21 39],[6.31578947 9.68421053] ; [23.68421053 36.31578947],0
p3,1,0.122906,2.379893,[8 8] ; [18 43],[ 5.4025974 10.5974026] ; [20.5974026 40.4025974],0
a7,1,0.130864,2.282224,[11  5] ; [30 33],[8.30379747 7.69620253] ; [32.69620253 30.30379747],0
d1,1,0.172842,1.858121,[8 8] ; [20 43],[ 5.67088608 10.32911392] ; [22.32911392 40.67088608],0
s7,1,0.176856,1.823849,[8 7] ; [21 40],[5.72368421 9.27631579] ; [23.27631579 37.72368421],0
b4,1,0.191439,1.706509,[12  4] ; [36 27],[9.72151899 6.27848101] ; [38.27848101 24.72151899],0
u3,1,0.224551,1.475048,[4 3] ; [ 8 17],[2.625 4.375] ; [ 9.375 15.625],0
r2,1,0.226788,1.460896,[10  3] ; [36 25],[8.08108108 4.91891892] ; [37.91891892 23.08108108],0
d4,1,0.257342,1.283002,[13  3] ; [42 21],[11.13924051  4.86075949] ; [43.86075949 19.13924051],0
p5,1,0.264163,1.246806,[ 3 12] ; [ 6 56],[ 1.75324675 13.24675325] ; [ 7.24675325 54.75324675],0
r3,1,0.297988,1.083179,[12  3] ; [41 21],[10.32467532  4.67532468] ; [42.67532468 19.32467532],0
n4,1,0.323639,0.974185,[8 8] ; [40 23],[9.72151899 6.27848101] ; [38.27848101 24.72151899],0
v1,1,0.325008,0.968688,[8 6] ; [26 35],[6.34666667 7.65333333] ; [27.65333333 33.34666667],0
p4,1,0.363547,0.825605,[9 7] ; [27 35],[7.38461538 8.61538462] ; [28.61538462 33.38461538],0
d2,1,0.365977,0.817279,[7 9] ; [20 43],[ 5.46835443 10.53164557] ; [21.53164557 41.46835443],0
a4,1,0.365977,0.817279,[7 9] ; [20 43],[ 5.46835443 10.53164557] ; [21.53164557 41.46835443],0
a8,1,0.394627,0.724638,[ 2 13] ; [ 4 56],[ 1.2 13.8] ; [ 4.8 55.2],0
b1,1,0.398059,0.714183,[7 9] ; [35 28],[8.50632911 7.49367089] ; [33.49367089 29.50632911],0
s8,1,0.408317,0.683695,[ 6 10] ; [17 46],[ 4.65822785 11.34177215] ; [18.34177215 44.65822785],0
r1,1,0.447745,0.576355,[ 5 10] ; [15 48],[ 3.84615385 11.15384615] ; [16.15384615 46.84615385],0
b5,1,0.454897,0.558421,[8 8] ; [38 25],[9.3164557 6.6835443] ; [36.6835443 26.3164557],0
a6,1,0.465068,0.533671,[9 7] ; [29 34],[7.69620253 8.30379747] ; [30.30379747 32.69620253],0
p10,1,0.486731,0.483746,[13  2] ; [48 13],[12.03947368  2.96052632] ; [48.96052632 12.03947368],0
v3,1,0.57771,0.309951,[ 3 12] ; [17 46],[ 3.84615385 11.15384615] ; [16.15384615 46.84615385],0
p12,1,0.584591,0.298871,[ 1 15] ; [ 2 59],[ 0.62337662 15.37662338] ; [ 2.37662338 58.62337662],0
p7,1,0.600009,0.274983,[8 7] ; [27 32],[7.09459459 7.90540541] ; [27.90540541 31.09459459],0
a5,1,0.69801,0.150551,[10  6] ; [36 27],[9.3164557 6.6835443] ; [36.6835443 26.3164557],0
u2,1,0.732074,0.117216,[3 3] ; [11 15],[2.625 3.375] ; [11.375 14.625],0
p11,1,0.733901,0.11556,[11  5] ; [46 17],[11.5443038  4.4556962] ; [45.4556962 17.5443038],0
v4,1,0.765415,0.089029,[8 4] ; [44 18],[8.43243243 3.56756757] ; [43.56756757 18.43243243],0
s4,1,0.853818,0.033948,[ 2 14] ; [ 9 54],[ 2.2278481 13.7721519] ; [ 8.7721519 54.2278481],0
p1,1,0.868258,0.027513,[ 1 14] ; [ 5 58],[ 1.15384615 13.84615385] ; [ 4.84615385 58.15384615],0
p8,1,0.875539,0.024532,[ 5 10] ; [22 40],[5.25974026 9.74025974] ; [21.74025974 40.25974026],0
n6,1,0.92284,0.009381,[9 5] ; [39 23],[8.84210526 5.15789474] ; [39.15789474 22.84210526],0
a3,1,0.9284,0.008075,[9 6] ; [37 26],[8.84615385 6.15384615] ; [37.15384615 25.84615385],0
n2,1,0.962732,0.002183,[2 1] ; [17  8],[2.03571429 0.96428571] ; [16.96428571  8.03571429],0
p6,1,0.973001,0.001145,[ 4 12] ; [15 46],[ 3.94805195 12.05194805] ; [15.05194805 45.94805195],0
b2,1,0.973855,0.001074,[3 8] ; [10 26],[3.04255319 7.95744681] ; [ 9.95744681 26.04255319],0
b3,1,0.973855,0.001074,[3 8] ; [10 26],[3.04255319 7.95744681] ; [ 9.95744681 26.04255319],0
u1,1,0.988388,0.000212,[ 1 15] ; [ 4 59],[ 1.01265823 14.98734177] ; [ 3.98734177 59.01265823],0
