Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.101981,2.674286,[21 54] ; [18 24],[25. 50.] ; [14. 28.],0
d4,1,0.110186,2.551559,[64 11] ; [30 11],[60.77586207 14.22413793] ; [33.22413793  7.77586207],0
d1,1,0.14084,2.168754,[41 34] ; [17 25],[37.17948718 37.82051282] ; [20.82051282 21.17948718],0
s8,1,0.162206,1.953537,[31 44] ; [23 19],[34.61538462 40.38461538] ; [19.38461538 22.61538462],0
s5,1,0.169337,1.888801,[33 39] ; [13 27],[29.57142857 42.42857143] ; [16.42857143 23.57142857],0
p7,1,0.171288,1.871636,[39 32] ; [26 12],[42.33944954 28.66055046] ; [22.66055046 15.33944954],0
r1,1,0.191294,1.707621,[56 18] ; [27 15],[52.94827586 21.05172414] ; [30.05172414 11.94827586],0
s7,1,0.230772,1.436099,[28 43] ; [20 19],[30.98181818 40.01818182] ; [17.01818182 21.98181818],0
a8,1,0.234127,1.415613,[ 2 68] ; [ 3 35],[ 3.24074074 66.75925926] ; [ 1.75925926 36.24074074],0
d5,1,0.235491,1.407388,[56 19] ; [27 15],[53.20512821 21.79487179] ; [29.79487179 12.20512821],0
r3,1,0.238417,1.389927,[73  2] ; [38  3],[71.76724138  3.23275862] ; [39.23275862  1.76724138],0
p1,1,0.256128,1.289566,[ 8 65] ; [ 2 40],[ 6.34782609 66.65217391] ; [ 3.65217391 38.34782609],0
u2,1,0.256641,1.286786,[18 10] ; [8 9],[16.17777778 11.82222222] ; [9.82222222 7.17777778],0
p11,1,0.266146,1.236503,[44 31] ; [29 13],[46.79487179 28.20512821] ; [26.20512821 15.79487179],0
n6,1,0.274972,1.191774,[41 33] ; [27 14],[43.75652174 30.24347826] ; [24.24347826 16.75652174],0
n1,1,0.279191,1.171025,[11 18] ; [ 3 11],[ 9.44186047 19.55813953] ; [4.55813953 9.44186047],0
a7,1,0.282222,1.156358,[52 23] ; [33  9],[54.48717949 20.51282051] ; [30.51282051 11.48717949],0
