Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,1e-05,19.443876,[12  1] ; [ 7 26],[5.36956522 7.63043478] ; [13.63043478 19.36956522],1
d5,1,8.7e-05,15.392618,[13  1] ; [10 23],[6.85106383 7.14893617] ; [16.14893617 16.85106383],1
d3,1,9.7e-05,15.194933,[12  2] ; [ 8 25],[5.95744681 8.04255319] ; [14.04255319 18.95744681],1
a4,1,0.004008,8.280345,[8 5] ; [ 6 27],[3.95652174 9.04347826] ; [10.04347826 22.95652174],0
d4,1,0.004212,8.190173,[13  1] ; [16 17],[8.63829787 5.36170213] ; [20.36170213 12.63829787],0
r2,1,0.009119,6.799317,[10  2] ; [13 20],[6.13333333 5.86666667] ; [16.86666667 16.13333333],0
a5,1,0.023132,5.158532,[11  3] ; [14 19],[7.44680851 6.55319149] ; [17.55319149 15.44680851],0
p5,1,0.042641,4.109588,[ 3 11] ; [ 1 31],[ 1.2173913 12.7826087] ; [ 2.7826087 29.2173913],0
p3,1,0.076026,3.147866,[6 8] ; [ 6 27],[ 3.57446809 10.42553191] ; [ 8.42553191 24.57446809],0
v1,1,0.086345,2.941225,[ 1 13] ; [10 23],[ 3.27659574 10.72340426] ; [ 7.72340426 25.27659574],0
a3,1,0.103704,2.64764,[11  3] ; [17 15],[8.52173913 5.47826087] ; [19.47826087 12.52173913],0
n4,1,0.121241,2.401217,[11  3] ; [18 15],[8.63829787 5.36170213] ; [20.36170213 12.63829787],0
s6,1,0.202646,1.623204,[ 1 12] ; [ 8 25],[ 2.54347826 10.45652174] ; [ 6.45652174 26.54347826],0
s3,1,0.225845,1.466837,[6 8] ; [ 8 24],[4.26086957 9.73913043] ; [ 9.73913043 22.26086957],0
a6,1,0.237573,1.394939,[9 5] ; [15 18],[7.14893617 6.85106383] ; [16.85106383 16.14893617],0
s5,1,0.2464,1.343602,[ 3 11] ; [ 3 30],[ 1.78723404 12.21276596] ; [ 4.21276596 28.78723404],0
s7,1,0.281542,1.159629,[ 1 11] ; [ 7 24],[2.23255814 9.76744186] ; [ 5.76744186 25.23255814],0
p2,1,0.295454,1.0946,[ 3 10] ; [13 20],[4.52173913 8.47826087] ; [11.47826087 21.52173913],0
a8,1,0.31323,1.017007,[ 1 13] ; [ 6 26],[ 2.13043478 11.86956522] ; [ 4.86956522 27.13043478],0
b5,1,0.320799,0.985687,[5 9] ; [17 16],[6.55319149 7.44680851] ; [15.44680851 17.55319149],0
v3,1,0.330992,0.945014,[ 1 13] ; [ 6 27],[ 2.08510638 11.91489362] ; [ 4.91489362 28.08510638],0
n3,1,0.349575,0.875,[2 5] ; [7 7],[3. 4.] ; [6. 8.],0
a2,1,0.355403,0.854072,[ 2 12] ; [ 2 31],[ 1.19148936 12.80851064] ; [ 2.80851064 30.19148936],0
u3,1,0.363823,0.824653,[1 2] ; [ 2 14],[0.47368421 2.52631579] ; [ 2.52631579 13.47368421],0
p8,1,0.41757,0.657143,[ 2 12] ; [ 8 24],[ 3.04347826 10.95652174] ; [ 6.95652174 25.04347826],0
s8,1,0.451797,0.56614,[ 1 13] ; [ 5 28],[ 1.78723404 12.21276596] ; [ 4.21276596 28.78723404],0
u1,1,0.522957,0.408057,[ 1 13] ; [ 1 32],[ 0.59574468 13.40425532] ; [ 1.40425532 31.59574468],0
p10,1,0.534314,0.386181,[6 8] ; [11 22],[5.06382979 8.93617021] ; [11.93617021 21.06382979],0
p11,1,0.534314,0.386181,[6 8] ; [11 22],[5.06382979 8.93617021] ; [11.93617021 21.06382979],0
p9,1,0.536805,0.381494,[5 9] ; [15 18],[5.95744681 8.04255319] ; [14.04255319 18.95744681],0
b4,1,0.536805,0.381494,[9 5] ; [18 15],[8.04255319 5.95744681] ; [18.95744681 14.04255319],0
s2,1,0.581013,0.3046,[ 2 12] ; [ 7 26],[ 2.68085106 11.31914894] ; [ 6.31914894 26.68085106],0
r4,1,0.600516,0.274219,[ 3 11] ; [ 5 28],[ 2.38297872 11.61702128] ; [ 5.61702128 27.38297872],0
p1,1,0.600516,0.274219,[ 3 11] ; [ 5 28],[ 2.38297872 11.61702128] ; [ 5.61702128 27.38297872],0
p7,1,0.606153,0.265815,[ 4 10] ; [12 21],[4.76595745 9.23404255] ; [11.23404255 21.76595745],0
n5,1,0.606153,0.265815,[10  4] ; [21 12],[9.23404255 4.76595745] ; [21.76595745 11.23404255],0
n2,1,0.743421,0.107143,[2 5] ; [5 9],[2.33333333 4.66666667] ; [4.66666667 9.33333333],0
n1,1,0.750679,0.100962,[3 4] ; [5 9],[2.66666667 4.33333333] ; [5.33333333 8.66666667],0
b2,1,0.856315,0.032785,[4 5] ; [ 9 13],[3.77419355 5.22580645] ; [ 9.22580645 12.77419355],0
b3,1,0.856315,0.032785,[4 5] ; [ 9 13],[3.77419355 5.22580645] ; [ 9.22580645 12.77419355],0
p6,1,0.857327,0.03232,[ 1 12] ; [ 3 29],[ 1.15555556 11.84444444] ; [ 2.84444444 29.15555556],0
a7,1,0.869889,0.02683,[6 8] ; [15 18],[6.25531915 7.74468085] ; [14.74468085 18.25531915],0
n6,1,0.883063,0.021635,[6 7] ; [14 18],[5.77777778 7.22222222] ; [14.22222222 17.77777778],0
r3,1,0.887494,0.020015,[6 8] ; [13 19],[5.7826087 8.2173913] ; [13.2173913 18.7826087],0
s4,1,0.939225,0.005813,[ 2 12] ; [ 5 28],[ 2.08510638 11.91489362] ; [ 4.91489362 28.08510638],0
s1,1,0.939225,0.005813,[ 2 12] ; [ 5 28],[ 2.08510638 11.91489362] ; [ 4.91489362 28.08510638],0
a1,1,0.939225,0.005813,[ 2 12] ; [ 5 28],[ 2.08510638 11.91489362] ; [ 4.91489362 28.08510638],0
r1,1,0.966203,0.001795,[5 9] ; [12 21],[5.06382979 8.93617021] ; [11.93617021 21.06382979],0
b1,1,0.9781,0.000754,[8 6] ; [19 14],[8.04255319 5.95744681] ; [18.95744681 14.04255319],0
p4,1,0.98677,0.000275,[ 3 11] ; [ 7 26],[ 2.9787234 11.0212766] ; [ 7.0212766 25.9787234],0
