Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,90.587855,[321  81] ; [ 65 102],[272.71001757 129.28998243] ; [113.28998243  53.71001757],1
a4,1,0.0,63.172078,[206 195] ; [ 26 142],[163.50087873 237.49912127] ; [68.49912127 99.50087873],1
d2,1,0.0,55.40091,[222 178] ; [ 36 132],[181.69014085 218.30985915] ; [76.30985915 91.69014085],1
d1,1,0.0,44.231412,[253 149] ; [ 55 114],[216.84063047 185.15936953] ; [91.15936953 77.84063047],1
a6,1,0.0,39.80238,[307  94] ; [84 85],[275.07192982 125.92807018] ; [115.92807018  53.07192982],1
d5,1,0.0,34.987028,[341  60] ; [106  63],[314.46842105  86.53157895] ; [132.53157895  36.46842105],1
u1,1,0.0,28.614328,[ 79 323] ; [  4 165],[ 58.43432574 343.56567426] ; [ 24.56567426 144.43432574],1
d4,1,0.0,27.56126,[341  60] ; [110  58],[317.8400703  83.1599297] ; [133.1599297  34.8400703],1
r4,1,2e-06,22.899544,[374  28] ; [134  35],[357.64623468  44.35376532] ; [150.35376532  18.64623468],1
r1,1,2e-06,22.714741,[337  62] ; [112  56],[315.96296296  83.03703704] ; [133.03703704  34.96296296],1
n4,1,4e-06,21.432162,[306  94] ; [96 72],[283.09859155 116.90140845] ; [118.90140845  49.09859155],1
r2,1,0.000116,14.850746,[386  14] ; [148  20],[376.05633803  23.94366197] ; [157.94366197  10.05633803],1
s7,1,0.000138,14.523939,[173 209] ; [ 45 117],[153.08088235 228.91911765] ; [64.91911765 97.08088235],1
b3,1,0.000213,13.716844,[ 92 155] ; [13 71],[ 78.35347432 168.64652568] ; [26.64652568 57.35347432],1
b2,1,0.000213,13.716844,[ 92 155] ; [13 71],[ 78.35347432 168.64652568] ; [26.64652568 57.35347432],1
v2,1,0.00023,13.567725,[221 163] ; [63 94],[201.58225508 182.41774492] ; [82.41774492 74.58225508],1
n5,1,0.000242,13.473787,[299 101] ; [99 68],[280.77601411 119.22398589] ; [117.22398589  49.77601411],1
d3,1,0.002641,9.040222,[278 123] ; [95 74],[262.40877193 138.59122807] ; [110.59122807  58.40877193],0
s8,1,0.003854,8.351533,[162 237] ; [ 47 122],[146.81514085 252.18485915] ; [ 62.18485915 106.81514085],0
p11,1,0.004792,7.956384,[316  86] ; [114  55],[302.73204904  99.26795096] ; [127.26795096  41.73204904],0
p3,1,0.008089,7.013761,[173 227] ; [ 53 116],[158.87521968 241.12478032] ; [ 67.12478032 101.87521968],0
p4,1,0.00953,6.720644,[202 198] ; [ 64 102],[187.98586572 212.01413428] ; [78.01413428 87.98586572],0
v1,1,0.010867,6.486872,[196 192] ; [ 63 100],[182.38112523 205.61887477] ; [76.61887477 86.38112523],0
p8,1,0.011173,6.43757,[178 219] ; [ 56 112],[164.42123894 232.57876106] ; [69.57876106 98.42123894],0
s6,1,0.014874,5.931386,[258 138] ; [90 76],[245.20996441 150.79003559] ; [102.79003559  63.20996441],0
s5,1,0.025065,5.019364,[118 273] ; [ 34 129],[107.27797834 283.72202166] ; [ 44.72202166 118.27797834],0
p10,1,0.027379,4.866739,[318  82] ; [117  48],[307.96460177  92.03539823] ; [127.03539823  37.96460177],0
r3,1,0.029613,4.731597,[383  19] ; [152  16],[377.31578947  24.68421053] ; [157.68421053  10.31578947],0
v3,1,0.056163,3.647208,[153 230] ; [ 50 110],[143.18416206 239.81583794] ; [ 59.81583794 100.18416206],0
p9,1,0.060164,3.532864,[325  72] ; [122  41],[316.89107143  80.10892857] ; [130.10892857  32.89107143],0
n2,1,0.071948,3.238016,[82 21] ; [31 16],[77.59333333 25.40666667] ; [35.40666667 11.59333333],0
n1,1,0.09341,2.814603,[39 61] ; [12 36],[34.45945946 65.54054054] ; [16.54054054 31.45945946],0
p7,1,0.106497,2.605449,[209 186] ; [74 89],[200.33154122 194.66845878] ; [82.66845878 80.33154122],0
s1,1,0.107824,2.585821,[  9 387] ; [  8 158],[ 11.97864769 384.02135231] ; [  5.02135231 160.97864769],0
s4,1,0.112329,2.521143,[ 55 344] ; [ 32 136],[ 61.22222222 337.77777778] ; [ 25.77777778 142.22222222],0
a8,1,0.113816,2.500414,[ 51 314] ; [ 14 142],[ 45.53742802 319.46257198] ; [ 19.46257198 136.53742802],0
p12,1,0.114392,2.492468,[ 25 375] ; [  5 162],[ 21.16402116 378.83597884] ; [  8.83597884 158.16402116],0
a1,1,0.145444,2.1194,[ 17 385] ; [  3 166],[ 14.08056042 387.91943958] ; [  5.91943958 163.08056042],0
s2,1,0.149134,2.081082,[186 212] ; [ 67 100],[178.21946903 219.78053097] ; [74.78053097 92.21946903],0
p2,1,0.170291,1.88038,[319  81] ; [126  43],[312.82952548  87.17047452] ; [132.17047452  36.82952548],0
b4,1,0.199376,1.646937,[224 178] ; [104  65],[230.92119089 171.07880911] ; [97.07880911 71.92119089],0
a7,1,0.202819,1.621958,[294 108] ; [114  54],[287.74736842 114.25263158] ; [120.25263158  47.74736842],0
n3,1,0.335863,0.92616,[75 26] ; [32 16],[72.53020134 28.46979866] ; [34.46979866 13.53020134],0
n6,1,0.531607,0.391319,[327  74] ; [134  35],[324.31754386  76.68245614] ; [136.68245614  32.31754386],0
b1,1,0.548726,0.359604,[151 251] ; [ 59 110],[147.84588441 254.15411559] ; [ 62.15411559 106.84588441],0
p5,1,0.57853,0.308617,[ 29 369] ; [ 10 157],[ 27.47256637 370.52743363] ; [ 11.52743363 155.47256637],0
u2,1,0.597329,0.279044,[42 38] ; [57 44],[43.75690608 36.24309392] ; [55.24309392 45.75690608],0
u3,1,0.871996,0.025961,[46 34] ; [58 45],[45.46448087 34.53551913] ; [58.53551913 44.46448087],0
b5,1,0.877452,0.023778,[247 155] ; [105  64],[247.8178634 154.1821366] ; [104.1821366  64.8178634],0
s3,1,0.901028,0.015466,[211 187] ; [86 78],[210.33096085 187.66903915] ; [86.66903915 77.33096085],0
p1,1,0.945463,0.004679,[ 22 378] ; [  9 159],[ 21.83098592 378.16901408] ; [  9.16901408 158.83098592],0
