Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000161,14.236974,[18 83] ; [14 12],[25.4488189 75.5511811] ; [ 6.5511811 19.4488189],1
p7,1,0.003534,8.508971,[35 68] ; [17  9],[41.51937984 61.48062016] ; [10.48062016 15.51937984],0
b3,1,0.003855,8.350877,[17 51] ; [10  6],[21.85714286 46.14285714] ; [ 5.14285714 10.85714286],0
b2,1,0.003855,8.350877,[17 51] ; [10  6],[21.85714286 46.14285714] ; [ 5.14285714 10.85714286],0
r3,1,0.004474,8.080701,[71 32] ; [25  1],[76.65116279 26.34883721] ; [19.34883721  6.65116279],0
s7,1,0.008245,6.979544,[19 74] ; [12 14],[24.22689076 68.77310924] ; [ 6.77310924 19.22689076],0
p4,1,0.009531,6.720584,[28 75] ; [14 12],[33.53488372 69.46511628] ; [ 8.46511628 17.53488372],0
s2,1,0.015928,5.810776,[23 79] ; [12 14],[27.890625 74.109375] ; [ 7.109375 18.890625],0
b4,1,0.019139,5.488756,[62 41] ; [ 9 17],[56.68992248 46.31007752] ; [14.31007752 11.68992248],0
v4,1,0.043229,4.086434,[76 27] ; [24  2],[79.84496124 23.15503876] ; [20.15503876  5.84496124],0
n2,1,0.048377,3.896835,[23 24] ; [9 2],[25.93103448 21.06896552] ; [6.06896552 4.93103448],0
r4,1,0.053917,3.715281,[67 36] ; [22  4],[71.0620155 31.9379845] ; [17.9379845  8.0620155],0
a5,1,0.057222,3.616116,[61 42] ; [10 16],[56.68992248 46.31007752] ; [14.31007752 11.68992248],0
p2,1,0.071697,3.243745,[51 52] ; [18  8],[55.09302326 47.90697674] ; [13.90697674 12.09302326],0
p11,1,0.082328,3.018335,[40 63] ; [15 11],[43.91472868 59.08527132] ; [11.08527132 14.91472868],0
a3,1,0.086195,2.944038,[61 39] ; [11 15],[57.14285714 42.85714286] ; [14.85714286 11.14285714],0
s6,1,0.087608,2.917795,[38 64] ; [14 11],[41.76377953 60.23622047] ; [10.23622047 14.76377953],0
p9,1,0.088198,2.90696,[28 70] ; [12 14],[31.61290323 66.38709677] ; [ 8.38709677 17.61290323],0
b5,1,0.100461,2.698217,[57 46] ; [19  7],[60.68217054 42.31782946] ; [15.31782946 10.68217054],0
p1,1,0.110833,2.542298,[ 6 95] ; [ 4 22],[ 7.95275591 93.04724409] ; [ 2.04724409 23.95275591],0
s8,1,0.11547,2.477713,[15 87] ; [ 7 18],[17.66929134 84.33070866] ; [ 4.33070866 20.66929134],0
v3,1,0.117602,2.448975,[21 79] ; [ 2 24],[18.25396825 81.74603175] ; [ 4.74603175 21.25396825],0
p3,1,0.133525,2.251034,[28 75] ; [11 15],[31.13953488 71.86046512] ; [ 7.86046512 18.13953488],0
a2,1,0.184418,1.761656,[19 84] ; [ 2 24],[16.76744186 86.23255814] ; [ 4.23255814 21.76744186],0
s3,1,0.190199,1.716072,[40 61] ; [14 12],[42.94488189 58.05511811] ; [11.05511811 14.94488189],0
u2,1,0.232497,1.425521,[15 27] ; [8 7],[16.94736842 25.05263158] ; [6.05263158 8.94736842],0
a7,1,0.271444,1.209433,[55 48] ; [17  9],[57.48837209 45.51162791] ; [14.51162791 11.48837209],0
u4,1,0.28897,1.124416,[  1 102] ; [ 1 25],[  1.59689922 101.40310078] ; [ 0.40310078 25.59689922],0
p5,1,0.313951,1.01398,[ 6 96] ; [ 3 23],[ 7.171875 94.828125] ; [ 1.828125 24.171875],0
n3,1,0.345151,0.891204,[21 23] ; [7 4],[22.4 21.6] ; [5.6 5.4],0
