Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-06,22.777418,[65  5] ; [42 30],[52.74647887 17.25352113] ; [54.25352113 17.74647887],1
p9,1,1.8e-05,18.363448,[49 20] ; [23 44],[36.52941176 32.47058824] ; [35.47058824 31.52941176],1
r4,1,2.4e-05,17.848957,[58 12] ; [36 37],[46.01398601 23.98601399] ; [47.98601399 25.01398601],1
p10,1,6.6e-05,15.914922,[46 24] ; [22 47],[34.24460432 35.75539568] ; [33.75539568 35.24460432],1
n6,1,0.000789,11.266374,[54 16] ; [36 36],[44.36619718 25.63380282] ; [45.63380282 26.36619718],1
s8,1,0.001999,9.550196,[28 42] ; [12 60],[19.71830986 50.28169014] ; [20.28169014 51.71830986],0
b4,1,0.004824,7.944144,[48 22] ; [33 40],[39.65034965 30.34965035] ; [41.34965035 31.65034965],0
a1,1,0.01111,6.447593,[ 2 68] ; [11 62],[ 6.36363636 63.63636364] ; [ 6.63636364 66.36363636],0
s6,1,0.011389,6.403656,[39 30] ; [25 46],[31.54285714 37.45714286] ; [32.45714286 38.54285714],0
s2,1,0.015262,5.885921,[31 37] ; [19 54],[24.11347518 43.88652482] ; [25.88652482 47.11347518],0
v4,1,0.023461,5.134069,[59 11] ; [49 23],[53.23943662 16.76056338] ; [54.76056338 17.23943662],0
p12,1,0.026084,4.950425,[ 7 63] ; [ 1 71],[ 3.94366197 66.05633803] ; [ 4.05633803 67.94366197],0
s7,1,0.032061,4.595242,[28 40] ; [16 51],[22.16296296 45.83703704] ; [21.83703704 45.16296296],0
u2,1,0.039754,4.228352,[18  9] ; [10 16],[14.26415094 12.73584906] ; [13.73584906 12.26415094],0
v1,1,0.043937,4.058984,[29 40] ; [19 54],[23.32394366 45.67605634] ; [24.67605634 48.32394366],0
n2,1,0.045316,4.006849,[18  5] ; [20 18],[14.32786885  8.67213115] ; [23.67213115 14.32786885],0
v2,1,0.045579,3.99707,[31 31] ; [23 47],[25.36363636 36.63636364] ; [28.63636364 41.36363636],0
p6,1,0.056862,3.626617,[12 57] ; [ 5 67],[ 8.31914894 60.68085106] ; [ 8.68085106 63.31914894],0
s3,1,0.07716,3.12372,[32 36] ; [23 48],[26.90647482 41.09352518] ; [28.09352518 42.90647482],0
s1,1,0.087523,2.919347,[ 3 65] ; [ 9 63],[ 5.82857143 62.17142857] ; [ 6.17142857 65.82857143],0
a7,1,0.132886,2.258458,[36 34] ; [46 26],[40.42253521 29.57746479] ; [41.57746479 30.42253521],0
b1,1,0.153435,2.037764,[30 40] ; [40 33],[34.26573427 35.73426573] ; [35.73426573 37.26573427],0
d5,1,0.174581,1.843164,[42 28] ; [51 21],[45.84507042 24.15492958] ; [47.15492958 24.84507042],0
u3,1,0.176183,1.829534,[17 11] ; [11 15],[14.51851852 13.48148148] ; [13.48148148 12.51851852],0
n5,1,0.176325,1.82833,[46 23] ; [40 32],[42.08510638 26.91489362] ; [43.91489362 28.08510638],0
p7,1,0.192624,1.697431,[18 47] ; [13 58],[14.81617647 50.18382353] ; [16.18382353 54.81617647],0
a4,1,0.194023,1.686802,[25 45] ; [33 38],[28.79432624 41.20567376] ; [29.20567376 41.79432624],0
p5,1,0.214453,1.541108,[ 5 63] ; [ 2 70],[ 3.4 64.6] ; [ 3.6 68.4],0
a5,1,0.218586,1.513633,[37 33] ; [46 27],[40.62937063 29.37062937] ; [42.37062937 30.62937063],0
d4,1,0.225148,1.471252,[54 16] ; [49 23],[50.77464789 19.22535211] ; [52.22535211 19.77464789],0
a2,1,0.253919,1.301611,[11 59] ; [17 56],[13.70629371 56.29370629] ; [14.29370629 58.70629371],0
n4,1,0.288668,1.125821,[45 25] ; [40 32],[41.90140845 28.09859155] ; [43.09859155 28.90140845],0
n1,1,0.296417,1.090244,[12 10] ; [15 22],[10.06779661 11.93220339] ; [16.93220339 20.06779661],0
p8,1,0.317479,0.999302,[13 57] ; [ 9 63],[10.84507042 59.15492958] ; [11.15492958 60.84507042],0
p4,1,0.342036,0.902787,[15 54] ; [11 60],[12.81428571 56.18571429] ; [13.18571429 57.81428571],0
s5,1,0.349426,0.875539,[16 51] ; [12 57],[13.79411765 53.20588235] ; [14.20588235 54.79411765],0
r2,1,0.352287,0.865204,[60  9] ; [56 13],[58. 11.] ; [58. 11.],0
n3,1,0.365878,0.817617,[14  8] ; [18 17],[12.35087719  9.64912281] ; [19.64912281 15.35087719],0
b5,1,0.421625,0.645781,[43 27] ; [40 33],[40.62937063 29.37062937] ; [42.37062937 30.62937063],0
b2,1,0.423121,0.641631,[14 31] ; [18 28],[15.82417582 29.17582418] ; [16.17582418 29.82417582],0
b3,1,0.423121,0.641631,[14 31] ; [18 28],[15.82417582 29.17582418] ; [16.17582418 29.82417582],0
a3,1,0.445714,0.581528,[42 28] ; [47 24],[44.18439716 25.81560284] ; [44.81560284 26.18439716],0
d1,1,0.460238,0.545316,[35 35] ; [32 41],[32.7972028 37.2027972] ; [34.2027972 38.7972028],0
r1,1,0.460466,0.544761,[46 24] ; [43 29],[43.87323944 26.12676056] ; [45.12676056 26.87323944],0
d3,1,0.487213,0.482676,[41 29] ; [38 34],[38.94366197 31.05633803] ; [40.05633803 31.94366197],0
a6,1,0.487213,0.482676,[41 29] ; [38 34],[38.94366197 31.05633803] ; [40.05633803 31.94366197],0
p1,1,0.597915,0.278152,[ 5 65] ; [ 7 66],[ 5.87412587 64.12587413] ; [ 6.12587413 66.87412587],0
d2,1,0.670259,0.181299,[32 38] ; [35 36],[33.26241135 36.73758865] ; [33.73758865 37.26241135],0
v3,1,0.7149,0.133432,[22 43] ; [21 47],[21.01503759 43.98496241] ; [21.98496241 46.01503759],0
a8,1,0.770733,0.084923,[ 6 63] ; [ 7 62],[ 6.5 62.5] ; [ 6.5 62.5],0
u1,1,0.92414,0.009067,[ 9 61] ; [ 9 64],[ 8.81118881 61.18881119] ; [ 9.18881119 63.81118881],0
s4,1,0.948019,0.00425,[12 57] ; [13 60],[12.14788732 56.85211268] ; [12.85211268 60.14788732],0
