Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000192,13.910948,[99 22] ; [19 18],[90.36708861 30.63291139] ; [27.63291139  9.36708861],1
b1,1,0.003387,8.586223,[42 82] ; [24 16],[49.90243902 74.09756098] ; [16.09756098 23.90243902],0
p9,1,0.014234,6.00886,[101  22] ; [24 14],[95.49689441 27.50310559] ; [29.50310559  8.49689441],0
n3,1,0.038434,4.285714,[27  1] ; [9 3],[25.2  2.8] ; [10.8  1.2],0
r1,1,0.048337,3.898247,[90 33] ; [22 17],[85.03703704 37.96296296] ; [26.96296296 12.03703704],0
p8,1,0.051328,3.797548,[62 59] ; [13 26],[56.71875 64.28125] ; [18.28125 20.71875],0
b4,1,0.056494,3.637441,[68 56] ; [15 25],[62.75609756 61.24390244] ; [20.24390244 19.75609756],0
n5,1,0.082138,3.022073,[94 30] ; [24 15],[89.76687117 34.23312883] ; [28.23312883 10.76687117],0
a8,1,0.087499,2.919802,[ 12 101] ; [ 8 29],[15.06666667 97.93333333] ; [ 4.93333333 32.06666667],0
n1,1,0.108789,2.571732,[11 16] ; [ 2 11],[ 8.775 18.225] ; [4.225 8.775],0
n2,1,0.112266,2.522036,[25  3] ; [9 4],[23.2195122  4.7804878] ; [10.7804878  2.2195122],0
a4,1,0.127679,2.320503,[33 90] ; [ 6 34],[29.42944785 93.57055215] ; [ 9.57055215 30.42944785],0
n4,1,0.132671,2.260968,[89 35] ; [23 16],[85.20245399 38.79754601] ; [26.79754601 12.20245399],0
p3,1,0.140535,2.172089,[59 63] ; [14 26],[54.97530864 67.02469136] ; [18.02469136 21.97530864],0
b2,1,0.18925,1.723449,[19 59] ; [ 2 17],[16.88659794 61.11340206] ; [ 4.11340206 14.88659794],0
b3,1,0.18925,1.723449,[19 59] ; [ 2 17],[16.88659794 61.11340206] ; [ 4.11340206 14.88659794],0
d3,1,0.224123,1.477774,[33 91] ; [14 24],[35.97530864 88.02469136] ; [11.02469136 26.97530864],0
a6,1,0.242141,1.368085,[78 46] ; [21 19],[74.85365854 49.14634146] ; [24.14634146 15.85365854],0
s2,1,0.257899,1.28,[42 78] ; [18 22],[45. 75.] ; [15. 25.],0
p4,1,0.291085,1.114596,[62 61] ; [24 16],[64.89570552 58.10429448] ; [21.10429448 18.89570552],0
d2,1,0.328288,0.955639,[31 93] ; [ 7 33],[28.73170732 95.26829268] ; [ 9.26829268 30.73170732],0
v2,1,0.331123,0.9445,[55 61] ; [15 24],[52.38709677 63.61290323] ; [17.61290323 21.38709677],0
s3,1,0.337791,0.918799,[59 62] ; [23 17],[61.62732919 59.37267081] ; [20.37267081 19.62732919],0
u2,1,0.358485,0.843193,[28 33] ; [ 8 15],[26.14285714 34.85714286] ; [ 9.85714286 13.14285714],0
a3,1,0.360775,0.835194,[63 61] ; [17 23],[60.48780488 63.51219512] ; [19.51219512 20.48780488],0
b5,1,0.386412,0.750202,[71 53] ; [26 14],[73.34146341 50.65853659] ; [23.65853659 16.34146341],0
v1,1,0.462963,0.538721,[56 64] ; [16 24],[54. 66.] ; [18. 22.],0
a7,1,0.487877,0.481206,[75 49] ; [26 13],[76.83435583 47.16564417] ; [24.16564417 14.83435583],0
d5,1,0.494817,0.466035,[59 65] ; [21 18],[60.85889571 63.14110429] ; [19.14110429 19.85889571],0
d1,1,0.524602,0.404837,[  6 118] ; [ 1 39],[  5.29268293 118.70731707] ; [ 1.70731707 38.29268293],0
v4,1,0.544163,0.367879,[115   6] ; [37  3],[114.23602484   6.76397516] ; [37.76397516  2.23602484],0
s7,1,0.564426,0.332099,[44 72] ; [16 21],[45.49019608 70.50980392] ; [14.50980392 22.49019608],0
r2,1,0.570904,0.321173,[110  13] ; [37  3],[110.92638037  12.07361963] ; [36.07361963  3.92638037],0
n6,1,0.583437,0.300712,[101  23] ; [31  9],[99.80487805 24.19512195] ; [32.19512195  7.80487805],0
p1,1,0.60329,0.270062,[ 16 106] ; [ 4 36],[ 15.0617284 106.9382716] ; [ 4.9382716 35.0617284],0
p5,1,0.688465,0.160752,[ 12 110] ; [ 3 36],[ 11.36645963 110.63354037] ; [ 3.63354037 35.36645963],0
u3,1,0.704844,0.143482,[29 32] ; [12 11],[29.77380952 31.22619048] ; [11.22619048 11.77380952],0
v3,1,0.725814,0.12299,[39 83] ; [11 27],[38.125 83.875] ; [11.875 26.125],0
