Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,36.539418,[ 28 119] ; [94 89],[54.34545455 92.65454545] ; [ 67.65454545 115.34545455],1
v1,1,0.0,33.591399,[51 97] ; [124  63],[77.31343284 70.68656716] ; [97.68656716 89.31343284],1
r1,1,0.004942,7.900595,[101  47] ; [154  35],[111.98813056  36.01186944] ; [143.01186944  45.98813056],0
d5,1,0.00782,7.074142,[123  26] ; [174  15],[130.9260355  18.0739645] ; [166.0739645  22.9260355],0
d3,1,0.008049,7.022454,[102  47] ; [153  36],[112.4112426  36.5887574] ; [142.5887574  46.4112426],0
r3,1,0.00815,7.000256,[130  19] ; [180   9],[136.65680473  12.34319527] ; [173.34319527  15.65680473],0
d1,1,0.008525,6.919745,[86 63] ; [135  54],[97.42307692 51.57692308] ; [123.57692308  65.42307692],0
r4,1,0.009133,6.796728,[118  31] ; [169  20],[126.51775148  22.48224852] ; [160.48224852  28.51775148],0
u1,1,0.017409,5.654638,[ 17 132] ; [ 40 149],[ 25.12721893 123.87278107] ; [ 31.87278107 157.12721893],0
a2,1,0.022368,5.216895,[ 24 125] ; [ 50 139],[ 32.62130178 116.37869822] ; [ 41.37869822 147.62130178],0
p3,1,0.02309,5.161731,[56 92] ; [94 93],[66.26865672 81.73134328] ; [ 83.73134328 103.26865672],0
v4,1,0.024554,5.055041,[131  18] ; [179  10],[136.65680473  12.34319527] ; [173.34319527  15.65680473],0
p7,1,0.026162,4.945312,[73 74] ; [115  71],[82.99099099 64.00900901] ; [105.00900901  80.99099099],0
n4,1,0.026215,4.941807,[98 51] ; [145  44],[107.12130178  41.87869822] ; [135.87869822  53.12130178],0
a4,1,0.04092,4.179308,[59 89] ; [96 92],[68.27380952 79.72619048] ; [ 86.72619048 101.27380952],0
p10,1,0.044196,4.049073,[102  45] ; [147  39],[109.91891892  37.08108108] ; [139.08108108  46.91891892],0
a6,1,0.046638,3.958393,[92 57] ; [136  53],[100.50887574  48.49112426] ; [127.49112426  61.50887574],0
p2,1,0.062745,3.463306,[106  41] ; [151  36],[113.11077844  33.88922156] ; [143.88922156  43.11077844],0
p4,1,0.0662,3.374827,[71 77] ; [108  78],[79.31736527 68.68263473] ; [99.68263473 86.31736527],0
r2,1,0.071483,3.248629,[127  20] ; [171  14],[131.94578313  15.05421687] ; [166.05421687  18.94578313],0
s1,1,0.074286,3.185683,[  6 142] ; [  2 186],[  3.52380952 144.47619048] ; [  4.47619048 183.52380952],0
d2,1,0.107606,2.589028,[64 83] ; [99 90],[71.3125 75.6875] ; [91.6875 97.3125],0
a3,1,0.111428,2.533852,[97 51] ; [139  50],[103.64391691  44.35608309] ; [132.35608309  56.64391691],0
s8,1,0.131125,2.279141,[ 32 116] ; [ 54 133],[ 37.99402985 110.00597015] ; [ 48.00597015 138.99402985],0
b1,1,0.143567,2.1393,[62 87] ; [ 64 125],[55.5443787 93.4556213] ; [ 70.4556213 118.5443787],0
p11,1,0.146099,2.112515,[103  46] ; [144  45],[108.88461538  40.11538462] ; [138.11538462  50.88461538],0
p9,1,0.151797,2.054095,[108  39] ; [149  37],[113.45045045  33.54954955] ; [143.54954955  42.45045045],0
n5,1,0.153617,2.035959,[93 55] ; [132  56],[99.10714286 48.89285714] ; [125.89285714  62.10714286],0
p1,1,0.207245,1.590566,[ 12 136] ; [  9 180],[  9.22255193 138.77744807] ; [ 11.77744807 177.22255193],0
a8,1,0.209343,1.575966,[ 12 127] ; [ 21 138],[ 15.39261745 123.60738255] ; [ 17.60738255 141.39261745],0
a1,1,0.211221,1.563039,[  5 144] ; [ 12 177],[  7.49408284 141.50591716] ; [  9.50591716 179.49408284],0
a7,1,0.227641,1.455541,[104  45] ; [143  46],[108.88461538  40.11538462] ; [138.11538462  50.88461538],0
u2,1,0.235663,1.406353,[30 22] ; [22 26],[27.04 24.96] ; [24.96 23.04],0
p6,1,0.257072,1.284458,[ 41 106] ; [ 62 122],[ 45.74320242 101.25679758] ; [ 57.25679758 126.74320242],0
a5,1,0.261522,1.260682,[108  41] ; [147  42],[112.4112426  36.5887574] ; [142.5887574  46.4112426],0
s7,1,0.278453,1.174623,[ 35 105] ; [ 54 123],[ 39.30599369 100.69400631] ; [ 49.69400631 127.30599369],0
n3,1,0.294475,1.099049,[27 20] ; [28 13],[29.375 17.625] ; [25.625 15.375],0
s5,1,0.327919,0.957098,[ 30 115] ; [ 47 139],[ 33.73111782 111.26888218] ; [ 43.26888218 142.73111782],0
p8,1,0.335691,0.926818,[67 82] ; [92 91],[71.35843373 77.64156627] ; [87.64156627 95.35843373],0
u3,1,0.37253,0.795208,[29 22] ; [24 26],[26.76237624 24.23762376] ; [26.23762376 23.76237624],0
s6,1,0.387408,0.747061,[61 85] ; [ 87 100],[64.88888889 81.11111111] ; [ 83.11111111 103.88888889],0
n2,1,0.419099,0.652841,[29 20] ; [27 13],[30.83146067 18.16853933] ; [25.16853933 14.83146067],0
n6,1,0.444952,0.583478,[119  28] ; [159  30],[121.625  25.375] ; [156.375  32.625],0
s2,1,0.466588,0.530046,[ 21 127] ; [ 32 155],[ 23.41492537 124.58507463] ; [ 29.58507463 157.41492537],0
b4,1,0.612467,0.256598,[90 59] ; [109  80],[87.72485207 61.27514793] ; [111.27514793  77.72485207],0
p5,1,0.681798,0.168109,[ 13 135] ; [ 19 169],[ 14.0952381 133.9047619] ; [ 17.9047619 170.0952381],0
