Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,150.713845,[265  31] ; [17 60],[223.78552279  72.21447721] ; [58.21447721 18.78552279],1
p2,1,0.0,27.071553,[253  45] ; [46 33],[236.34482759  61.65517241] ; [62.65517241 16.34482759],1
p11,1,1e-06,24.887816,[247  53] ; [44 35],[230.34300792  69.65699208] ; [60.65699208 18.34300792],1
n5,1,2e-06,22.681337,[222  75] ; [37 42],[204.58244681  92.41755319] ; [54.41755319 24.58244681],1
n6,1,7.7e-05,15.629714,[249  49] ; [50 29],[236.34482759  61.65517241] ; [62.65517241 16.34482759],1
p8,1,0.000145,14.440656,[154 143] ; [22 57],[139.0212766 157.9787234] ; [36.9787234 42.0212766],1
b1,1,0.000992,10.842733,[106 194] ; [44 35],[118.73350923 181.26649077] ; [31.26649077 47.73350923],1
s6,1,0.001182,10.518504,[194  99] ; [36 42],[181.64420485 111.35579515] ; [48.35579515 29.64420485],0
s1,1,0.003359,8.601521,[  8 288] ; [ 8 70],[ 12.6631016 283.3368984] ; [ 3.3368984 74.6631016],0
s8,1,0.003773,8.389811,[114 186] ; [16 62],[103.17460317 196.82539683] ; [26.82539683 51.17460317],0
s7,1,0.004889,7.920014,[129 157] ; [20 54],[118.37222222 167.62777778] ; [30.62777778 43.37222222],0
a5,1,0.011057,6.456123,[177 123] ; [34 45],[167.01846966 132.98153034] ; [43.98153034 35.01846966],0
a3,1,0.016024,5.800258,[174 125] ; [34 45],[164.52910053 134.47089947] ; [43.47089947 35.52910053],0
s5,1,0.019868,5.423489,[ 87 201] ; [13 64],[ 78.90410959 209.09589041] ; [21.09589041 55.90410959],0
v1,1,0.023856,5.105096,[148 142] ; [29 50],[139.10569106 150.89430894] ; [37.89430894 41.10569106],0
a4,1,0.029633,4.730468,[ 82 218] ; [12 66],[ 74.6031746 225.3968254] ; [19.3968254 58.6031746],0
v2,1,0.049375,3.862548,[147 138] ; [30 47],[139.35082873 145.64917127] ; [37.64917127 39.35082873],0
p12,1,0.06303,3.455796,[ 20 278] ; [ 1 77],[ 16.64361702 281.35638298] ; [ 4.35638298 73.64361702],0
s2,1,0.068653,3.314945,[133 164] ; [26 52],[125.928 171.072] ; [33.072 44.928],0
p4,1,0.070872,3.262699,[157 142] ; [32 46],[149.89655172 149.10344828] ; [39.10344828 38.89655172],0
p5,1,0.082962,3.005897,[ 35 263] ; [ 4 75],[ 30.82758621 267.17241379] ; [ 8.17241379 70.82758621],0
v4,1,0.153247,2.039627,[280  17] ; [70  8],[277.2  19.8] ; [72.8  5.2],0
a2,1,0.161998,1.955474,[ 20 280] ; [ 2 77],[ 17.41424802 282.58575198] ; [ 4.58575198 74.41424802],0
a7,1,0.17428,1.845736,[198 100] ; [46 33],[192.87002653 105.12997347] ; [51.12997347 27.87002653],0
a6,1,0.175723,1.833428,[181 119] ; [41 38],[175.72559367 124.27440633] ; [46.27440633 32.72559367],0
p6,1,0.197758,1.658854,[ 97 198] ; [20 59],[ 92.28609626 202.71390374] ; [24.71390374 54.28609626],0
p7,1,0.238432,1.38984,[183 110] ; [43 35],[178.4851752 114.5148248] ; [47.5148248 30.4851752],0
p3,1,0.262502,1.255514,[135 165] ; [30 49],[130.60686016 169.39313984] ; [34.39313984 44.60686016],0
b3,1,0.280005,1.167067,[ 55 109] ; [11 33],[ 52.03846154 111.96153846] ; [13.96153846 30.03846154],0
