Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.0,27.149638,[  7 111] ; [10 12],[ 14.32857143 103.67142857] ; [ 2.67142857 19.32857143],1
p5,1,3.2e-05,17.268672,[  2 116] ; [ 5 17],[  5.9 112.1] ; [ 1.1 20.9],1
p7,1,0.000133,14.594255,[19 96] ; [11  9],[25.55555556 89.44444444] ; [ 4.44444444 15.55555556],1
p4,1,0.009209,6.781798,[ 17 101] ; [ 8 13],[21.22302158 96.77697842] ; [ 3.77697842 17.22302158],0
s1,1,0.051823,3.78149,[  7 110] ; [ 4 18],[  9.25899281 107.74100719] ; [ 1.74100719 20.25899281],0
p10,1,0.05303,3.742961,[53 63] ; [15  7],[57.15942029 58.84057971] ; [10.84057971 11.15942029],0
p1,1,0.074251,3.186449,[  8 112] ; [ 4 18],[ 10.14084507 109.85915493] ; [ 1.85915493 20.14084507],0
v4,1,0.084349,2.979049,[88 31] ; [20  2],[91.14893617 27.85106383] ; [16.85106383  5.14893617],0
v1,1,0.085548,2.956213,[37 82] ; [11 11],[40.5106383 78.4893617] ; [ 7.4893617 14.5106383],0
n3,1,0.095612,2.77726,[30 21] ; [1 4],[28.23214286 22.76785714] ; [2.76785714 2.23214286],0
s6,1,0.113474,2.505153,[51 67] ; [13  8],[54.33093525 63.66906475] ; [ 9.66906475 11.33093525],0
d2,1,0.11678,2.459981,[59 59] ; [ 7 15],[55.62857143 62.37142857] ; [10.37142857 11.62857143],0
p9,1,0.127041,2.328288,[57 56] ; [15  7],[60.26666667 52.73333333] ; [11.73333333 10.26666667],0
a2,1,0.172929,1.857367,[26 94] ; [ 2 20],[23.66197183 96.33802817] ; [ 4.33802817 17.66197183],0
s2,1,0.216856,1.525054,[40 79] ; [10 11],[42.5 76.5] ; [ 7.5 13.5],0
d5,1,0.218845,1.51193,[81 38] ; [12 10],[78.4893617 40.5106383] ; [14.5106383  7.4893617],0
a4,1,0.219262,1.509195,[51 68] ; [ 6 15],[48.45 70.55] ; [ 8.55 12.45],0
d4,1,0.278732,1.17326,[89 30] ; [14  8],[86.92907801 32.07092199] ; [16.07092199  5.92907801],0
a3,1,0.281178,1.161388,[77 42] ; [11 10],[74.8 44.2] ; [13.2  7.8],0
b2,1,0.309547,1.03261,[29 48] ; [ 3 10],[27.37777778 49.62222222] ; [4.62222222 8.37777778],0
b3,1,0.309547,1.03261,[29 48] ; [ 3 10],[27.37777778 49.62222222] ; [4.62222222 8.37777778],0
p11,1,0.317479,0.999302,[57 63] ; [13  9],[59.15492958 60.84507042] ; [10.84507042 11.15492958],0
s5,1,0.33548,0.927628,[22 92] ; [ 6 15],[23.64444444 90.35555556] ; [ 4.35555556 16.64444444],0
u3,1,0.380707,0.768418,[21 22] ; [7 4],[22.2962963 20.7037037] ; [5.7037037 5.2962963],0
n2,1,0.419235,0.652458,[34 21] ; [4 1],[34.83333333 20.16666667] ; [3.16666667 1.83333333],0
r2,1,0.422312,0.643871,[97 19] ; [19  2],[98.2189781 17.7810219] ; [17.7810219  3.2189781],0
a6,1,0.433875,0.612428,[65 54] ; [14  8],[66.67375887 52.32624113] ; [12.32624113  9.67375887],0
n1,1,0.475447,0.509289,[23 30] ; [3 2],[23.75862069 29.24137931] ; [2.24137931 2.75862069],0
r4,1,0.481216,0.496107,[78 42] ; [16  6],[79.43661972 40.56338028] ; [14.56338028  7.43661972],0
v2,1,0.515705,0.422474,[44 66] ; [10 11],[45.34351145 64.65648855] ; [ 8.65648855 12.34351145],0
n4,1,0.549344,0.358495,[73 46] ; [12 10],[71.73758865 47.26241135] ; [13.26241135  8.73758865],0
u2,1,0.581995,0.303021,[23 19] ; [5 6],[22.18867925 19.81132075] ; [5.81132075 5.18867925],0
u1,1,0.582449,0.302292,[ 16 104] ; [ 2 20],[ 15.21126761 104.78873239] ; [ 2.78873239 19.21126761],0
s4,1,0.584169,0.299543,[22 97] ; [ 3 19],[21.09929078 97.90070922] ; [ 3.90070922 18.09929078],0
n6,1,0.614583,0.253555,[77 42] ; [13  9],[75.95744681 43.04255319] ; [14.04255319  7.95744681],0
r1,1,0.669801,0.181834,[76 43] ; [13  9],[75.11347518 43.88652482] ; [13.88652482  8.11347518],0
v3,1,0.677936,0.172459,[35 75] ; [ 8 14],[35.83333333 74.16666667] ; [ 7.16666667 14.83333333],0
s8,1,0.696036,0.152629,[33 86] ; [ 7 15],[33.75886525 85.24113475] ; [ 6.24113475 15.75886525],0
r3,1,0.706123,0.14218,[91 28] ; [16  6],[90.30496454 28.69503546] ; [16.69503546  5.30496454],0
b1,1,0.748783,0.102557,[59 61] ; [10 12],[58.30985915 61.69014085] ; [10.69014085 11.30985915],0
d3,1,0.752746,0.099238,[66 53] ; [13  9],[66.67375887 52.32624113] ; [12.32624113  9.67375887],0
