Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,2e-06,22.275,[5 5] ; [95  5],[9.09090909 0.90909091] ; [90.90909091  9.09090909],1
v4,1,1.7e-05,18.521615,[6 3] ; [98  2],[8.58715596 0.41284404] ; [95.41284404  4.58715596],1
r3,1,8.2e-05,15.520406,[7 4] ; [96  4],[10.20720721  0.79279279] ; [92.79279279  7.20720721],1
r1,1,0.000106,15.025285,[4 8] ; [82 17],[9.2972973 2.7027027] ; [76.7027027 22.2972973],1
n6,1,0.020596,5.360624,[7 4] ; [88 11],[9.5 1.5] ; [85.5 13.5],0
d2,1,0.022662,5.194203,[5 7] ; [15 85],[2.14285714 9.85714286] ; [17.85714286 82.14285714],0
p10,1,0.029284,4.750844,[6 5] ; [80 17],[8.75925926 2.24074074] ; [77.24074074 19.75925926],0
s8,1,0.036424,4.377139,[ 2 10] ; [48 51],[5.40540541 6.59459459] ; [44.59459459 54.40540541],0
p9,1,0.055451,3.668478,[8 4] ; [84 12],[10.22222222  1.77777778] ; [81.77777778 14.22222222],0
n3,1,0.057579,3.605769,[1 3] ; [19  7],[2.66666667 1.33333333] ; [17.33333333  8.66666667],0
n4,1,0.057768,3.600337,[6 6] ; [75 24],[8.75675676 3.24324324] ; [72.24324324 26.75675676],0
b2,1,0.095647,2.776664,[1 8] ; [20 30],[3.20338983 5.79661017] ; [17.79661017 32.20338983],0
b3,1,0.095647,2.776664,[1 8] ; [20 30],[3.20338983 5.79661017] ; [17.79661017 32.20338983],0
a7,1,0.114653,2.488889,[5 7] ; [65 35],[7.5 4.5] ; [62.5 37.5],0
a3,1,0.115409,2.47855,[4 7] ; [61 39],[6.44144144 4.55855856] ; [58.55855856 41.44144144],0
p8,1,0.135116,2.232712,[4 8] ; [55 43],[6.43636364 5.56363636] ; [52.56363636 45.43636364],0
v2,1,0.164736,1.930206,[4 8] ; [54 45],[6.27027027 5.72972973] ; [51.72972973 47.27027027],0
v3,1,0.174503,1.843824,[2 9] ; [39 61],[4.06306306 6.93693694] ; [36.93693694 63.06306306],0
n5,1,0.179514,1.801642,[6 5] ; [73 26],[7.9 3.1] ; [71.1 27.9],0
a5,1,0.198325,1.654668,[5 7] ; [61 39],[7.07142857 4.92857143] ; [58.92857143 41.07142857],0
b1,1,0.231063,1.434308,[3 9] ; [43 57],[4.92857143 7.07142857] ; [41.07142857 58.92857143],0
s6,1,0.237807,1.393548,[9 3] ; [84 12],[10.33333333  1.66666667] ; [82.66666667 13.33333333],0
b4,1,0.256365,1.288279,[9 3] ; [58 42],[7.17857143 4.82142857] ; [59.82142857 40.17857143],0
u3,1,0.265758,1.238512,[3 5] ; [23 16],[4.42553191 3.57446809] ; [21.57446809 17.42553191],0
p5,1,0.281333,1.160637,[ 1 10] ; [23 76],[2.4 8.6] ; [21.6 77.4],0
p3,1,0.320544,0.986725,[4 8] ; [48 51],[5.62162162 6.37837838] ; [46.37837838 52.62162162],0
v1,1,0.340356,0.909091,[4 7] ; [51 48],[5.5 5.5] ; [49.5 49.5],0
p2,1,0.373716,0.791273,[10  1] ; [79 20],[8.9 2.1] ; [80.1 18.9],0
p4,1,0.416176,0.661089,[5 7] ; [53 45],[6.32727273 5.67272727] ; [51.67272727 46.32727273],0
a8,1,0.41975,0.651015,[ 1 10] ; [18 77],[1.97169811 9.02830189] ; [17.02830189 77.97169811],0
s3,1,0.469667,0.52276,[8 3] ; [61 38],[6.9 4.1] ; [62.1 36.9],0
n1,1,0.473763,0.513186,[1 3] ; [11 14],[1.65517241 2.34482759] ; [10.34482759 14.65517241],0
s4,1,0.493475,0.468941,[4 8] ; [24 75],[3.02702703 8.97297297] ; [24.97297297 74.02702703],0
s2,1,0.501115,0.452574,[7 5] ; [68 32],[8.03571429 3.96428571] ; [66.96428571 33.03571429],0
a4,1,0.53348,0.387758,[4 8] ; [25 75],[3.10714286 8.89285714] ; [25.89285714 74.10714286],0
b5,1,0.541193,0.373333,[5 7] ; [51 49],[6. 6.] ; [50. 50.],0
d4,1,0.549065,0.358995,[7 5] ; [67 33],[7.92857143 4.07142857] ; [66.07142857 33.92857143],0
p6,1,0.571736,0.319786,[4 8] ; [41 57],[4.90909091 7.09090909] ; [40.09090909 57.90909091],0
d5,1,0.60874,0.262014,[8 4] ; [59 41],[7.17857143 4.82142857] ; [59.82142857 40.17857143],0
s7,1,0.625985,0.237545,[6 5] ; [59 36],[6.74528302 4.25471698] ; [58.25471698 36.74528302],0
n2,1,0.630954,0.230769,[3 1] ; [22  4],[3.33333333 0.66666667] ; [21.66666667  4.33333333],0
p7,1,0.642996,0.214845,[7 4] ; [69 29],[7.66972477 3.33027523] ; [68.33027523 29.66972477],0
a6,1,0.677988,0.1724,[7 5] ; [52 48],[6.32142857 5.67857143] ; [52.67857143 47.32142857],0
u2,1,0.68145,0.168498,[4 3] ; [19 20],[3.5 3.5] ; [19.5 19.5],0
d3,1,0.702914,0.145458,[4 8] ; [39 61],[4.60714286 7.39285714] ; [38.39285714 61.60714286],0
u1,1,0.752364,0.099556,[ 1 11] ; [ 6 94],[ 0.75 11.25] ; [ 6.25 93.75],0
p1,1,0.767726,0.087232,[ 1 10] ; [12 87],[1.3 9.7] ; [11.7 87.3],0
p12,1,0.769784,0.085648,[ 1 11] ; [11 88],[ 1.2972973 10.7027027] ; [10.7027027 88.2972973],0
p11,1,0.939001,0.005856,[9 3] ; [76 24],[9.10714286 2.89285714] ; [75.89285714 24.10714286],0
