Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.010858,6.488379,[ 2 15] ; [33 40],[ 6.61111111 10.38888889] ; [28.38888889 44.61111111],0
s6,1,0.039045,4.25891,[10  7] ; [23 49],[ 6.30337079 10.69662921] ; [26.69662921 45.30337079],0
a3,1,0.039045,4.25891,[ 7 10] ; [49 23],[10.69662921  6.30337079] ; [45.30337079 26.69662921],0
d5,1,0.046892,3.949258,[ 7 10] ; [49 24],[10.57777778  6.42222222] ; [45.42222222 27.57777778],0
r2,1,0.049111,3.871549,[ 6 10] ; [45 25],[9.48837209 6.51162791] ; [41.51162791 28.48837209],0
p2,1,0.061861,3.486785,[13  4] ; [36 34],[9.57471264 7.42528736] ; [39.42528736 30.57471264],0
p7,1,0.062898,3.45926,[10  7] ; [24 46],[ 6.64367816 10.35632184] ; [27.35632184 42.64367816],0
p8,1,0.078069,3.104652,[8 9] ; [18 53],[ 5.02272727 11.97727273] ; [20.97727273 50.02272727],0
b2,1,0.110256,2.550545,[ 2 11] ; [18 28],[4.40677966 8.59322034] ; [15.59322034 30.40677966],0
b3,1,0.110256,2.550545,[ 2 11] ; [18 28],[4.40677966 8.59322034] ; [15.59322034 30.40677966],0
a6,1,0.120782,2.407154,[ 6 11] ; [41 32],[8.87777778 8.12222222] ; [38.12222222 34.87777778],0
a5,1,0.123859,2.367834,[ 7 10] ; [45 28],[9.82222222 7.17777778] ; [42.17777778 30.82222222],0
d2,1,0.139158,2.187241,[ 5 12] ; [35 36],[7.72727273 9.27272727] ; [32.27272727 38.72727273],0
p4,1,0.143175,2.143496,[9 8] ; [24 47],[ 6.375 10.625] ; [26.625 44.375],0
n4,1,0.150019,2.072062,[11  6] ; [59 14],[13.22222222  3.77777778] ; [56.77777778 16.22222222],0
p3,1,0.151849,2.053576,[ 7 10] ; [17 54],[ 4.63636364 12.36363636] ; [19.36363636 51.63636364],0
b4,1,0.152405,2.048013,[ 7 10] ; [44 29],[9.63333333 7.36666667] ; [41.36666667 31.63333333],0
v1,1,0.152638,2.045687,[ 3 14] ; [25 45],[ 5.47126437 11.52873563] ; [22.52873563 47.47126437],0
s7,1,0.158139,1.991929,[9 8] ; [23 44],[ 6.47619048 10.52380952] ; [25.52380952 41.47619048],0
p11,1,0.198385,1.654227,[12  5] ; [39 34],[9.63333333 7.36666667] ; [41.36666667 31.63333333],0
d4,1,0.201343,1.632605,[8 9] ; [46 26],[10.31460674  6.68539326] ; [43.68539326 28.31460674],0
b5,1,0.213106,1.550197,[11  6] ; [35 38],[8.68888889 8.31111111] ; [37.31111111 35.68888889],0
u3,1,0.248397,1.332296,[4 6] ; [ 5 19],[2.64705882 7.35294118] ; [ 6.35294118 17.64705882],0
n6,1,0.260968,1.263616,[13  4] ; [44 27],[11.01136364  5.98863636] ; [45.98863636 25.01136364],0
u2,1,0.282932,1.15295,[5 5] ; [ 7 16],[3.63636364 6.36363636] ; [ 8.36363636 14.63636364],0
v4,1,0.28309,1.152196,[12  5] ; [40 31],[10.04545455  6.95454545] ; [41.95454545 29.04545455],0
n1,1,0.311633,1.023742,[2 6] ; [16 20],[3.27272727 4.72727273] ; [14.72727273 21.27272727],0
a1,1,0.315636,1.006942,[ 1 16] ; [11 62],[ 2.26666667 14.73333333] ; [ 9.73333333 63.26666667],0
a2,1,0.315636,1.006942,[ 1 16] ; [11 62],[ 2.26666667 14.73333333] ; [ 9.73333333 63.26666667],0
p9,1,0.348258,0.879795,[9 8] ; [45 24],[10.6744186  6.3255814] ; [43.3255814 25.6744186],0
s1,1,0.349452,0.875446,[ 2 15] ; [ 4 69],[ 1.13333333 15.86666667] ; [ 4.86666667 68.13333333],0
r1,1,0.350426,0.871914,[ 3 14] ; [21 52],[ 4.53333333 12.46666667] ; [19.46666667 53.53333333],0
n3,1,0.355057,0.855303,[5 3] ; [16 20],[3.81818182 4.18181818] ; [17.18181818 18.81818182],0
s2,1,0.356384,0.850594,[ 7 10] ; [21 50],[ 5.40909091 11.59090909] ; [22.59090909 48.40909091],0
v2,1,0.443145,0.588125,[ 5 12] ; [28 43],[ 6.375 10.625] ; [26.625 44.375],0
s5,1,0.443485,0.58725,[ 3 12] ; [ 9 63],[ 2.06896552 12.93103448] ; [ 9.93103448 62.06896552],0
p1,1,0.446243,0.580177,[ 1 16] ; [ 9 64],[ 1.88888889 15.11111111] ; [ 8.11111111 64.88888889],0
b1,1,0.56476,0.33153,[8 9] ; [40 33],[9.06666667 7.93333333] ; [38.93333333 34.06666667],0
p10,1,0.596067,0.280969,[9 8] ; [42 28],[9.96551724 7.03448276] ; [41.03448276 28.96551724],0
a7,1,0.609879,0.260351,[8 9] ; [29 43],[7.06741573 9.93258427] ; [29.93258427 42.06741573],0
u1,1,0.628626,0.233928,[ 1 16] ; [ 7 66],[ 1.51111111 15.48888889] ; [ 6.48888889 66.51111111],0
s3,1,0.646053,0.210913,[ 7 10] ; [25 46],[ 6.18181818 10.81818182] ; [25.81818182 45.18181818],0
p6,1,0.662719,0.190237,[ 5 12] ; [17 53],[ 4.29885057 12.70114943] ; [17.70114943 52.29885057],0
n2,1,0.702871,0.145503,[5 3] ; [25 11],[5.45454545 2.54545455] ; [24.54545455 11.45454545],0
r3,1,0.746511,0.104486,[8 9] ; [36 34],[8.59770115 8.40229885] ; [35.40229885 34.59770115],0
s8,1,0.808598,0.058678,[ 4 13] ; [19 53],[ 4.39325843 12.60674157] ; [18.60674157 53.39325843],0
a4,1,0.949656,0.003986,[ 6 11] ; [26 46],[ 6.11235955 10.88764045] ; [25.88764045 46.11235955],0
d3,1,0.990315,0.000147,[8 9] ; [34 38],[8.02247191 8.97752809] ; [33.97752809 38.02247191],0
