Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.000432,12.388741,[ 2 20] ; [44 43],[ 9.28440367 12.71559633] ; [36.71559633 50.28440367],1
b3,1,0.000432,12.388741,[ 2 20] ; [44 43],[ 9.28440367 12.71559633] ; [36.71559633 50.28440367],1
s8,1,0.00163,9.925109,[15 22] ; [87 39],[23.15337423 13.84662577] ; [78.84662577 47.15337423],0
v3,1,0.010237,6.593231,[ 8 29] ; [56 68],[14.70807453 22.29192547] ; [49.29192547 74.70807453],0
v2,1,0.011176,6.437172,[12 24] ; [70 52],[18.6835443 17.3164557] ; [63.3164557 58.6835443],0
a5,1,0.013372,6.119184,[17 20] ; [86 40],[23.3803681 13.6196319] ; [79.6196319 46.3803681],0
r4,1,0.016299,5.770283,[27 10] ; [112  14],[31.55214724  5.44785276] ; [107.44785276  18.55214724],0
n4,1,0.025793,4.969829,[23 14] ; [100  25],[28.09259259  8.90740741] ; [94.90740741 30.09259259],0
p4,1,0.034852,4.452433,[16 21] ; [79 47],[21.56441718 15.43558282] ; [73.43558282 52.56441718],0
p10,1,0.047252,3.936404,[26 10] ; [107  17],[29.925  6.075] ; [103.075  20.925],0
s3,1,0.050592,3.821743,[30  7] ; [80 45],[25.12345679 11.87654321] ; [84.87654321 40.12345679],0
a8,1,0.052402,3.762896,[ 2 32] ; [24 96],[ 5.74025974 28.25974026] ; [20.25974026 99.74025974],0
r3,1,0.056841,3.627238,[31  5] ; [119   6],[33.54037267  2.45962733] ; [116.45962733   8.54037267],0
n6,1,0.057058,3.620898,[27 10] ; [107  17],[30.79503106  6.20496894] ; [103.20496894  20.79503106],0
v1,1,0.093372,2.815258,[16 21] ; [73 51],[20.45341615 16.54658385] ; [68.54658385 55.45341615],0
r1,1,0.093518,2.812756,[24 13] ; [98 27],[27.86419753  9.13580247] ; [94.13580247 30.86419753],0
d2,1,0.096192,2.767567,[ 3 34] ; [ 25 101],[ 6.35582822 30.64417178] ; [ 21.64417178 104.35582822],0
d3,1,0.100695,2.694494,[20 17] ; [49 77],[15.66257669 21.33742331] ; [53.33742331 72.66257669],0
s2,1,0.103752,2.6469,[28  9] ; [77 49],[23.83435583 13.16564417] ; [81.16564417 44.83435583],0
n1,1,0.152763,2.044444,[3 7] ; [20 16],[5. 5.] ; [18. 18.],0
s5,1,0.160907,1.965677,[18 17] ; [47 76],[14.39873418 20.60126582] ; [50.60126582 72.39873418],0
