Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.026066,4.95166,[68 38] ; [ 8 13],[63.43307087 42.56692913] ; [12.56692913  8.43307087],0
s2,1,0.064372,3.420988,[17 89] ; [ 7 14],[20.03149606 85.96850394] ; [ 3.96850394 17.03149606],0
s1,1,0.067153,3.351285,[  2 104] ; [ 2 19],[  3.33858268 102.66141732] ; [ 0.66141732 20.33858268],0
v3,1,0.070166,3.279122,[30 76] ; [ 2 19],[26.70866142 79.29133858] ; [ 5.29133858 15.70866142],0
a6,1,0.120265,2.41386,[60 46] ; [ 8 13],[56.75590551 49.24409449] ; [11.24409449  9.75590551],0
d3,1,0.204196,1.612103,[52 53] ; [13  7],[54.6 50.4] ; [10.4  9.6],0
a3,1,0.216266,1.528978,[61 45] ; [ 9 12],[58.42519685 47.57480315] ; [11.57480315  9.42519685],0
a5,1,0.248161,1.333628,[55 51] ; [ 8 13],[52.58267717 53.41732283] ; [10.41732283 10.58267717],0
p2,1,0.309976,1.030777,[62 42] ; [15  6],[64.064 39.936] ; [12.936  8.064],0
p7,1,0.333998,0.933333,[43 62] ; [11 10],[45. 60.] ; [ 9. 12.],0
p9,1,0.394745,0.724277,[72 29] ; [13  8],[70.36885246 30.63114754] ; [14.63114754  6.36885246],0
s6,1,0.403306,0.698448,[35 70] ; [ 9 12],[36.66666667 68.33333333] ; [ 7.33333333 13.66666667],0
s8,1,0.404249,0.69565,[13 93] ; [ 4 17],[14.18897638 91.81102362] ; [ 2.81102362 18.18897638],0
r2,1,0.406649,0.688577,[77 27] ; [13  7],[75.48387097 28.51612903] ; [14.51612903  5.48387097],0
p4,1,0.418371,0.654886,[45 60] ; [ 7 14],[43.33333333 61.66666667] ; [ 8.66666667 12.33333333],0
p1,1,0.421553,0.645981,[11 95] ; [ 1 20],[10.01574803 95.98425197] ; [ 1.98425197 19.01574803],0
b3,1,0.479262,0.500542,[24 34] ; [4 9],[22.87323944 35.12676056] ; [5.12676056 7.87323944],0
b2,1,0.479262,0.500542,[24 34] ; [4 9],[22.87323944 35.12676056] ; [5.12676056 7.87323944],0
p11,1,0.488552,0.479714,[69 37] ; [12  9],[67.60629921 38.39370079] ; [13.39370079  7.60629921],0
u3,1,0.523013,0.407949,[14 30] ; [5 7],[14.92857143 29.07142857] ; [4.07142857 7.92857143],0
b5,1,0.535405,0.384122,[63 43] ; [14  7],[64.26771654 41.73228346] ; [12.73228346  8.26771654],0
v2,1,0.537615,0.379978,[37 67] ; [ 6 15],[35.776 68.224] ; [ 7.224 13.776],0
b1,1,0.544456,0.367343,[48 58] ; [ 8 13],[46.74015748 59.25984252] ; [ 9.25984252 11.74015748],0
s5,1,0.590288,0.289895,[15 89] ; [ 4 17],[15.808 88.192] ; [ 3.192 17.808],0
b4,1,0.605774,0.266375,[57 49] ; [10 11],[55.92125984 50.07874016] ; [11.07874016  9.92125984],0
n2,1,0.638994,0.22006,[25 13] ; [7 5],[24.32 13.68] ; [7.68 4.32],0
r3,1,0.643711,0.213922,[80 25] ; [15  6],[79.16666667 25.83333333] ; [15.83333333  5.16666667],0
p6,1,0.666276,0.185989,[29 73] ; [ 5 16],[28.19512195 73.80487805] ; [ 5.80487805 15.19512195],0
d5,1,0.671273,0.180117,[69 37] ; [14  6],[69.82539683 36.17460317] ; [13.17460317  6.82539683],0
p8,1,0.680402,0.169674,[40 65] ; [ 7 14],[39.16666667 65.83333333] ; [ 7.83333333 13.16666667],0
d1,1,0.702652,0.145728,[40 66] ; [ 7 14],[39.22834646 66.77165354] ; [ 7.77165354 13.22834646],0
s7,1,0.725453,0.123328,[21 77] ; [ 5 15],[21.59322034 76.40677966] ; [ 4.40677966 15.59322034],0
a1,1,0.758649,0.094406,[ 8 98] ; [ 2 19],[ 8.34645669 97.65354331] ; [ 1.65354331 19.34645669],0
n6,1,0.78574,0.0739,[78 27] ; [15  6],[77.5 27.5] ; [15.5  5.5],0
n5,1,0.803017,0.062222,[67 38] ; [14  7],[67.5 37.5] ; [13.5  7.5],0
v4,1,0.831151,0.045465,[83 23] ; [16  5],[82.62992126 23.37007874] ; [16.37007874  4.62992126],0
a7,1,0.832787,0.044575,[61 45] ; [11  9],[60.57142857 45.42857143] ; [11.42857143  8.57142857],0
p3,1,0.864083,0.029302,[33 72] ; [ 7 14],[33.33333333 71.66666667] ; [ 6.66666667 14.33333333],0
u1,1,0.86908,0.027168,[  6 100] ; [ 1 20],[  5.84251969 100.15748031] ; [ 1.15748031 19.84251969],0
v1,1,0.885816,0.020621,[33 71] ; [ 7 14],[33.28 70.72] ; [ 6.72 14.28],0
d4,1,0.889973,0.019137,[69 37] ; [14  7],[69.27559055 36.72440945] ; [13.72440945  7.27559055],0
n3,1,0.892466,0.018275,[23 15] ; [7 5],[22.8 15.2] ; [7.2 4.8],0
d2,1,0.892666,0.018207,[38 66] ; [ 8 13],[38.272 65.728] ; [ 7.728 13.272],0
r4,1,0.904164,0.014497,[52 54] ; [10 11],[51.7480315 54.2519685] ; [10.2519685 10.7480315],0
n1,1,0.909573,0.0129,[12 26] ; [4 8],[12.16 25.84] ; [3.84 8.16],0
p10,1,0.923638,0.009188,[62 40] ; [13  8],[62.19512195 39.80487805] ; [12.80487805  8.19512195],0
u2,1,0.962287,0.002236,[18 26] ; [5 7],[18.07142857 25.92857143] ; [4.92857143 7.07142857],0
a4,1,1.0,0.0,[35 70] ; [ 7 14],[35. 70.] ; [ 7. 14.],0
