Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,26.100131,[94  8] ; [17 15],[84.49253731 17.50746269] ; [26.50746269  5.49253731],1
p1,1,0.008168,6.996328,[ 6 95] ; [ 7 25],[ 9.87218045 91.12781955] ; [ 3.12781955 28.87218045],0
d3,1,0.010807,6.49682,[55 47] ; [ 9 23],[48.71641791 53.28358209] ; [15.28358209 16.71641791],0
r3,1,0.0119,6.325725,[100   2] ; [28  4],[97.43283582  4.56716418] ; [30.56716418  1.43283582],0
v4,1,0.039641,4.233184,[96  5] ; [26  5],[93.34848485  7.65151515] ; [28.65151515  2.34848485],0
n6,1,0.049566,3.856097,[89 11] ; [24  8],[85.60606061 14.39393939] ; [27.39393939  4.60606061],0
b2,1,0.052043,3.7744,[42 32] ; [ 9 17],[37.74 36.26] ; [13.26 12.74],0
b3,1,0.052043,3.7744,[42 32] ; [ 9 17],[37.74 36.26] ; [13.26 12.74],0
d5,1,0.055452,3.668444,[85 16] ; [22 10],[81.2556391 19.7443609] ; [25.7443609  6.2556391],0
p10,1,0.062996,3.456699,[87 14] ; [23  9],[83.53383459 17.46616541] ; [26.46616541  5.53383459],0
a3,1,0.096162,2.768069,[89 13] ; [24  8],[86.01492537 15.98507463] ; [26.98507463  5.01492537],0
s5,1,0.14389,2.135856,[48 51] ; [10 20],[44.51162791 54.48837209] ; [13.48837209 16.51162791],0
s8,1,0.151565,2.056425,[77 25] ; [20 12],[73.8358209 28.1641791] ; [23.1641791  8.8358209],0
d1,1,0.158575,1.98776,[56 46] ; [13 19],[52.52238806 49.47761194] ; [16.47761194 15.52238806],0
p7,1,0.166784,1.911612,[72 29] ; [18 13],[68.86363636 32.13636364] ; [21.13636364  9.86363636],0
p8,1,0.170588,1.877767,[56 44] ; [13 18],[52.67175573 47.32824427] ; [16.32824427 14.67175573],0
a8,1,0.171945,1.8659,[16 83] ; [ 2 29],[13.70769231 85.29230769] ; [ 4.29230769 26.70769231],0
s6,1,0.178357,1.811262,[85 16] ; [22  8],[82.49618321 18.50381679] ; [24.50381679  5.49618321],0
n4,1,0.179946,1.79807,[91 10] ; [26  6],[88.84962406 12.15037594] ; [28.15037594  3.84962406],0
r2,1,0.200015,1.642268,[95  6] ; [27  4],[93.34848485  7.65151515] ; [28.65151515  2.34848485],0
u2,1,0.203737,1.615385,[10  3] ; [4 4],[8.66666667 4.33333333] ; [5.33333333 2.66666667],0
d4,1,0.206698,1.594407,[83 18] ; [23  9],[80.4962406 20.5037594] ; [25.5037594  6.4962406],0
n1,1,0.231323,1.432708,[13 11] ; [11  4],[14.76923077  9.23076923] ; [9.23076923 5.76923077],0
p11,1,0.29108,1.114618,[85 17] ; [24  8],[82.97014925 19.02985075] ; [26.02985075  5.97014925],0
p5,1,0.295065,1.096366,[17 83] ; [ 3 29],[15.15151515 84.84848485] ; [ 4.84848485 27.15151515],0
v3,1,0.315604,1.007078,[49 51] ; [12 19],[46.5648855 53.4351145] ; [14.4351145 16.5648855],0
s3,1,0.318895,0.993473,[79 23] ; [22 10],[76.88059701 25.11940299] ; [24.11940299  7.88059701],0
v2,1,0.351844,0.866797,[51 48] ; [13 18],[48.73846154 50.26153846] ; [15.26153846 15.73846154],0
n3,1,0.357168,0.847826,[14  9] ; [12  4],[15.33333333  7.66666667] ; [10.66666667  5.33333333],0
s2,1,0.386762,0.749099,[75 27] ; [21 11],[73.07462687 28.92537313] ; [22.92537313  9.07462687],0
s4,1,0.397468,0.715973,[24 77] ; [10 22],[25.81954887 75.18045113] ; [ 8.18045113 23.81954887],0
p3,1,0.442213,0.590534,[62 40] ; [17 15],[60.13432836 41.86567164] ; [18.86567164 13.13432836],0
v1,1,0.493855,0.468117,[58 41] ; [16 15],[56.35384615 42.64615385] ; [17.64615385 13.35384615],0
a5,1,0.518625,0.416627,[79 23] ; [23  9],[77.64179104 24.35820896] ; [24.35820896  7.64179104],0
u1,1,0.539032,0.377337,[10 92] ; [ 2 30],[ 9.13432836 92.86567164] ; [ 2.86567164 29.13432836],0
b1,1,0.549141,0.358858,[54 48] ; [15 17],[52.52238806 49.47761194] ; [16.47761194 15.52238806],0
d2,1,0.549141,0.358858,[54 48] ; [15 17],[52.52238806 49.47761194] ; [16.47761194 15.52238806],0
n5,1,0.558146,0.342925,[84 17] ; [28  4],[85.05263158 15.94736842] ; [26.94736842  5.05263158],0
b4,1,0.602593,0.271103,[50 52] ; [14 18],[48.71641791 53.28358209] ; [15.28358209 16.71641791],0
u3,1,0.603848,0.269231,[8 5] ; [4 4],[7.42857143 5.57142857] ; [4.57142857 3.42857143],0
p2,1,0.609055,0.261553,[83 18] ; [25  7],[82.01503759 18.98496241] ; [25.98496241  6.01503759],0
p12,1,0.624206,0.24,[ 9 91] ; [ 2 30],[ 8.33333333 91.66666667] ; [ 2.66666667 29.33333333],0
n2,1,0.642835,0.215054,[18  6] ; [13  3],[18.6  5.4] ; [12.4  3.6],0
s1,1,0.671524,0.179825,[ 5 97] ; [ 1 31],[ 4.56716418 97.43283582] ; [ 1.43283582 30.56716418],0
p9,1,0.691499,0.157467,[88 13] ; [27  5],[87.33082707 13.66917293] ; [27.66917293  4.33082707],0
p4,1,0.69363,0.155184,[63 39] ; [21 11],[63.94029851 38.05970149] ; [20.05970149 11.94029851],0
p6,1,0.707755,0.14053,[45 56] ; [15 16],[45.90909091 55.09090909] ; [14.09090909 16.90909091],0
a2,1,0.708352,0.139928,[12 90] ; [ 3 29],[11.41791045 90.58208955] ; [ 3.58208955 28.41791045],0
a6,1,0.741751,0.108594,[35 67] ; [12 20],[35.7761194 66.2238806] ; [11.2238806 20.7761194],0
b5,1,0.784338,0.074896,[45 57] ; [15 17],[45.67164179 56.32835821] ; [14.32835821 17.67164179],0
a1,1,0.903835,0.014597,[ 7 95] ; [ 2 30],[ 6.85074627 95.14925373] ; [ 2.14925373 29.85074627],0
a4,1,0.922898,0.009367,[50 52] ; [16 16],[50.23880597 51.76119403] ; [15.76119403 16.23880597],0
