Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,70.39566,[ 4 62] ; [170  97],[34.48648649 31.51351351] ; [139.51351351 127.48648649],1
a5,1,0.0,31.408055,[26 40] ; [201  66],[44.99099099 21.00900901] ; [182.00900901  84.99099099],1
d4,1,1e-06,24.226093,[37 28] ; [225  41],[51.45015106 13.54984894] ; [210.54984894  55.45015106],1
d2,1,7.8e-05,15.60145,[16 50] ; [136 129],[30.3081571 35.6918429] ; [121.6918429 143.3081571],1
n4,1,0.000144,14.455353,[36 30] ; [206  59],[48.25377644 17.74622356] ; [193.74622356  71.25377644],1
a4,1,0.000165,14.192596,[16 49] ; [135 132],[29.56325301 35.43674699] ; [121.43674699 145.56325301],1
d3,1,0.00018,14.028305,[32 34] ; [193  73],[44.72891566 21.27108434] ; [180.27108434  85.72891566],1
u1,1,0.00028,13.200877,[ 2 64] ; [ 60 207],[12.28828829 53.71171171] ; [ 49.71171171 217.28828829],1
a2,1,0.00033,12.890473,[ 5 61] ; [ 77 190],[16.25225225 49.74774775] ; [ 65.74774775 201.25225225],1
p3,1,0.00069,11.517033,[13 53] ; [113 154],[24.97297297 41.02702703] ; [101.02702703 165.97297297],1
p10,1,0.000709,11.466539,[39 26] ; [212  53],[49.43939394 15.56060606] ; [201.56060606  63.43939394],1
r3,1,0.001784,9.759772,[56  9] ; [255  10],[61.25757576  3.74242424] ; [249.74242424  15.25757576],0
v2,1,0.002292,9.299233,[22 40] ; [146 110],[32.75471698 29.24528302] ; [135.24528302 120.75471698],0
a3,1,0.002923,8.854697,[36 29] ; [198  69],[45.81325301 19.18674699] ; [188.18674699  78.81325301],0
r2,1,0.00316,8.712801,[55 11] ; [248  15],[60.78419453  5.21580547] ; [242.21580547  20.78419453],0
p4,1,0.003254,8.659069,[22 44] ; [143 124],[32.7027027 33.2972973] ; [132.2972973 134.7027027],0
r4,1,0.003574,8.48863,[48 18] ; [233  34],[55.69369369 10.30630631] ; [225.30630631  41.69369369],0
s8,1,0.005089,7.847482,[14 52] ; [106 161],[23.78378378 42.21621622] ; [ 96.21621622 170.78378378],0
s6,1,0.005805,7.609826,[32 34] ; [177  88],[41.67371601 24.32628399] ; [167.32628399  97.67371601],0
n5,1,0.006823,7.319111,[36 30] ; [189  74],[45.13677812 20.86322188] ; [179.86322188  83.13677812],0
a7,1,0.006845,7.313288,[38 28] ; [198  68],[46.91566265 19.08433735] ; [189.08433735  76.91566265],0
a6,1,0.00968,6.692856,[38 28] ; [197  70],[46.57657658 19.42342342] ; [188.42342342  78.57657658],0
r1,1,0.01262,6.221553,[42 24] ; [207  57],[49.8 16.2] ; [199.2  64.8],0
s7,1,0.014914,5.926629,[18 43] ; [120 137],[26.47169811 34.52830189] ; [111.52830189 145.47169811],0
n6,1,0.015426,5.867199,[45 20] ; [219  46],[52. 13.] ; [212.  53.],0
v3,1,0.020377,5.379345,[13 52] ; [ 90 167],[20.79192547 44.20807453] ; [ 82.20807453 174.79192547],0
s5,1,0.036576,4.370061,[12 52] ; [ 83 176],[18.82352941 45.17647059] ; [ 76.17647059 182.82352941],0
s2,1,0.040401,4.200962,[25 40] ; [139 125],[32.40121581 32.59878419] ; [131.59878419 132.40121581],0
b5,1,0.06577,3.385562,[36 30] ; [178  89],[42.41441441 23.58558559] ; [171.58558559  95.41441441],0
v4,1,0.07729,3.120987,[58  7] ; [251  13],[61.04863222  3.95136778] ; [247.95136778  16.04863222],0
s4,1,0.101335,2.684411,[14 52] ; [ 35 230],[ 9.77039275 56.22960725] ; [ 39.22960725 225.77039275],0
p11,1,0.125714,2.34465,[43 23] ; [199  68],[47.96396396 18.03603604] ; [194.03603604  72.96396396],0
b3,1,0.160985,1.964952,[11 29] ; [62 95],[14.82233503 25.17766497] ; [58.17766497 98.82233503],0
b2,1,0.160985,1.964952,[11 29] ; [62 95],[14.82233503 25.17766497] ; [58.17766497 98.82233503],0
v1,1,0.194245,1.685127,[26 37] ; [130 128],[30.61682243 32.38317757] ; [125.38317757 132.61682243],0
p7,1,0.20377,1.615143,[36 29] ; [123 141],[31.41337386 33.58662614] ; [127.58662614 136.41337386],0
n1,1,0.259114,1.273485,[ 5 18] ; [25 48],[ 7.1875 15.8125] ; [22.8125 50.1875],0
p9,1,0.278259,1.175573,[51 15] ; [220  45],[54.03625378 11.96374622] ; [216.96374622  48.03625378],0
u2,1,0.292926,1.106123,[13 15] ; [39 28],[15.32631579 12.67368421] ; [36.67368421 30.32631579],0
a1,1,0.302544,1.062947,[ 3 63] ; [  6 261],[ 1.78378378 64.21621622] ; [  7.21621622 259.78378378],0
p5,1,0.312008,1.022157,[ 5 61] ; [ 12 254],[ 3.37951807 62.62048193] ; [ 13.62048193 252.37951807],0
p6,1,0.362159,0.830394,[14 51] ; [ 72 194],[16.88821752 48.11178248] ; [ 69.11178248 196.88821752],0
s1,1,0.398573,0.712626,[ 3 61] ; [  7 256],[ 1.95718654 62.04281346] ; [  8.04281346 254.95718654],0
p1,1,0.448378,0.574748,[ 2 64] ; [ 14 252],[ 3.18072289 62.81927711] ; [ 12.81927711 253.18072289],0
b1,1,0.452743,0.563777,[26 40] ; [ 92 175],[23.38738739 42.61261261] ; [ 94.61261261 172.38738739],0
u3,1,0.482221,0.493836,[15 14] ; [41 28],[16.57142857 12.42857143] ; [39.42857143 29.57142857],0
b4,1,0.605513,0.266761,[38 28] ; [163 104],[39.83783784 26.16216216] ; [161.16216216 105.83783784],0
a8,1,0.614735,0.253337,[ 9 51] ; [ 30 209],[ 7.82608696 52.17391304] ; [ 31.17391304 207.82608696],0
s3,1,0.744155,0.106508,[38 28] ; [145 117],[36.82317073 29.17682927] ; [146.17682927 115.82317073],0
n3,1,0.838658,0.041457,[17  6] ; [57 18],[17.36734694  5.63265306] ; [56.63265306 18.36734694],0
n2,1,0.978361,0.000736,[16  7] ; [51 22],[16.05208333  6.94791667] ; [50.94791667 22.05208333],0
