Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,44.650926,[ 1 17] ; [89 19],[12.85714286  5.14285714] ; [77.14285714 30.85714286],1
r3,1,0.0,29.60739,[ 5 12] ; [94 14],[13.464  3.536] ; [85.536 22.464],1
a1,1,1e-06,24.529167,[ 5 13] ; [  1 107],[ 0.85714286 17.14285714] ; [  5.14285714 102.85714286],1
p2,1,1e-05,19.606481,[ 5 13] ; [85 23],[12.85714286  5.14285714] ; [77.14285714 30.85714286],1
p11,1,6.8e-05,15.878198,[ 5 13] ; [81 27],[12.28571429  5.71428571] ; [73.71428571 34.28571429],1
r2,1,0.000166,14.1832,[9 9] ; [94 14],[14.71428571  3.28571429] ; [88.28571429 19.71428571],1
n6,1,0.000267,13.288278,[ 6 12] ; [82 26],[12.57142857  5.42857143] ; [75.42857143 32.57142857],1
r1,1,0.001028,10.776345,[ 4 14] ; [68 39],[10.368  7.632] ; [61.632 45.368],0
p3,1,0.004063,8.255622,[ 2 16] ; [51 57],[ 7.57142857 10.42857143] ; [45.42857143 62.57142857],0
p10,1,0.004476,8.079764,[ 5 12] ; [69 36],[10.31147541  6.68852459] ; [63.68852459 41.31147541],0
p9,1,0.008608,6.902392,[ 7 10] ; [76 28],[11.66115702  5.33884298] ; [71.33884298 32.66115702],0
u2,1,0.009155,6.792364,[ 1 10] ; [30 28],[4.94202899 6.05797101] ; [26.05797101 31.94202899],0
s1,1,0.011427,6.397612,[ 3 15] ; [  3 103],[ 0.87096774 17.12903226] ; [  5.12903226 100.87096774],0
n3,1,0.012786,6.19845,[5 6] ; [26  5],[8.11904762 2.88095238] ; [22.88095238  8.11904762],0
n2,1,0.016983,5.698084,[4 7] ; [25  8],[7.25 3.75] ; [21.75 11.25],0
p7,1,0.019265,5.477319,[ 5 13] ; [61 45],[9.58064516 8.41935484] ; [56.41935484 49.58064516],0
v2,1,0.020811,5.342562,[ 2 15] ; [41 59],[ 6.24786325 10.75213675] ; [36.75213675 63.24786325],0
p4,1,0.028591,4.792089,[ 4 14] ; [54 54],[8.28571429 9.71428571] ; [49.71428571 58.28571429],0
s3,1,0.039343,4.245982,[ 1 17] ; [30 76],[ 4.5 13.5] ; [26.5 79.5],0
a6,1,0.040424,4.2,[ 6 12] ; [64 44],[10.  8.] ; [60. 48.],0
s6,1,0.044574,4.034702,[ 3 15] ; [44 62],[ 6.82258065 11.17741935] ; [40.17741935 65.82258065],0
s4,1,0.047437,3.929825,[ 4 14] ; [  8 100],[ 1.71428571 16.28571429] ; [10.28571429 97.71428571],0
p8,1,0.050197,3.83486,[ 4 13] ; [51 53],[7.72727273 9.27272727] ; [47.27272727 56.72727273],0
b5,1,0.090963,2.857253,[ 7 11] ; [65 43],[10.28571429  7.71428571] ; [61.71428571 46.28571429],0
u3,1,0.098937,2.722603,[2 9] ; [26 32],[4.46376812 6.53623188] ; [23.53623188 34.46376812],0
d5,1,0.117185,2.454545,[ 4 14] ; [45 63],[ 7. 11.] ; [42. 66.],0
p6,1,0.169226,1.88979,[ 2 15] ; [29 77],[ 4.28455285 12.71544715] ; [26.71544715 79.28455285],0
v3,1,0.259776,1.269951,[ 3 15] ; [31 74],[ 4.97560976 13.02439024] ; [29.02439024 75.97560976],0
a4,1,0.280928,1.162593,[ 6 12] ; [23 83],[ 4.20967742 13.79032258] ; [24.79032258 81.20967742],0
n1,1,0.288159,1.128205,[6 5] ; [12 21],[4.5 6.5] ; [13.5 19.5],0
b3,1,0.313998,1.013785,[5 6] ; [18 42],[3.56338028 7.43661972] ; [19.43661972 40.56338028],0
b2,1,0.313998,1.013785,[5 6] ; [18 42],[3.56338028 7.43661972] ; [19.43661972 40.56338028],0
d1,1,0.339963,0.910569,[ 1 17] ; [  2 106],[ 0.42857143 17.57142857] ; [  2.57142857 105.42857143],0
n5,1,0.358043,0.844747,[15  3] ; [79 29],[13.42857143  4.57142857] ; [80.57142857 27.42857143],0
s7,1,0.363884,0.824445,[ 2 16] ; [20 79],[ 3.38461538 14.61538462] ; [18.61538462 80.38461538],0
d3,1,0.387785,0.745876,[ 3 15] ; [28 79],[ 4.464 13.536] ; [26.536 80.464],0
s8,1,0.38836,0.744069,[ 2 16] ; [21 86],[ 3.312 14.688] ; [19.688 87.312],0
a5,1,0.423108,0.641667,[ 7 11] ; [53 55],[8.57142857 9.42857143] ; [51.42857143 56.57142857],0
a8,1,0.488577,0.479658,[ 1 17] ; [11 90],[ 1.81512605 16.18487395] ; [10.18487395 90.81512605],0
b1,1,0.55743,0.344174,[9 9] ; [46 62],[ 7.85714286 10.14285714] ; [47.14285714 60.85714286],0
b4,1,0.560575,0.33871,[ 8 10] ; [56 52],[9.14285714 8.85714286] ; [54.85714286 53.14285714],0
