Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2e-06,22.407407,[16  2] ; [20 52],[ 7.2 10.8] ; [28.8 43.2],1
s4,1,6.4e-05,15.981841,[9 9] ; [ 7 65],[ 3.2 14.8] ; [12.8 59.2],1
s8,1,0.000163,14.214343,[9 9] ; [ 8 64],[ 3.4 14.6] ; [13.6 58.4],1
r4,1,0.000723,11.428571,[16  2] ; [32 40],[9.6 8.4] ; [38.4 33.6],1
r3,1,0.001024,10.784298,[17  1] ; [37 34],[10.92134831  7.07865169] ; [43.07865169 27.92134831],0
s7,1,0.002003,9.546985,[9 7] ; [12 53],[ 4.14814815 11.85185185] ; [16.85185185 48.14814815],0
s2,1,0.005258,7.788462,[10  8] ; [16 56],[ 5.2 12.8] ; [20.8 51.2],0
d3,1,0.017509,5.644585,[14  4] ; [33 38],[9.50561798 8.49438202] ; [37.49438202 33.50561798],0
a5,1,0.019849,5.425096,[16  2] ; [43 29],[11.8  6.2] ; [47.2 24.8],0
p10,1,0.029512,4.737479,[9 8] ; [18 52],[ 5.27586207 11.72413793] ; [21.72413793 48.27586207],0
n6,1,0.030028,4.707668,[14  4] ; [35 36],[9.91011236 8.08988764] ; [39.08988764 31.91011236],0
n2,1,0.044094,4.052949,[9 2] ; [15 17],[6.13953488 4.86046512] ; [17.86046512 14.13953488],0
d5,1,0.046971,3.946437,[16  2] ; [46 25],[12.53932584  5.46067416] ; [49.46067416 21.53932584],0
d4,1,0.046971,3.946437,[16  2] ; [46 25],[12.53932584  5.46067416] ; [49.46067416 21.53932584],0
r1,1,0.049276,3.865922,[14  4] ; [37 34],[10.31460674  7.68539326] ; [40.68539326 30.31460674],0
p6,1,0.049969,3.842495,[ 5 13] ; [ 7 63],[ 2.45454545 15.54545455] ; [ 9.54545455 60.45454545],0
s3,1,0.076043,3.147513,[10  8] ; [23 47],[ 6.75 11.25] ; [26.25 43.75],0
v2,1,0.076043,3.147513,[10  8] ; [23 47],[ 6.75 11.25] ; [26.25 43.75],0
p9,1,0.088705,2.897727,[9 8] ; [21 47],[ 6. 11.] ; [24. 44.],0
p1,1,0.093533,2.8125,[ 4 14] ; [ 6 66],[ 2. 16.] ; [ 8. 64.],0
v4,1,0.106695,2.602497,[15  3] ; [45 26],[12.13483146  5.86516854] ; [47.86516854 23.13483146],0
n3,1,0.114623,2.489295,[8 3] ; [13 16],[5.775 5.225] ; [15.225 13.775],0
p4,1,0.126323,2.337117,[ 6 11] ; [13 58],[ 3.67045455 13.32954545] ; [15.32954545 55.67045455],0
a8,1,0.127285,2.325307,[ 4 14] ; [ 6 60],[ 2.14285714 15.85714286] ; [ 7.85714286 58.14285714],0
d2,1,0.139429,2.184245,[12  6] ; [33 37],[9.20454545 8.79545455] ; [35.79545455 34.20454545],0
p7,1,0.167383,1.906223,[ 7 11] ; [16 54],[ 4.70454545 13.29545455] ; [18.29545455 51.70454545],0
p3,1,0.216437,1.527842,[ 6 12] ; [14 57],[ 4.04494382 13.95505618] ; [15.95505618 55.04494382],0
b2,1,0.23568,1.40625,[3 9] ; [21 27],[4.8 7.2] ; [19.2 28.8],0
b3,1,0.23568,1.40625,[3 9] ; [21 27],[4.8 7.2] ; [19.2 28.8],0
b5,1,0.244379,1.355152,[12  6] ; [37 35],[9.8 8.2] ; [39.2 32.8],0
a7,1,0.308146,1.038605,[13  5] ; [42 29],[11.12359551  6.87640449] ; [43.87640449 27.12359551],0
s1,1,0.326099,0.964328,[ 1 17] ; [10 61],[ 2.2247191 15.7752809] ; [ 8.7752809 62.2247191],0
a3,1,0.327065,0.960484,[14  4] ; [46 24],[12.27272727  5.72727273] ; [47.72727273 22.27272727],0
b4,1,0.342663,0.900445,[ 7 11] ; [37 35],[8.8 9.2] ; [35.2 36.8],0
a6,1,0.370269,0.802762,[11  7] ; [35 36],[9.30337079 8.69662921] ; [36.69662921 34.30337079],0
v1,1,0.397642,0.715445,[ 6 12] ; [17 55],[ 4.6 13.4] ; [18.4 53.6],0
d1,1,0.398025,0.714286,[10  8] ; [32 40],[8.4 9.6] ; [33.6 38.4],0
n5,1,0.416679,0.659662,[9 9] ; [43 28],[10.51685393  7.48314607] ; [41.48314607 29.51685393],0
n4,1,0.483081,0.4919,[9 9] ; [42 29],[10.31460674  7.68539326] ; [40.68539326 30.31460674],0
u3,1,0.510671,0.432692,[1 3] ; [11 15],[1.6 2.4] ; [10.4 15.6],0
a4,1,0.512602,0.428752,[9 9] ; [29 41],[ 7.77272727 10.22727273] ; [30.22727273 39.77272727],0
u1,1,0.519811,0.414269,[ 3 15] ; [ 8 64],[ 2.2 15.8] ; [ 8.8 63.2],0
b1,1,0.525449,0.403186,[11  7] ; [38 34],[9.8 8.2] ; [39.2 32.8],0
p5,1,0.565273,0.330655,[ 1 17] ; [ 2 69],[ 0.60674157 17.39325843] ; [ 2.39325843 68.60674157],0
n1,1,0.703004,0.145366,[4 6] ; [15 17],[4.52380952 5.47619048] ; [14.47619048 17.52380952],0
v3,1,0.72674,0.122126,[ 6 11] ; [21 47],[ 5.4 11.6] ; [21.6 46.4],0
a1,1,0.756495,0.096154,[ 2 16] ; [10 62],[ 2.4 15.6] ; [ 9.6 62.4],0
p8,1,0.768625,0.086538,[ 3 15] ; [14 57],[ 3.43820225 14.56179775] ; [13.56179775 57.43820225],0
a2,1,0.897241,0.016679,[ 4 14] ; [15 57],[ 3.8 14.2] ; [15.2 56.8],0
