Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2e-06,22.62125,[108 154] ; [16 89],[ 88.52316076 173.47683924] ; [35.47683924 69.52316076],1
p9,1,2e-06,22.604874,[221  43] ; [61 40],[203.96712329  60.03287671] ; [78.03287671 22.96712329],1
p7,1,3.4e-05,17.202776,[143 116] ; [32 71],[125.20718232 133.79281768] ; [49.79281768 53.20718232],1
p10,1,0.000314,12.986306,[205  61] ; [60 43],[191.0298103  74.9701897] ; [73.9701897 29.0298103],1
p11,1,0.000572,11.864247,[211  58] ; [64 41],[197.79411765  71.20588235] ; [77.20588235 27.79411765],1
v4,1,0.001096,10.658745,[254  12] ; [90 15],[246.64150943  19.35849057] ; [97.35849057  7.64150943],0
b1,1,0.002969,8.826245,[ 84 185] ; [50 55],[ 96.37967914 172.62032086] ; [37.62032086 67.37967914],0
s1,1,0.0065,7.406172,[  5 260] ; [ 8 96],[  9.33604336 255.66395664] ; [  3.66395664 100.33604336],0
u4,1,0.009288,6.766625,[  1 268] ; [  4 101],[  3.59625668 265.40374332] ; [  1.40374332 103.59625668],0
d5,1,0.03281,4.555683,[209  59] ; [70 34],[201.  67.] ; [78. 26.],0
r1,1,0.049985,3.84195,[209  58] ; [72 33],[201.68548387  65.31451613] ; [79.31451613 25.68548387],0
n6,1,0.071896,3.239203,[216  51] ; [76 29],[209.58064516  57.41935484] ; [82.41935484 22.58064516],0
v1,1,0.088831,2.895424,[120 139] ; [38 66],[112.73278237 146.26721763] ; [45.26721763 58.73278237],0
p1,1,0.117077,2.455988,[ 10 257] ; [ 8 97],[ 12.91935484 254.08064516] ; [ 5.08064516 99.91935484],0
r2,1,0.120325,2.41308,[252  14] ; [93 10],[248.69918699  17.30081301] ; [96.30081301  6.69918699],0
r4,1,0.122502,2.385031,[241  28] ; [88 17],[236.63368984  32.36631016] ; [92.36631016 12.63368984],0
n1,1,0.183404,1.769826,[21 51] ; [17 24],[24.21238938 47.78761062] ; [13.78761062 27.21238938],0
s4,1,0.189381,1.722429,[ 39 228] ; [21 83],[ 43.18059299 223.81940701] ; [16.81940701 87.18059299],0
s3,1,0.19995,1.642743,[143 124] ; [48 56],[137.45822102 129.54177898] ; [53.54177898 50.45822102],0
a6,1,0.204725,1.608342,[181  87] ; [63 41],[175.78494624  92.21505376] ; [68.21505376 35.78494624],0
d2,1,0.207311,1.590108,[106 163] ; [48 55],[111.36021505 157.63978495] ; [42.63978495 60.36021505],0
d3,1,0.216759,1.525699,[170  97] ; [59 45],[164.80592992 102.19407008] ; [64.19407008 39.80592992],0
s6,1,0.275961,1.186873,[153 112] ; [53 50],[148.3423913 116.6576087] ; [57.6576087 45.3423913],0
a7,1,0.349015,0.877034,[187  81] ; [68 37],[183.21715818  84.78284182] ; [71.78284182 33.21715818],0
a8,1,0.355809,0.852633,[ 38 208] ; [12 91],[ 35.24355301 210.75644699] ; [14.75644699 88.24355301],0
a1,1,0.396291,0.719552,[  8 261] ; [  5 100],[  9.35026738 259.64973262] ; [  3.64973262 101.35026738],0
a4,1,0.398252,0.713596,[100 169] ; [44 61],[103.57219251 165.42780749] ; [40.42780749 64.57219251],0
n3,1,0.404728,0.694235,[55 20] ; [25 13],[53.09734513 21.90265487] ; [26.90265487 11.09734513],0
