Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4.8e-05,16.540196,[13  3] ; [35 84],[ 5.68888889 10.31111111] ; [42.31111111 76.68888889],1
p7,1,0.000166,14.183042,[11  5] ; [27 89],[ 4.60606061 11.39393939] ; [33.39393939 82.60606061],1
p8,1,0.001112,10.631395,[9 7] ; [23 96],[ 3.79259259 12.20740741] ; [28.20740741 90.79259259],0
p3,1,0.004048,8.262,[9 7] ; [27 93],[ 4.23529412 11.76470588] ; [31.76470588 88.23529412],0
s2,1,0.004718,7.98464,[9 7] ; [27 91],[ 4.29850746 11.70149254] ; [31.70149254 86.29850746],0
s7,1,0.014864,5.932481,[ 6 10] ; [15 97],[ 2.625 13.375] ; [18.375 93.625],0
p12,1,0.015989,5.80404,[ 2 14] ; [  2 118],[ 0.47058824 15.52941176] ; [  3.52941176 116.47058824],0
p4,1,0.049473,3.859246,[7 9] ; [25 92],[ 3.84962406 12.15037594] ; [28.15037594 88.84962406],0
s5,1,0.05458,3.694861,[ 5 10] ; [16 99],[ 2.42307692 12.57692308] ; [18.57692308 96.42307692],0
r4,1,0.087742,2.915324,[13  3] ; [71 49],[9.88235294 6.11764706] ; [74.11764706 45.88235294],0
v2,1,0.089683,2.880058,[9 6] ; [42 71],[5.9765625 9.0234375] ; [45.0234375 67.9765625],0
p9,1,0.141987,2.156295,[10  6] ; [49 65],[7.26153846 8.73846154] ; [51.73846154 62.26153846],0
r3,1,0.154479,2.027453,[14  2] ; [84 35],[11.61481481  4.38518519] ; [86.38518519 32.61481481],0
v4,1,0.154479,2.027453,[14  2] ; [84 35],[11.61481481  4.38518519] ; [86.38518519 32.61481481],0
p5,1,0.159867,1.975482,[ 2 14] ; [  5 114],[ 0.82962963 15.17037037] ; [  6.17037037 112.82962963],0
r2,1,0.204506,1.609899,[15  1] ; [93 22],[13.19083969  2.80916031] ; [94.80916031 20.19083969],0
n6,1,0.204583,1.609352,[12  4] ; [69 49],[9.67164179 6.32835821] ; [71.32835821 46.67164179],0
s3,1,0.216136,1.529843,[7 8] ; [36 81],[ 4.88636364 10.11363636] ; [38.11363636 78.88636364],0
a7,1,0.236603,1.400719,[12  4] ; [71 48],[9.83703704 6.16296296] ; [73.16296296 45.83703704],0
p10,1,0.27698,1.181847,[9 7] ; [49 68],[6.97744361 9.02255639] ; [51.02255639 65.97744361],0
a6,1,0.284764,1.14421,[11  5] ; [65 54],[9.00740741 6.99259259] ; [66.99259259 52.00740741],0
s1,1,0.307008,1.043505,[ 3 13] ; [ 12 106],[ 1.79104478 14.20895522] ; [ 13.20895522 104.79104478],0
a2,1,0.309296,1.033678,[ 1 15] ; [ 19 101],[ 2.35294118 13.64705882] ; [ 17.64705882 102.35294118],0
s4,1,0.323384,0.975209,[ 4 12] ; [ 18 100],[ 2.62686567 13.37313433] ; [19.37313433 98.62686567],0
v3,1,0.340677,0.907881,[6 9] ; [32 82],[ 4.41860465 10.58139535] ; [33.58139535 80.41860465],0
p11,1,0.361989,0.830979,[9 7] ; [53 67],[7.29411765 8.70588235] ; [54.70588235 65.29411765],0
v1,1,0.375647,0.7849,[ 6 10] ; [32 87],[ 4.5037037 11.4962963] ; [33.4962963 85.5037037],0
u2,1,0.408602,0.682863,[3 2] ; [20 29],[2.12962963 2.87037037] ; [20.87037037 28.12962963],0
d5,1,0.422059,0.644576,[8 8] ; [72 47],[9.48148148 6.51851852] ; [70.51851852 48.48148148],0
n3,1,0.44008,0.596074,[3 1] ; [27 22],[2.26415094 1.73584906] ; [27.73584906 21.26415094],0
b4,1,0.451144,0.567776,[10  6] ; [63 57],[8.58823529 7.41176471] ; [64.41176471 55.58823529],0
a3,1,0.469217,0.52382,[11  5] ; [70 48],[9.67164179 6.32835821] ; [71.32835821 46.67164179],0
a5,1,0.526663,0.400825,[8 8] ; [70 50],[9.17647059 6.82352941] ; [68.82352941 51.17647059],0
u3,1,0.549939,0.357427,[3 2] ; [23 27],[2.36363636 2.63636364] ; [23.63636364 26.36363636],0
u1,1,0.570914,0.321155,[ 1 15] ; [ 13 107],[ 1.64705882 14.35294118] ; [ 12.35294118 107.64705882],0
a1,1,0.570914,0.321155,[ 1 15] ; [ 13 107],[ 1.64705882 14.35294118] ; [ 12.35294118 107.64705882],0
p1,1,0.580976,0.304659,[ 2 14] ; [ 10 110],[ 1.41176471 14.58823529] ; [ 10.58823529 109.41176471],0
a4,1,0.593062,0.285588,[ 5 11] ; [45 73],[ 5.97014925 10.02985075] ; [44.02985075 73.97014925],0
a8,1,0.660035,0.193481,[ 1 15] ; [ 11 103],[ 1.47692308 14.52307692] ; [ 10.52307692 103.47692308],0
d1,1,0.703389,0.14497,[ 6 10] ; [51 69],[6.70588235 9.29411765] ; [50.29411765 69.70588235],0
b1,1,0.706021,0.142284,[8 8] ; [54 66],[7.29411765 8.70588235] ; [54.70588235 65.29411765],0
n1,1,0.730464,0.118686,[2 2] ; [21 30],[1.67272727 2.32727273] ; [21.32727273 29.67272727],0
n4,1,0.730628,0.118536,[10  6] ; [69 50],[9.36296296 6.63703704] ; [69.63703704 49.36296296],0
r1,1,0.730628,0.118536,[10  6] ; [69 50],[9.36296296 6.63703704] ; [69.63703704 49.36296296],0
d2,1,0.738605,0.111357,[ 6 10] ; [49 68],[6.61654135 9.38345865] ; [48.38345865 68.61654135],0
n5,1,0.86556,0.028663,[9 7] ; [69 49],[9.31343284 6.68656716] ; [68.68656716 49.31343284],0
b2,1,0.903897,0.014578,[3 5] ; [27 41],[3.15789474 4.84210526] ; [26.84210526 41.15789474],0
b3,1,0.903897,0.014578,[3 5] ; [27 41],[3.15789474 4.84210526] ; [26.84210526 41.15789474],0
d3,1,0.924553,0.008968,[8 8] ; [61 58],[8.17777778 7.82222222] ; [60.82222222 58.17777778],0
b5,1,0.924763,0.008918,[9 7] ; [66 54],[8.82352941 7.17647059] ; [66.17647059 53.82352941],0
d4,1,0.989802,0.000163,[11  5] ; [82 37],[11.02222222  4.97777778] ; [81.97777778 37.02222222],0
