Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,1.1e-05,19.322093,[48 31] ; [ 2 21],[38.7254902 40.2745098] ; [11.2745098 11.7254902],1
a6,1,4e-05,16.860995,[55 24] ; [ 5 18],[46.47058824 32.52941176] ; [13.52941176  9.47058824],1
d4,1,5e-05,16.443015,[69 10] ; [11 12],[61.96078431 17.03921569] ; [18.03921569  4.96078431],1
a3,1,0.000127,14.68573,[59 19] ; [ 7 15],[51.48 26.52] ; [14.52  7.48],1
a4,1,0.000142,14.475983,[47 32] ; [ 3 19],[39.10891089 39.89108911] ; [10.89108911 11.10891089],1
r1,1,0.000749,11.36364,[65 12] ; [11 11],[59.11111111 17.88888889] ; [16.88888889  5.11111111],1
a5,1,0.000895,11.034037,[60 19] ; [ 9 14],[53.44117647 25.55882353] ; [15.55882353  7.44117647],1
d3,1,0.001963,9.583986,[61 18] ; [10 13],[54.99019608 24.00980392] ; [16.00980392  6.99019608],0
r4,1,0.002036,9.516768,[68 11] ; [13 10],[62.73529412 16.26470588] ; [18.26470588  4.73529412],0
r3,1,0.002961,8.831222,[72  6] ; [15  7],[67.86 10.14] ; [19.14  2.86],0
s8,1,0.004698,7.992244,[39 38] ; [ 4 19],[33.11 43.89] ; [ 9.89 13.11],0
r2,1,0.006025,7.542834,[77  2] ; [18  4],[74.30693069  4.69306931] ; [20.69306931  1.30693069],0
v4,1,0.011644,6.364328,[73  6] ; [16  6],[69.61386139  9.38613861] ; [19.38613861  2.61386139],0
s5,1,0.017632,5.632329,[32 39] ; [ 4 19],[27.19148936 43.80851064] ; [ 8.80851064 14.19148936],0
b5,1,0.029409,4.743533,[57 22] ; [11 12],[52.66666667 26.33333333] ; [15.33333333  7.66666667],0
p2,1,0.029422,4.742731,[61 16] ; [13 10],[56.98 20.02] ; [17.02  5.98],0
p3,1,0.033252,4.53278,[39 37] ; [ 6 17],[34.54545455 41.45454545] ; [10.45454545 12.54545455],0
s4,1,0.043406,4.079529,[18 60] ; [ 1 22],[14.67326733 63.32673267] ; [ 4.32673267 18.67326733],0
u1,1,0.045639,3.994875,[18 61] ; [ 1 22],[14.71568627 64.28431373] ; [ 4.28431373 18.71568627],0
b4,1,0.047423,3.930334,[46 33] ; [ 8 15],[41.82352941 37.17647059] ; [12.17647059 10.82352941],0
a7,1,0.049702,3.851474,[60 19] ; [12 10],[56.31683168 22.68316832] ; [15.68316832  6.31683168],0
p6,1,0.0744,3.183171,[28 47] ; [ 4 19],[24.48979592 50.51020408] ; [ 7.51020408 15.48979592],0
s7,1,0.104721,2.63213,[41 29] ; [ 9 14],[37.6344086 32.3655914] ; [12.3655914 10.6344086],0
p5,1,0.178129,1.813163,[ 6 71] ; [ 4 19],[ 7.7 69.3] ; [ 2.3 20.7],0
