Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,96.033576,[283  56] ; [109 134],[228.32989691 110.67010309] ; [163.67010309  79.32989691],1
p4,1,0.0,55.059365,[269  71] ; [125 125],[227.05084746 112.94915254] ; [166.94915254  83.05084746],1
p3,1,0.0,45.616434,[229 111] ; [ 98 151],[188.76061121 151.23938879] ; [138.23938879 110.76061121],1
p6,1,0.0,44.400739,[183 158] ; [ 65 183],[143.57894737 197.42105263] ; [104.42105263 143.57894737],1
p2,1,0.0,32.257619,[318  23] ; [191  57],[294.68421053  46.31578947] ; [214.31578947  33.68421053],1
p5,1,1e-06,24.496449,[ 73 268] ; [ 16 229],[ 51.79010239 289.20989761] ; [ 37.20989761 207.79010239],1
p11,1,1.2e-05,19.207414,[307  34] ; [192  58],[287.91708968  53.08291032] ; [211.08291032  38.91708968],1
s5,1,0.001009,10.811643,[139 188] ; [ 70 171],[120.3221831 206.6778169] ; [ 88.6778169 152.3221831],0
r4,1,0.001264,10.394963,[321  20] ; [216  34],[309.84263959  31.15736041] ; [227.15736041  22.84263959],0
v4,1,0.001264,10.394812,[331   7] ; [231  19],[323.05442177  14.94557823] ; [238.94557823  11.05442177],0
p1,1,0.001724,9.822251,[ 44 297] ; [ 13 237],[ 32.88832487 308.11167513] ; [ 24.11167513 225.88832487],0
v1,1,0.001945,9.60057,[219 115] ; [126 113],[201.09947644 132.90052356] ; [143.90052356  95.09947644],0
s8,1,0.002534,9.115785,[184 153] ; [105 145],[165.9165247 171.0834753] ; [123.0834753 126.9165247],0
r1,1,0.003005,8.804612,[286  54] ; [184  64],[271.76870748  68.23129252] ; [198.23129252  49.76870748],0
b5,1,0.005248,7.792019,[189 152] ; [167  83],[205.40778342 135.59221658] ; [150.59221658  99.40778342],0
p10,1,0.011902,6.325471,[323  18] ; [222  27],[314.99152542  26.00847458] ; [230.00847458  18.99152542],0
