Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.015768,5.828571,[14  3] ; [16 18],[10.  7.] ; [20. 14.],0
n2,1,0.015931,5.810522,[10  4] ; [ 4 11],[6.75862069 7.24137931] ; [7.24137931 7.75862069],0
d4,1,0.053106,3.740585,[13  5] ; [15 19],[9.69230769 8.30769231] ; [18.30769231 15.69230769],0
b4,1,0.053106,3.740585,[13  5] ; [15 19],[9.69230769 8.30769231] ; [18.30769231 15.69230769],0
v3,1,0.060452,3.52493,[ 6 12] ; [ 4 30],[ 3.46153846 14.53846154] ; [ 6.53846154 27.46153846],0
s8,1,0.079332,3.078526,[ 4 14] ; [ 2 32],[ 2.07692308 15.92307692] ; [ 3.92307692 30.07692308],0
s7,1,0.090635,2.86306,[ 5 10] ; [ 4 28],[ 2.87234043 12.12765957] ; [ 6.12765957 25.87234043],0
v4,1,0.121552,2.397211,[12  6] ; [15 19],[9.34615385 8.65384615] ; [17.65384615 16.34615385],0
a7,1,0.159445,1.979481,[10  8] ; [12 22],[ 7.61538462 10.38461538] ; [14.38461538 19.61538462],0
n4,1,0.159445,1.979481,[ 8 10] ; [22 12],[10.38461538  7.61538462] ; [19.61538462 14.38461538],0
d3,1,0.171068,1.873561,[11  7] ; [14 20],[8.65384615 9.34615385] ; [16.34615385 17.65384615],0
p8,1,0.176435,1.827396,[ 7 11] ; [ 7 26],[ 4.94117647 13.05882353] ; [ 9.05882353 23.94117647],0
n1,1,0.197631,1.659799,[8 6] ; [ 5 10],[6.27586207 7.72413793] ; [6.72413793 8.27586207],0
b3,1,0.214449,1.541137,[4 9] ; [12 11],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
b2,1,0.214449,1.541137,[4 9] ; [12 11],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
p10,1,0.244013,1.357258,[9 9] ; [11 22],[ 7.05882353 10.94117647] ; [12.94117647 20.05882353],0
u3,1,0.259177,1.273148,[2 2] ; [ 4 14],[1.09090909 2.90909091] ; [ 4.90909091 13.09090909],0
