Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.004315,8.146407,[29 21] ; [34 67],[20.86092715 29.13907285] ; [42.13907285 58.86092715],0
v2,1,0.007092,7.249455,[28 21] ; [34 66],[20.38926174 28.61073826] ; [41.61073826 58.38926174],0
v1,1,0.012607,6.223419,[22 27] ; [25 76],[15.35333333 33.64666667] ; [31.64666667 69.35333333],0
u2,1,0.016693,5.728405,[10  4] ; [15 28],[6.14035088 7.85964912] ; [18.85964912 24.14035088],0
s7,1,0.01681,5.716062,[19 26] ; [22 75],[12.99295775 32.00704225] ; [28.00704225 68.99295775],0
r1,1,0.024168,5.082513,[38 12] ; [59 44],[31.69934641 18.30065359] ; [65.30065359 37.69934641],0
s8,1,0.037679,4.319434,[18 32] ; [21 82],[12.74509804 37.25490196] ; [26.25490196 76.74509804],0
p12,1,0.07241,3.227533,[ 4 46] ; [  2 100],[ 1.97368421 48.02631579] ; [ 4.02631579 97.97368421],0
a3,1,0.103878,2.644979,[36 14] ; [59 42],[31.45695364 18.54304636] ; [63.54304636 37.45695364],0
r2,1,0.132753,2.260013,[44  5] ; [80 20],[40.77852349  8.22147651] ; [83.22147651 16.77852349],0
n3,1,0.144808,2.126113,[6 8] ; [31 17],[8.35483871 5.64516129] ; [28.64516129 19.35483871],0
r4,1,0.146172,2.111747,[37 13] ; [64 39],[33.00653595 16.99346405] ; [67.99346405 35.00653595],0
s2,1,0.151645,2.055626,[20 30] ; [29 73],[16.11842105 33.88157895] ; [32.88157895 69.11842105],0
p3,1,0.153052,2.041568,[16 34] ; [22 81],[12.41830065 37.58169935] ; [25.58169935 77.41830065],0
s4,1,0.167522,1.904975,[ 6 43] ; [22 80],[ 9.08609272 39.91390728] ; [18.91390728 83.08609272],0
u3,1,0.168715,1.894326,[9 5] ; [19 25],[6.75862069 7.24137931] ; [21.24137931 22.75862069],0
n1,1,0.175334,1.836735,[ 4 10] ; [24 25],[6.22222222 7.77777778] ; [21.77777778 27.22222222],0
a4,1,0.259655,1.270596,[17 33] ; [44 57],[20.1986755 29.8013245] ; [40.8013245 60.1986755],0
n5,1,0.26662,1.234056,[35 15] ; [62 40],[31.90789474 18.09210526] ; [65.09210526 36.90789474],0
b1,1,0.272271,1.205267,[21 29] ; [53 50],[24.18300654 25.81699346] ; [49.81699346 53.18300654],0
v4,1,0.277615,1.178727,[40 10] ; [74 29],[37.25490196 12.74509804] ; [76.74509804 26.25490196],0
a7,1,0.301571,1.067233,[33 17] ; [59 44],[30.06535948 19.93464052] ; [61.93464052 41.06535948],0
p5,1,0.304052,1.056338,[ 4 46] ; [ 4 96],[ 2.66666667 47.33333333] ; [ 5.33333333 94.66666667],0
a1,1,0.318435,0.995365,[ 7 43] ; [ 9 94],[ 5.22875817 44.77124183] ; [10.77124183 92.22875817],0
d3,1,0.324311,0.971481,[29 21] ; [51 52],[26.14379085 23.85620915] ; [53.85620915 49.14379085],0
r3,1,0.334683,0.930692,[40 10] ; [75 28],[37.58169935 12.41830065] ; [77.41830065 25.58169935],0
b2,1,0.390388,0.737733,[13 19] ; [21 45],[11.10204082 20.89795918] ; [22.89795918 43.10204082],0
b3,1,0.390388,0.737733,[13 19] ; [21 45],[11.10204082 20.89795918] ; [22.89795918 43.10204082],0
n4,1,0.410395,0.677657,[34 16] ; [63 40],[31.69934641 18.30065359] ; [65.30065359 37.69934641],0
n6,1,0.443617,0.586908,[35 15] ; [65 37],[32.89473684 17.10526316] ; [67.10526316 34.89473684],0
a5,1,0.487504,0.482031,[33 17] ; [62 41],[31.04575163 18.95424837] ; [63.95424837 39.04575163],0
p1,1,0.489318,0.478026,[ 5 45] ; [ 7 96],[ 3.92156863 46.07843137] ; [ 8.07843137 94.92156863],0
s1,1,0.489318,0.478026,[ 5 45] ; [ 7 96],[ 3.92156863 46.07843137] ; [ 8.07843137 94.92156863],0
p8,1,0.506965,0.440327,[10 40] ; [16 86],[ 8.55263158 41.44736842] ; [17.44736842 84.55263158],0
a6,1,0.510219,0.433618,[30 20] ; [56 47],[28.10457516 21.89542484] ; [57.89542484 45.10457516],0
d5,1,0.542264,0.371359,[35 15] ; [67 36],[33.33333333 16.66666667] ; [68.66666667 34.33333333],0
d2,1,0.605687,0.266503,[25 25] ; [46 55],[23.50993377 26.49006623] ; [47.49006623 53.50993377],0
b5,1,0.618383,0.248147,[27 23] ; [60 43],[28.43137255 21.56862745] ; [58.56862745 44.43137255],0
b4,1,0.671599,0.179738,[29 21] ; [56 47],[27.77777778 22.22222222] ; [57.22222222 45.77777778],0
p11,1,0.683252,0.166488,[27 23] ; [52 51],[25.81699346 24.18300654] ; [53.18300654 49.81699346],0
p10,1,0.72546,0.123321,[26 23] ; [50 50],[24.99328859 24.00671141] ; [51.00671141 48.99328859],0
d4,1,0.779319,0.078516,[37 13] ; [74 29],[36.2745098 13.7254902] ; [74.7254902 28.2745098],0
s5,1,0.810441,0.057532,[10 40] ; [18 80],[ 9.45945946 40.54054054] ; [18.54054054 79.45945946],0
u1,1,0.81244,0.056301,[ 7 43] ; [13 90],[ 6.53594771 43.46405229] ; [13.46405229 89.53594771],0
p4,1,0.844045,0.0387,[12 36] ; [24 78],[11.52 36.48] ; [24.48 77.52],0
n2,1,0.849749,0.035887,[10  5] ; [32 18],[9.69230769 5.30769231] ; [32.30769231 17.69230769],0
p7,1,0.858748,0.031672,[11 36] ; [25 76],[11.43243243 35.56756757] ; [24.56756757 76.43243243],0
s3,1,0.944183,0.004902,[20 30] ; [41 60],[20.1986755 29.8013245] ; [40.8013245 60.1986755],0
a2,1,0.946574,0.00449,[ 9 41] ; [19 84],[ 9.1503268 40.8496732] ; [18.8496732 84.1503268],0
p9,1,0.954046,0.003321,[25 24] ; [49 48],[24.83561644 24.16438356] ; [49.16438356 47.83561644],0
d1,1,0.96573,0.001846,[23 27] ; [47 56],[22.87581699 27.12418301] ; [47.12418301 55.87581699],0
u4,1,0.980553,0.000594,[ 1 49] ; [  2 101],[ 0.98039216 49.01960784] ; [  2.01960784 100.98039216],0
a8,1,0.996561,1.9e-05,[ 4 41] ; [ 9 92],[ 4.00684932 40.99315068] ; [ 8.99315068 92.00684932],0
