Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3.2e-05,17.296623,[47 26] ; [15 40],[35.359375 37.640625] ; [26.640625 28.359375],1
d4,1,0.000113,14.908402,[60 13] ; [27 27],[50.00787402 22.99212598] ; [36.99212598 17.00787402],1
d5,1,0.000157,14.287658,[60 13] ; [28 27],[50.1875 22.8125] ; [37.8125 17.1875],1
a2,1,0.000246,13.439701,[21 52] ; [ 2 53],[13.1171875 59.8828125] ; [ 9.8828125 45.1171875],1
a6,1,0.000301,13.067058,[50 23] ; [20 35],[39.921875 33.078125] ; [30.078125 24.921875],1
r3,1,0.00273,8.97966,[63 10] ; [35 20],[55.890625 17.109375] ; [42.109375 12.890625],0
d1,1,0.011682,6.358432,[36 37] ; [15 40],[29.0859375 43.9140625] ; [21.9140625 33.0859375],0
u1,1,0.013599,6.089467,[13 60] ; [ 2 53],[ 8.5546875 64.4453125] ; [ 6.4453125 48.5546875],0
v4,1,0.022613,5.198029,[61 12] ; [35 18],[55.61904762 17.38095238] ; [40.38095238 12.61904762],0
b5,1,0.023083,5.162233,[44 29] ; [22 33],[37.640625 35.359375] ; [28.359375 26.640625],0
v2,1,0.027598,4.852994,[31 40] ; [13 40],[25.19354839 45.80645161] ; [18.80645161 34.19354839],0
a3,1,0.030754,4.666644,[49 23] ; [27 28],[43.08661417 28.91338583] ; [32.91338583 22.08661417],0
r4,1,0.036795,4.359893,[54 19] ; [31 24],[48.4765625 24.5234375] ; [36.5234375 18.4765625],0
u3,1,0.053949,3.714286,[15  9] ; [10 18],[11.53846154 12.46153846] ; [13.46153846 14.53846154],0
p7,1,0.075598,3.157087,[17 55] ; [21 34],[21.54330709 50.45669291] ; [16.45669291 38.54330709],0
s1,1,0.079741,3.070175,[ 4 68] ; [ 8 46],[ 6.85714286 65.14285714] ; [ 5.14285714 48.85714286],0
p4,1,0.095648,2.776646,[24 48] ; [11 44],[19.84251969 52.15748031] ; [15.15748031 39.84251969],0
s3,1,0.139649,2.181818,[24 48] ; [25 29],[28. 44.] ; [21. 33.],0
s6,1,0.206909,1.592922,[31 42] ; [17 37],[27.59055118 45.40944882] ; [20.40944882 33.59055118],0
r1,1,0.208494,1.581853,[54 19] ; [35 20],[50.7578125 22.2421875] ; [38.2421875 16.7578125],0
r2,1,0.209549,1.57454,[63 10] ; [42 12],[60.35433071 12.64566929] ; [44.64566929  9.35433071],0
b3,1,0.225685,1.467851,[18 26] ; [11 28],[15.37349398 28.62650602] ; [13.62650602 25.37349398],0
b2,1,0.225685,1.467851,[18 26] ; [11 28],[15.37349398 28.62650602] ; [13.62650602 25.37349398],0
v3,1,0.233033,1.422254,[24 49] ; [12 40],[21.024 51.976] ; [14.976 37.024],0
a5,1,0.249455,1.326352,[42 31] ; [26 29],[38.78125 34.21875] ; [29.21875 25.78125],0
s5,1,0.317975,0.997256,[11 61] ; [12 42],[13.14285714 58.85714286] ; [ 9.85714286 44.14285714],0
s2,1,0.324653,0.970109,[17 55] ; [17 37],[19.42857143 52.57142857] ; [14.57142857 39.42857143],0
s4,1,0.333635,0.934737,[ 9 64] ; [10 44],[10.92125984 62.07874016] ; [ 8.07874016 45.92125984],0
n5,1,0.370607,0.801627,[38 35] ; [33 22],[40.4921875 32.5078125] ; [30.5078125 24.4921875],0
p2,1,0.399608,0.709506,[36 37] ; [23 32],[33.6484375 39.3515625] ; [25.3515625 29.6484375],0
p5,1,0.401441,0.704005,[ 1 72] ; [ 2 53],[ 1.7109375 71.2890625] ; [ 1.2890625 53.7109375],0
n1,1,0.413457,0.668838,[11 19] ; [ 6 17],[ 9.62264151 20.37735849] ; [ 7.37735849 15.62264151],0
p6,1,0.427124,0.630631,[10 62] ; [ 5 49],[ 8.57142857 63.42857143] ; [ 6.42857143 47.57142857],0
u2,1,0.441074,0.593486,[11 12] ; [10 17],[ 9.66 13.34] ; [11.34 15.66],0
n3,1,0.464622,0.534737,[20 11] ; [12 10],[18.71698113 12.28301887] ; [13.28301887  8.71698113],0
n6,1,0.47487,0.510622,[47 26] ; [32 23],[45.0546875 27.9453125] ; [33.9453125 21.0546875],0
s7,1,0.486751,0.4837,[15 52] ; [14 36],[16.60683761 50.39316239] ; [12.39316239 37.60683761],0
a8,1,0.543631,0.368851,[ 6 63] ; [ 3 49],[ 5.1322314 63.8677686] ; [ 3.8677686 48.1322314],0
p3,1,0.552393,0.353047,[19 53] ; [12 43],[17.57480315 54.42519685] ; [13.42519685 41.57480315],0
n4,1,0.564677,0.33167,[50 23] ; [35 20],[48.4765625 24.5234375] ; [36.5234375 18.4765625],0
v1,1,0.576716,0.311574,[26 47] ; [17 38],[24.5234375 48.4765625] ; [18.4765625 36.5234375],0
a4,1,0.636281,0.223639,[32 41] ; [21 32],[30.70634921 42.29365079] ; [22.29365079 30.70634921],0
p11,1,0.698976,0.14954,[32 41] ; [26 29],[33.078125 39.921875] ; [24.921875 30.078125],0
b4,1,0.728407,0.120579,[46 27] ; [33 22],[45.0546875 27.9453125] ; [33.9453125 21.0546875],0
a1,1,0.843423,0.039013,[ 6 67] ; [ 4 51],[ 5.703125 67.296875] ; [ 4.296875 50.703125],0
d2,1,0.854005,0.03386,[35 38] ; [25 29],[34.48818898 38.51181102] ; [25.51181102 28.48818898],0
p10,1,0.895788,0.017157,[14 58] ; [10 44],[13.71428571 58.28571429] ; [10.28571429 43.71428571],0
s8,1,0.918154,0.010559,[13 60] ; [10 44],[13.22047244 59.77952756] ; [ 9.77952756 44.22047244],0
p1,1,0.943048,0.005104,[ 5 67] ; [ 4 51],[ 5.1023622 66.8976378] ; [ 3.8976378 51.1023622],0
b1,1,0.977645,0.000785,[40 33] ; [30 25],[39.921875 33.078125] ; [30.078125 24.921875],0
n2,1,0.984008,0.000402,[18 13] ; [14 10],[18.03636364 12.96363636] ; [13.96363636 10.03636364],0
