Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,87.458078,[123  13] ; [12 42],[96.63157895 39.36842105] ; [38.36842105 15.63157895],1
s6,1,2.6e-05,17.682751,[118  16] ; [33 21],[107.62765957  26.37234043] ; [43.37234043 10.62765957],1
r2,1,0.009304,6.763498,[130   3] ; [47  6],[126.56451613   6.43548387] ; [50.43548387  2.56451613],0
n2,1,0.020226,5.392253,[32  9] ; [8 9],[28.27586207 12.72413793] ; [11.72413793  5.27586207],0
d1,1,0.021531,5.283323,[90 46] ; [26 28],[83.03157895 52.96842105] ; [32.96842105 21.03157895],0
b3,1,0.031783,4.610182,[40 63] ; [24 17],[45.77777778 57.22222222] ; [18.22222222 22.77777778],0
b2,1,0.031783,4.610182,[40 63] ; [24 17],[45.77777778 57.22222222] ; [18.22222222 22.77777778],0
s8,1,0.032595,4.566925,[93 43] ; [28 26],[86.61052632 49.38947368] ; [34.38947368 19.61052632],0
v4,1,0.037991,4.305411,[128   6] ; [47  7],[124.73404255   9.26595745] ; [50.26595745  3.73404255],0
s4,1,0.063587,3.441252,[ 31 104] ; [ 6 48],[ 26.42857143 108.57142857] ; [10.57142857 43.42857143],0
s5,1,0.109052,2.567911,[55 73] ; [16 37],[50.20994475 77.79005525] ; [20.79005525 32.20994475],0
v3,1,0.182856,1.77426,[47 79] ; [25 27],[50.96629213 75.03370787] ; [21.03370787 30.96629213],0
p9,1,0.204952,1.606727,[117  18] ; [42 11],[114.17553191  20.82446809] ; [44.82446809  8.17553191],0
b5,1,0.206948,1.592648,[96 40] ; [33 21],[92.33684211 43.66315789] ; [36.66315789 17.33684211],0
n5,1,0.20714,1.591301,[103  31] ; [36 17],[99.60427807 34.39572193] ; [39.39572193 13.60427807],0
p7,1,0.230695,1.436573,[69 63] ; [23 31],[65.29032258 66.70967742] ; [26.70967742 27.29032258],0
r1,1,0.255623,1.292308,[110  25] ; [40 14],[107.14285714  27.85714286] ; [42.85714286 11.14285714],0
b4,1,0.268727,1.223233,[80 56] ; [27 27],[76.58947368 59.41052632] ; [30.41052632 23.58947368],0
n4,1,0.275934,1.187007,[111  23] ; [41 13],[108.34042553  25.65957447] ; [43.65957447 10.34042553],0
s1,1,0.287455,1.131502,[ 11 124] ; [ 2 51],[  9.33510638 125.66489362] ; [ 3.66489362 49.33510638],0
a4,1,0.29057,1.11698,[77 59] ; [26 28],[73.72631579 62.27368421] ; [29.27368421 24.72631579],0
a2,1,0.320901,0.985269,[48 88] ; [15 39],[45.09473684 90.90526316] ; [17.90526316 36.09473684],0
d3,1,0.323004,0.976744,[95 40] ; [34 20],[92.14285714 42.85714286] ; [36.85714286 17.14285714],0
