Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000171,14.127343,[13 72] ; [16 17],[20.88983051 64.11016949] ; [ 8.11016949 24.88983051],1
s6,1,0.000901,11.021232,[35 49] ; [25  8],[43.07692308 40.92307692] ; [16.92307692 16.07692308],1
s3,1,0.001174,10.5306,[26 58] ; [21 12],[33.74358974 50.25641026] ; [13.25641026 19.74358974],0
s2,1,0.001286,10.361987,[24 60] ; [20 13],[31.58974359 52.41025641] ; [12.41025641 20.58974359],0
v1,1,0.002914,8.860579,[27 57] ; [20 12],[34.03448276 49.96551724] ; [12.96551724 19.03448276],0
u1,1,0.00564,7.661868,[ 4 81] ; [ 7 26],[ 7.92372881 77.07627119] ; [ 3.07627119 29.92372881],0
a3,1,0.022039,5.242728,[42 43] ; [24  9],[47.54237288 37.45762712] ; [18.45762712 14.54237288],0
a2,1,0.027529,4.857329,[ 6 79] ; [ 7 26],[ 9.36440678 75.63559322] ; [ 3.63559322 29.36440678],0
p6,1,0.029326,4.748377,[ 6 78] ; [ 7 26],[ 9.33333333 74.66666667] ; [ 3.66666667 29.33333333],0
d2,1,0.034001,4.494647,[26 59] ; [17 16],[30.97457627 54.02542373] ; [12.02542373 20.97457627],0
s4,1,0.042744,4.105508,[12 73] ; [10 23],[15.84745763 69.15254237] ; [ 6.15254237 26.84745763],0
s5,1,0.045588,3.996768,[16 63] ; [12 19],[20.10909091 58.89090909] ; [ 7.89090909 23.10909091],0
a8,1,0.056132,3.648137,[ 3 78] ; [ 4 25],[ 5.15454545 75.84545455] ; [ 1.84545455 27.15454545],0
u2,1,0.072682,3.221387,[23 20] ; [7 1],[25.29411765 17.70588235] ; [4.70588235 3.29411765],0
a6,1,0.187753,1.735165,[48 37] ; [23 10],[51.1440678 33.8559322] ; [19.8559322 13.1440678],0
d1,1,0.209232,1.576736,[38 47] ; [19 14],[41.05932203 43.94067797] ; [15.94067797 17.05932203],0
d3,1,0.228354,1.451083,[49 36] ; [23 10],[51.86440678 33.13559322] ; [20.13559322 12.86440678],0
a5,1,0.244564,1.354093,[44 41] ; [21 12],[46.8220339 38.1779661] ; [18.1779661 14.8220339],0
n1,1,0.252023,1.312055,[ 8 22] ; [5 6],[ 9.51219512 20.48780488] ; [3.48780488 7.51219512],0
n4,1,0.253024,1.306529,[29 56] ; [15 18],[31.69491525 53.30508475] ; [12.30508475 20.69491525],0
d5,1,0.261054,1.263158,[64 21] ; [28  5],[66.27118644 18.72881356] ; [25.72881356  7.27118644],0
v2,1,0.267474,1.229654,[40 43] ; [18 12],[42.60176991 40.39823009] ; [15.39823009 14.60176991],0
u3,1,0.270806,1.212661,[25 18] ; [7 2],[26.46153846 16.53846154] ; [5.53846154 3.46153846],0
r4,1,0.31477,1.010555,[62 23] ; [27  6],[64.11016949 20.88983051] ; [24.88983051  8.11016949],0
b4,1,0.328228,0.955878,[51 34] ; [23 10],[53.30508475 31.69491525] ; [20.69491525 12.30508475],0
p2,1,0.339113,0.913782,[52 33] ; [17 16],[49.70338983 35.29661017] ; [19.29661017 13.70338983],0
b1,1,0.343453,0.897499,[31 54] ; [ 9 24],[28.81355932 56.18644068] ; [11.18644068 21.81355932],0
v3,1,0.362565,0.828989,[20 61] ; [10 20],[21.89189189 59.10810811] ; [ 8.10810811 21.89189189],0
r1,1,0.400995,0.705341,[57 27] ; [25  8],[58.87179487 25.12820513] ; [23.12820513  9.87179487],0
p4,1,0.422008,0.644715,[27 58] ; [ 8 25],[25.21186441 59.78813559] ; [ 9.78813559 23.21186441],0
a4,1,0.431986,0.617479,[27 58] ; [13 20],[28.81355932 56.18644068] ; [11.18644068 21.81355932],0
r3,1,0.447698,0.576475,[76  9] ; [31  2],[77.07627119  7.92372881] ; [29.92372881  3.07627119],0
b5,1,0.510449,0.433147,[52 33] ; [18 15],[50.42372881 34.57627119] ; [19.57627119 13.42372881],0
b2,1,0.556299,0.346153,[16 27] ; [ 9 11],[17.06349206 25.93650794] ; [ 7.93650794 12.06349206],0
b3,1,0.556299,0.346153,[16 27] ; [ 9 11],[17.06349206 25.93650794] ; [ 7.93650794 12.06349206],0
r2,1,0.582504,0.302204,[73 11] ; [29  3],[73.86206897 10.13793103] ; [28.13793103  3.86206897],0
d4,1,0.63973,0.219095,[69 16] ; [28  5],[69.87288136 15.12711864] ; [27.12711864  5.87288136],0
p10,1,0.695388,0.153314,[45 39] ; [19 14],[45.94871795 38.05128205] ; [18.05128205 14.94871795],0
p3,1,0.695521,0.153173,[18 66] ; [ 6 27],[17.23076923 66.76923077] ; [ 6.76923077 26.23076923],0
p1,1,0.708953,0.139325,[ 6 79] ; [ 3 30],[ 6.48305085 78.51694915] ; [ 2.51694915 30.48305085],0
a7,1,0.72453,0.124194,[62 23] ; [23 10],[61.22881356 23.77118644] ; [23.77118644  9.22881356],0
p9,1,0.729861,0.11924,[54 30] ; [21 10],[54.7826087 29.2173913] ; [20.2173913 10.7826087],0
p11,1,0.760167,0.093184,[49 36] ; [18 15],[48.26271186 36.73728814] ; [18.73728814 14.26271186],0
p8,1,0.772017,0.083948,[18 67] ; [ 6 26],[17.43589744 67.56410256] ; [ 6.56410256 25.43589744],0
n2,1,0.772484,0.083595,[17 12] ; [7 4],[17.4 11.6] ; [6.6 4.4],0
v4,1,0.836605,0.042534,[73 12] ; [27  5],[72.64957265 12.35042735] ; [27.35042735  4.64957265],0
n3,1,0.850436,0.035556,[19 11] ; [6 4],[18.75 11.25] ; [6.25 3.75],0
n6,1,0.941501,0.005385,[47 38] ; [18 15],[46.8220339 38.1779661] ; [18.1779661 14.8220339],0
