Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,6e-06,20.499617,[57 19] ; [ 1 11],[50.09090909 25.90909091] ; [7.90909091 4.09090909],1
r4,1,0.001525,10.048234,[73  4] ; [8 4],[70.07865169  6.92134831] ; [10.92134831  1.07865169],0
s7,1,0.002422,9.198437,[59 13] ; [5 7],[54.85714286 17.14285714] ; [9.14285714 2.85714286],0
p6,1,0.012105,6.295372,[50 25] ; [3 8],[46.22093023 28.77906977] ; [6.77906977 4.22093023],0
s8,1,0.088679,2.898183,[51 25] ; [5 7],[48.36363636 27.63636364] ; [7.63636364 4.36363636],0
r3,1,0.140433,2.173204,[73  4] ; [10  2],[71.80898876  5.19101124] ; [11.19101124  0.80898876],0
v4,1,0.140433,2.173204,[73  4] ; [10  2],[71.80898876  5.19101124] ; [11.19101124  0.80898876],0
a5,1,0.157172,2.001228,[56 21] ; [11  1],[57.96629213 19.03370787] ; [9.03370787 2.96629213],0
s5,1,0.17487,1.840689,[51 22] ; [6 6],[48.95294118 24.04705882] ; [8.04705882 3.95294118],0
r1,1,0.177537,1.818125,[64 13] ; [8 4],[62.29213483 14.70786517] ; [9.70786517 2.29213483],0
p12,1,0.192685,1.69697,[21 56] ; [ 1 10],[19.25 57.75] ; [2.75 8.25],0
p4,1,0.225298,1.4703,[66  9] ; [9 3],[64.65517241 10.34482759] ; [10.34482759  1.65517241],0
p8,1,0.276026,1.186551,[62 15] ; [8 4],[60.56179775 16.43820225] ; [9.43820225 2.56179775],0
a6,1,0.296519,1.089783,[45 31] ; [9 3],[46.63636364 29.36363636] ; [7.36363636 4.63636364],0
u2,1,0.347756,0.881629,[10  6] ; [1 2],[9.26315789 6.73684211] ; [1.73684211 1.26315789],0
d2,1,0.36419,0.823392,[40 36] ; [8 4],[41.45454545 34.54545455] ; [6.54545455 5.45454545],0
d1,1,0.395202,0.722878,[48 29] ; [9 3],[49.31460674 27.68539326] ; [7.68539326 4.31460674],0
p11,1,0.396609,0.718584,[63 14] ; [11  1],[64.02247191 12.97752809] ; [9.97752809 2.02247191],0
a7,1,0.413047,0.670013,[54 23] ; [7 5],[52.7752809 24.2247191] ; [8.2247191 3.7752809],0
n6,1,0.446478,0.579578,[73  3] ; [10  1],[72.50574713  3.49425287] ; [10.49425287  0.50574713],0
v2,1,0.458608,0.549289,[42 34] ; [8 4],[43.18181818 32.81818182] ; [6.81818182 5.18181818],0
b4,1,0.533519,0.387684,[44 33] ; [8 4],[44.98876404 32.01123596] ; [7.01123596 4.98876404],0
n2,1,0.553516,0.351056,[12  5] ; [1 1],[11.63157895  5.36842105] ; [1.36842105 0.63157895],0
b1,1,0.589206,0.291586,[32 45] ; [4 8],[31.14606742 45.85393258] ; [4.85393258 7.14606742],0
p2,1,0.63862,0.220551,[67 10] ; [9 2],[66.5 10.5] ; [9.5 1.5],0
b5,1,0.680242,0.169854,[37 40] ; [5 7],[36.33707865 40.66292135] ; [5.66292135 6.33707865],0
p7,1,0.695512,0.153183,[58 16] ; [10  2],[58.51162791 15.48837209] ; [9.48837209 2.51162791],0
a4,1,0.705021,0.143301,[34 43] ; [6 6],[34.60674157 42.39325843] ; [5.39325843 6.60674157],0
p1,1,0.73581,0.113844,[22 55] ; [4 8],[22.49438202 54.50561798] ; [3.50561798 8.49438202],0
a3,1,0.73997,0.110153,[61 16] ; [9 3],[60.56179775 16.43820225] ; [9.43820225 2.56179775],0
b3,1,0.756992,0.095749,[28 28] ; [5 4],[28.43076923 27.56923077] ; [4.56923077 4.43076923],0
b2,1,0.756992,0.095749,[28 28] ; [5 4],[28.43076923 27.56923077] ; [4.56923077 4.43076923],0
p10,1,0.805351,0.060726,[67  8] ; [11  1],[67.24137931  7.75862069] ; [10.75862069  1.24137931],0
s1,1,0.826059,0.048294,[ 8 69] ; [ 1 11],[ 7.78651685 69.21348315] ; [ 1.21348315 10.78651685],0
d3,1,0.8303,0.045931,[53 23] ; [8 4],[52.68181818 23.31818182] ; [8.31818182 3.68181818],0
p3,1,0.839795,0.040867,[59 17] ; [9 3],[58.72727273 17.27272727] ; [9.27272727 2.72727273],0
d4,1,0.842292,0.039586,[65 11] ; [10  2],[64.77272727 11.22727273] ; [10.22727273  1.77272727],0
n1,1,0.866815,0.028125,[9 7] ; [1 1],[8.88888889 7.11111111] ; [1.11111111 0.88888889],0
d5,1,0.88358,0.021442,[62 14] ; [10  2],[62.18181818 13.81818182] ; [9.81818182 2.18181818],0
u3,1,0.8908,0.018849,[10  6] ; [2 1],[10.10526316  5.89473684] ; [1.89473684 1.10526316],0
a2,1,0.898833,0.016163,[14 63] ; [ 2 10],[13.84269663 63.15730337] ; [2.15730337 9.84269663],0
v1,1,0.908671,0.013159,[54 22] ; [8 3],[54.16091954 21.83908046] ; [7.83908046 3.16091954],0
n3,1,0.937193,0.006209,[9 8] ; [1 1],[8.94736842 8.05263158] ; [1.05263158 0.94736842],0
p9,1,0.948357,0.004195,[71  6] ; [11  1],[70.94382022  6.05617978] ; [11.05617978  0.94382022],0
v3,1,0.954198,0.003299,[45 31] ; [7 5],[44.90909091 31.09090909] ; [7.09090909 4.90909091],0
r2,1,0.958384,0.002723,[70  6] ; [11  1],[69.95454545  6.04545455] ; [11.04545455  0.95454545],0
