Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,42.215385,[44 12] ; [ 1 27],[30. 26.] ; [15. 13.],1
r1,1,9e-06,19.788462,[44 12] ; [ 8 20],[34.66666667 21.33333333] ; [17.33333333 10.66666667],1
v4,1,1.1e-05,19.414147,[46  9] ; [10 18],[37.10843373 17.89156627] ; [18.89156627  9.10843373],1
v2,1,3e-05,17.433665,[26 25] ; [ 1 26],[17.65384615 33.34615385] ; [ 9.34615385 17.65384615],1
s6,1,4.9e-05,16.476561,[29 26] ; [ 2 26],[20.54216867 34.45783133] ; [10.45783133 17.54216867],1
s2,1,0.000317,12.964286,[26 30] ; [ 2 26],[18.66666667 37.33333333] ; [ 9.33333333 18.66666667],1
a1,1,0.000634,11.674342,[ 1 55] ; [ 7 21],[ 5.33333333 50.66666667] ; [ 2.66666667 25.33333333],1
d4,1,0.001442,10.151805,[45  9] ; [14 14],[38.85365854 15.14634146] ; [20.14634146  7.85365854],0
p4,1,0.002815,8.923476,[21 34] ; [ 2 26],[15.24096386 39.75903614] ; [ 7.75903614 20.24096386],0
d3,1,0.003739,8.40622,[39 15] ; [11 17],[32.92682927 21.07317073] ; [17.07317073 10.92682927],0
p2,1,0.004186,8.201285,[32 23] ; [ 7 21],[25.84337349 29.15662651] ; [13.15662651 14.84337349],0
r2,1,0.004399,8.111434,[50  6] ; [17 10],[45.20481928 10.79518072] ; [21.79518072  5.20481928],0
b5,1,0.005479,7.714286,[34 22] ; [ 8 20],[28. 28.] ; [14. 14.],0
n5,1,0.009036,6.815657,[17 38] ; [17 11],[22.53012048 32.46987952] ; [11.46987952 16.53012048],0
b2,1,0.010134,6.611152,[ 6 25] ; [9 7],[ 9.89361702 21.10638298] ; [ 5.10638298 10.89361702],0
b3,1,0.010134,6.611152,[ 6 25] ; [9 7],[ 9.89361702 21.10638298] ; [ 5.10638298 10.89361702],0
s3,1,0.017602,5.635329,[30 26] ; [ 7 20],[24.96385542 31.03614458] ; [12.03614458 14.96385542],0
p6,1,0.017674,5.628194,[13 40] ; [ 1 27],[ 9.16049383 43.83950617] ; [ 4.83950617 23.16049383],0
s7,1,0.021781,5.263158,[16 34] ; [ 2 23],[12. 38.] ; [ 6. 19.],0
p8,1,0.023342,5.142857,[16 38] ; [ 2 25],[12. 42.] ; [ 6. 21.],0
u3,1,0.02846,4.8,[13  7] ; [3 9],[10. 10.] ; [6. 6.],0
d5,1,0.034284,4.480468,[42 13] ; [15 13],[37.77108434 17.22891566] ; [19.22891566  8.77108434],0
u2,1,0.04295,4.097354,[14  6] ; [4 8],[11.25  8.75] ; [6.75 5.25],0
d1,1,0.043351,4.081656,[29 27] ; [ 8 20],[24.66666667 31.33333333] ; [12.33333333 15.66666667],0
s8,1,0.047221,3.9375,[11 45] ; [ 1 27],[ 8. 48.] ; [ 4. 24.],0
n3,1,0.056846,3.627106,[17  6] ; [7 9],[14.15384615  8.84615385] ; [9.84615385 6.15384615],0
n4,1,0.063399,3.446154,[22 34] ; [17 11],[26. 30.] ; [13. 15.],0
a7,1,0.078624,3.093122,[39 17] ; [14 14],[35.33333333 20.66666667] ; [17.66666667 10.33333333],0
a5,1,0.08736,2.922369,[35 21] ; [12 16],[31.33333333 24.66666667] ; [15.66666667 12.33333333],0
a6,1,0.089135,2.889928,[38 17] ; [14 14],[34.45783133 20.54216867] ; [17.54216867 10.45783133],0
p7,1,0.110621,2.545326,[21 33] ; [ 6 22],[17.7804878 36.2195122] ; [ 9.2195122 18.7804878],0
a2,1,0.124485,2.359965,[14 42] ; [ 3 25],[11.33333333 44.66666667] ; [ 5.66666667 22.33333333],0
p9,1,0.13437,2.241281,[27 26] ; [ 9 18],[23.85 29.15] ; [12.15 14.85],0
s5,1,0.142047,2.155645,[12 37] ; [ 3 25],[ 9.54545455 39.45454545] ; [ 5.45454545 22.54545455],0
n2,1,0.159729,1.976786,[15 10] ; [ 6 10],[12.80487805 12.19512195] ; [8.19512195 7.80487805],0
n1,1,0.184946,1.757424,[ 6 19] ; [7 9],[ 7.92682927 17.07317073] ; [ 5.07317073 10.92682927],0
s4,1,0.226792,1.46087,[12 44] ; [ 3 25],[10. 46.] ; [ 5. 23.],0
p3,1,0.261213,1.262315,[18 36] ; [ 6 22],[15.80487805 38.19512195] ; [ 8.19512195 19.80487805],0
b1,1,0.276657,1.183439,[29 27] ; [18 10],[31.33333333 24.66666667] ; [15.66666667 12.33333333],0
p1,1,0.293114,1.105263,[ 4 52] ; [ 4 24],[ 5.33333333 50.66666667] ; [ 2.66666667 25.33333333],0
d2,1,0.31578,1.006343,[28 27] ; [11 17],[25.84337349 29.15662651] ; [13.15662651 14.84337349],0
b4,1,0.437134,0.603795,[33 23] ; [14 14],[31.33333333 24.66666667] ; [15.66666667 12.33333333],0
v3,1,0.45992,0.546088,[14 34] ; [ 6 22],[12.63157895 35.36842105] ; [ 7.36842105 20.63157895],0
p10,1,0.47227,0.51666,[20 33] ; [ 8 19],[18.55 34.45] ; [ 9.45 17.55],0
a8,1,0.548912,0.359271,[ 6 47] ; [ 2 26],[ 5.2345679 47.7654321] ; [ 2.7654321 25.2345679],0
v1,1,0.745526,0.105329,[20 36] ; [ 9 19],[19.33333333 36.66666667] ; [ 9.66666667 18.33333333],0
a3,1,0.77627,0.08076,[35 21] ; [16 11],[34.40963855 21.59036145] ; [16.59036145 10.40963855],0
s1,1,0.792683,0.069079,[ 5 51] ; [ 3 25],[ 5.33333333 50.66666667] ; [ 2.66666667 25.33333333],0
a4,1,1.0,0.0,[24 32] ; [12 16],[24. 32.] ; [12. 16.],0
