Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2.7e-05,17.633043,[39 24] ; [57  4],[48.77419355 14.22580645] ; [47.22580645 13.77419355],1
p11,1,0.000242,13.471503,[19 44] ; [39 23],[29.232 33.768] ; [28.768 33.232],1
p7,1,0.000525,12.023637,[16 46] ; [35 27],[25.5 36.5] ; [25.5 36.5],1
r3,1,0.000621,11.712724,[39 24] ; [54  7],[47.25 15.75] ; [45.75 15.25],1
s3,1,0.005494,7.709312,[16 46] ; [31 31],[23.5 38.5] ; [23.5 38.5],0
p8,1,0.00639,7.436965,[12 50] ; [26 36],[19. 43.] ; [19. 43.],0
p4,1,0.011108,6.447971,[16 45] ; [30 32],[22.81300813 38.18699187] ; [23.18699187 38.81300813],0
r4,1,0.01146,6.392519,[33 30] ; [46 16],[39.816 23.184] ; [39.184 22.816],0
s2,1,0.011525,6.382474,[11 52] ; [23 38],[17.27419355 45.72580645] ; [16.72580645 44.27419355],0
p6,1,0.018738,5.525847,[ 6 56] ; [16 46],[11. 51.] ; [11. 51.],0
a1,1,0.029084,4.76264,[ 9 54] ; [ 2 60],[ 5.544 57.456] ; [ 5.456 56.544],0
d3,1,0.039587,4.235487,[26 37] ; [37 25],[31.752 31.248] ; [31.248 30.752],0
s7,1,0.042811,4.102864,[ 9 50] ; [18 40],[13.61538462 45.38461538] ; [13.38461538 44.61538462],0
s8,1,0.062837,3.460868,[ 8 55] ; [16 46],[12.096 50.904] ; [11.904 50.096],0
p10,1,0.067424,3.344655,[12 50] ; [21 41],[16.5 45.5] ; [16.5 45.5],0
n3,1,0.073035,3.213458,[11 15] ; [15  7],[14.08333333 11.91666667] ; [11.91666667 10.08333333],0
b2,1,0.098947,2.722438,[14 26] ; [ 7 31],[10.76923077 29.23076923] ; [10.23076923 27.76923077],0
b3,1,0.098947,2.722438,[14 26] ; [ 7 31],[10.76923077 29.23076923] ; [10.23076923 27.76923077],0
a6,1,0.122963,2.379165,[31 32] ; [39 23],[35.28 27.72] ; [34.72 27.28],0
b5,1,0.127719,2.320017,[28 35] ; [36 26],[32.256 30.744] ; [31.744 30.256],0
a7,1,0.135548,2.22779,[33 30] ; [40 21],[37.08870968 25.91129032] ; [35.91129032 25.08870968],0
u2,1,0.144832,2.125853,[10 16] ; [19 14],[12.77966102 13.22033898] ; [16.22033898 16.77966102],0
b1,1,0.180038,1.79731,[39 24] ; [31 31],[35.28 27.72] ; [34.72 27.28],0
u3,1,0.19446,1.683502,[11 16] ; [19 14],[13.5 13.5] ; [16.5 16.5],0
a3,1,0.208135,1.584355,[36 26] ; [29 33],[32.5 29.5] ; [32.5 29.5],0
r1,1,0.210111,1.57066,[38 25] ; [44 18],[41.328 21.672] ; [40.672 21.328],0
u1,1,0.213628,1.546671,[ 4 59] ; [ 8 54],[ 6.048 56.952] ; [ 5.952 56.048],0
p3,1,0.260875,1.264108,[14 49] ; [19 42],[16.76612903 46.23387097] ; [16.23387097 44.76612903],0
n6,1,0.268639,1.223684,[35 27] ; [41 21],[38. 24.] ; [38. 24.],0
s4,1,0.272668,1.203273,[ 8 55] ; [12 48],[10.24390244 52.75609756] ; [ 9.75609756 50.24390244],0
n2,1,0.283272,1.151323,[14 16] ; [13  8],[15.88235294 14.11764706] ; [11.11764706  9.88235294],0
p5,1,0.309377,1.033333,[ 3 59] ; [ 1 61],[ 2. 60.] ; [ 2. 60.],0
a5,1,0.324797,0.969533,[34 29] ; [28 34],[31.248 31.752] ; [30.752 31.248],0
a4,1,0.33353,0.935143,[22 40] ; [17 45],[19.5 42.5] ; [19.5 42.5],0
d5,1,0.365436,0.819125,[41 22] ; [45 17],[43.344 19.656] ; [42.656 19.344],0
s6,1,0.420095,0.65005,[22 41] ; [26 36],[24.192 38.808] ; [23.808 38.192],0
d1,1,0.423548,0.64045,[25 38] ; [29 33],[27.216 35.784] ; [26.784 35.216],0
n5,1,0.423684,0.640074,[37 26] ; [32 30],[34.776 28.224] ; [34.224 27.776],0
d4,1,0.567784,0.326404,[45 18] ; [40 20],[43.53658537 19.46341463] ; [41.46341463 18.53658537],0
a2,1,0.592316,0.286742,[ 8 55] ; [ 6 56],[ 7.056 55.944] ; [ 6.944 55.056],0
n1,1,0.597746,0.278409,[10 18] ; [ 6 15],[ 9.14285714 18.85714286] ; [ 6.85714286 14.14285714],0
r2,1,0.608193,0.262814,[49 12] ; [52 10],[50.08943089 10.91056911] ; [50.91056911 11.08943089],0
n4,1,0.637112,0.222539,[36 27] ; [38 24],[37.296 25.704] ; [36.704 25.296],0
s5,1,0.711665,0.136619,[11 52] ; [ 9 51],[10.24390244 52.75609756] ; [ 9.75609756 50.24390244],0
v2,1,0.787737,0.072496,[20 42] ; [18 42],[19.31147541 42.68852459] ; [18.68852459 41.31147541],0
p1,1,0.794985,0.067518,[ 6 57] ; [ 5 56],[ 5.58870968 57.41129032] ; [ 5.41129032 55.58870968],0
a8,1,0.830781,0.045667,[ 5 56] ; [ 4 52],[ 4.69230769 56.30769231] ; [ 4.30769231 51.69230769],0
b4,1,0.908265,0.013277,[39 24] ; [39 23],[39.312 23.688] ; [38.688 23.312],0
v3,1,0.924914,0.008882,[13 49] ; [13 47],[13.21311475 48.78688525] ; [12.78688525 47.21311475],0
d2,1,0.925178,0.00882,[30 32] ; [29 32],[29.7398374 32.2601626] ; [29.2601626 31.7398374],0
p12,1,0.9909,0.00013,[ 1 62] ; [ 1 61],[ 1.008 61.992] ; [ 0.992 61.008],0
