Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,4e-06,21.13639,[117  14] ; [67 37],[102.57021277  28.42978723] ; [81.42978723 22.57021277],1
p3,1,1.2e-05,19.114461,[104  27] ; [54 49],[88.45299145 42.54700855] ; [69.54700855 33.45299145],1
p5,1,0.000205,13.781894,[44 88] ; [13 91],[ 31.88135593 100.11864407] ; [25.11864407 78.88135593],1
p12,1,0.000849,11.130308,[ 26 106] ; [ 5 98],[ 17.41276596 114.58723404] ; [13.58723404 89.41276596],1
p7,1,0.001339,10.287587,[120  11] ; [78 24],[111.32188841  19.67811159] ; [86.67811159 15.32188841],0
s5,1,0.012811,6.195003,[71 54] ; [41 61],[61.67400881 63.32599119] ; [50.32599119 51.67400881],0
a1,1,0.013225,6.138736,[ 13 119] ; [  2 102],[  8.38983051 123.61016949] ; [ 6.61016949 97.38983051],0
n5,1,0.013925,6.04766,[119  13] ; [81 22],[112.34042553  19.65957447] ; [87.65957447 15.34042553],0
p1,1,0.042869,4.100574,[ 25 106] ; [10 94],[ 19.5106383 111.4893617] ; [15.4893617 88.5106383],0
s2,1,0.046649,3.958004,[104  28] ; [70 34],[97.3220339 34.6779661] ; [76.6779661 27.3220339],0
b2,1,0.060826,3.514718,[42 47] ; [22 46],[36.28025478 52.71974522] ; [27.71974522 40.28025478],0
b3,1,0.060826,3.514718,[42 47] ; [22 46],[36.28025478 52.71974522] ; [27.71974522 40.28025478],0
s1,1,0.067291,3.3479,[  7 125] ; [  1 103],[  4.47457627 127.52542373] ; [  3.52542373 100.47457627],0
v1,1,0.072081,3.234993,[89 42] ; [57 44],[82.43965517 48.56034483] ; [63.56034483 37.43965517],0
p2,1,0.078545,3.09476,[121  11] ; [101   3],[124.16949153   7.83050847] ; [97.83050847  6.16949153],0
s4,1,0.097608,2.744198,[36 95] ; [19 85],[ 30.65957447 100.34042553] ; [24.34042553 79.65957447],0
u4,1,0.117218,2.454104,[  8 124] ; [  2 102],[  5.59322034 126.40677966] ; [ 4.40677966 99.59322034],0
p10,1,0.120808,2.406814,[115  17] ; [97  7],[118.57627119  13.42372881] ; [93.42372881 10.57627119],0
s8,1,0.180825,1.790827,[99 32] ; [69 33],[94.45493562 36.54506438] ; [73.54506438 28.45493562],0
n6,1,0.21077,1.566129,[121   9] ; [91 12],[118.2832618  11.7167382] ; [93.7167382  9.2832618],0
a6,1,0.249273,1.327373,[78 52] ; [70 34],[82.22222222 47.77777778] ; [65.77777778 38.22222222],0
n4,1,0.252851,1.307482,[115  17] ; [85 19],[111.86440678  20.13559322] ; [88.13559322 15.86440678],0
d3,1,0.288498,1.126617,[100  31] ; [73 31],[96.43829787 34.56170213] ; [76.56170213 27.43829787],0
p9,1,0.303318,1.059547,[123   9] ; [93 11],[120.81355932  11.18644068] ; [95.18644068  8.81355932],0
u3,1,0.317731,0.998264,[21  7] ; [11  7],[19.47826087  8.52173913] ; [12.52173913  5.47826087],0
a7,1,0.326084,0.964387,[90 42] ; [77 27],[93.40677966 38.59322034] ; [73.59322034 30.40677966],0
a4,1,0.34293,0.899448,[62 70] ; [42 61],[58.41702128 73.58297872] ; [45.58297872 57.41702128],0
b4,1,0.388106,0.744867,[70 62] ; [61 43],[73.27118644 58.72881356] ; [57.72881356 46.27118644],0
d1,1,0.398098,0.714064,[87 45] ; [63 41],[83.89830508 48.10169492] ; [66.10169492 37.89830508],0
n1,1,0.432004,0.617429,[13 11] ; [ 8 11],[11.72093023 12.27906977] ; [9.27906977 9.72093023],0
d2,1,0.465454,0.532748,[68 63] ; [49 55],[65.2212766 65.7787234] ; [51.7787234 52.2212766],0
d4,1,0.465843,0.531818,[112  18] ; [86 18],[110.  20.] ; [88. 16.],0
a2,1,0.474205,0.51216,[ 29 103] ; [27 77],[ 31.3220339 100.6779661] ; [24.6779661 79.3220339],0
r2,1,0.477005,0.505702,[127   4] ; [98  5],[125.96153846   5.03846154] ; [99.03846154  3.96153846],0
b1,1,0.516246,0.421386,[55 77] ; [39 65],[52.57627119 79.42372881] ; [41.42372881 62.57627119],0
v3,1,0.566527,0.328527,[65 64] ; [48 55],[62.83189655 66.16810345] ; [50.16810345 52.83189655],0
a8,1,0.593763,0.284506,[24 98] ; [16 79],[22.48847926 99.51152074] ; [17.51152074 77.48847926],0
r4,1,0.597875,0.278213,[123   9] ; [95  9],[121.93220339  10.06779661] ; [96.06779661  7.93220339],0
a3,1,0.600458,0.274306,[104  26] ; [86 18],[105.55555556  24.44444444] ; [84.44444444 19.55555556],0
s6,1,0.629781,0.232357,[109  21] ; [87 14],[110.3030303  19.6969697] ; [85.6969697 15.3030303],0
v2,1,0.653001,0.202138,[76 54] ; [62 39],[77.66233766 52.33766234] ; [60.33766234 40.66233766],0
d5,1,0.692706,0.156172,[104  26] ; [81 23],[102.77777778  27.22222222] ; [82.22222222 21.77777778],0
s3,1,0.70721,0.14108,[99 32] ; [80 23],[100.20940171  30.79059829] ; [78.79059829 24.20940171],0
a5,1,0.740084,0.110053,[103  29] ; [83 21],[104.03389831  27.96610169] ; [81.96610169 22.03389831],0
