Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2e-06,22.750034,[94  6] ; [29 17],[84.24657534 15.75342466] ; [38.75342466  7.24657534],1
r3,1,2e-06,22.730179,[91  9] ; [27 20],[80.27210884 19.72789116] ; [37.72789116  9.27210884],1
r4,1,4e-06,21.368885,[82 19] ; [21 27],[69.81879195 31.18120805] ; [33.18120805 14.81879195],1
p10,1,5e-06,20.770592,[76 24] ; [17 29],[63.69863014 36.30136986] ; [29.30136986 16.69863014],1
p9,1,2.7e-05,17.63723,[81 18] ; [22 24],[70.32413793 28.67586207] ; [32.67586207 13.32413793],1
n6,1,7.1e-05,15.792246,[81 20] ; [22 24],[70.76870748 30.23129252] ; [32.23129252 13.76870748],1
r1,1,0.000529,12.009487,[71 30] ; [19 28],[61.41891892 39.58108108] ; [28.58108108 18.41891892],1
v2,1,0.004047,8.262555,[40 54] ; [ 8 37],[32.46043165 61.53956835] ; [15.53956835 29.46043165],0
n3,1,0.006132,7.511148,[22  4] ; [11 12],[17.51020408  8.48979592] ; [15.48979592  7.51020408],0
s5,1,0.014534,5.972063,[25 73] ; [ 4 44],[19.46575342 78.53424658] ; [ 9.53424658 38.46575342],0
s8,1,0.01497,5.92,[31 69] ; [ 6 42],[25. 75.] ; [12. 36.],0
a6,1,0.016965,5.70002,[59 42] ; [18 30],[52.19463087 48.80536913] ; [24.80536913 23.19463087],0
b4,1,0.023751,5.112706,[62 39] ; [20 28],[55.58389262 45.41610738] ; [26.41610738 21.58389262],0
u2,1,0.024307,5.072562,[27 23] ; [ 7 19],[22.36842105 27.63157895] ; [11.63157895 14.36842105],0
p8,1,0.033738,4.507925,[41 58] ; [11 36],[35.26027397 63.73972603] ; [16.73972603 30.26027397],0
s6,1,0.033946,4.497415,[53 45] ; [17 31],[46.98630137 51.01369863] ; [23.01369863 24.98630137],0
r2,1,0.035629,4.41478,[85 15] ; [33 14],[80.27210884 19.72789116] ; [37.72789116  9.27210884],0
b1,1,0.042922,4.098477,[37 64] ; [26 22],[42.70469799 58.29530201] ; [20.29530201 27.70469799],0
a1,1,0.059516,3.550822,[ 3 98] ; [ 5 43],[ 5.42281879 95.57718121] ; [ 2.57718121 45.42281879],0
s4,1,0.071463,3.249104,[20 80] ; [ 4 44],[16.21621622 83.78378378] ; [ 7.78378378 40.21621622],0
u3,1,0.084786,2.970679,[25 25] ; [ 8 19],[21.42857143 28.57142857] ; [11.57142857 15.42857143],0
p2,1,0.093132,2.819386,[69 32] ; [26 22],[64.39597315 36.60402685] ; [30.60402685 17.39597315],0
a7,1,0.112027,2.525384,[55 46] ; [19 28],[50.5 50.5] ; [23.5 23.5],0
s1,1,0.218177,1.516319,[ 5 93] ; [ 5 42],[ 6.75862069 91.24137931] ; [ 3.24137931 43.75862069],0
a5,1,0.256385,1.288175,[50 51] ; [19 29],[46.77181208 54.22818792] ; [22.22818792 25.77181208],0
d4,1,0.261031,1.263282,[53 48] ; [20 27],[49.81756757 51.18243243] ; [23.18243243 23.81756757],0
a2,1,0.30071,1.071045,[ 9 92] ; [ 2 46],[ 7.45637584 93.54362416] ; [ 3.54362416 44.45637584],0
p7,1,0.351716,0.867258,[43 54] ; [17 30],[40.41666667 56.58333333] ; [19.58333333 27.41666667],0
a4,1,0.353719,0.860071,[24 77] ; [ 8 39],[21.83783784 79.16216216] ; [10.16216216 36.83783784],0
s7,1,0.366598,0.815162,[30 66] ; [11 35],[27.71830986 68.28169014] ; [13.28169014 32.71830986],0
n4,1,0.374216,0.789616,[63 37] ; [26 21],[60.54421769 39.45578231] ; [28.45578231 18.54421769],0
n1,1,0.422536,0.643251,[ 8 18] ; [10 14],[ 9.36 16.64] ; [ 8.64 15.36],0
p3,1,0.45563,0.556608,[29 72] ; [11 37],[27.11409396 73.88590604] ; [12.88590604 35.11409396],0
b5,1,0.46112,0.543174,[57 44] ; [24 24],[54.90604027 46.09395973] ; [26.09395973 21.90604027],0
a3,1,0.499401,0.45621,[51 50] ; [20 25],[49.11643836 51.88356164] ; [21.88356164 23.11643836],0
d1,1,0.508095,0.437989,[ 7 94] ; [ 2 46],[ 6.10067114 94.89932886] ; [ 2.89932886 45.10067114],0
n5,1,0.556625,0.345581,[66 33] ; [29 18],[64.41780822 34.58219178] ; [30.58219178 16.41780822],0
p1,1,0.613914,0.254514,[ 8 93] ; [ 5 43],[ 8.81208054 92.18791946] ; [ 4.18791946 43.81208054],0
d3,1,0.634777,0.225638,[42 59] ; [18 30],[40.67114094 60.32885906] ; [19.32885906 28.67114094],0
b3,1,0.669603,0.182067,[20 40] ; [11 18],[20.8988764 39.1011236] ; [10.1011236 18.8988764],0
b2,1,0.669603,0.182067,[20 40] ; [11 18],[20.8988764 39.1011236] ; [10.1011236 18.8988764],0
n2,1,0.686737,0.162641,[20  6] ; [18  7],[19.37254902  6.62745098] ; [18.62745098  6.37254902],0
a8,1,0.697871,0.150696,[ 9 86] ; [ 5 38],[ 9.63768116 85.36231884] ; [ 4.36231884 38.63768116],0
p5,1,0.730302,0.118834,[ 5 95] ; [ 3 44],[ 5.44217687 94.55782313] ; [ 2.55782313 44.44217687],0
v1,1,0.781312,0.077067,[42 56] ; [19 28],[41.22758621 56.77241379] ; [19.77241379 27.22758621],0
d2,1,0.806742,0.059844,[25 76] ; [11 37],[24.40268456 76.59731544] ; [11.59731544 36.40268456],0
s2,1,0.809317,0.058229,[35 64] ; [16 32],[34.34693878 64.65306122] ; [16.65306122 31.34693878],0
u1,1,0.832652,0.044648,[ 5 96] ; [ 2 46],[ 4.74496644 96.25503356] ; [ 2.25503356 45.74496644],0
p4,1,0.876635,0.024098,[35 64] ; [16 31],[34.58219178 64.41780822] ; [16.41780822 30.58219178],0
s3,1,0.912256,0.012143,[47 51] ; [23 24],[47.31034483 50.68965517] ; [22.68965517 24.31034483],0
v3,1,0.929342,0.007863,[27 71] ; [13 33],[27.22222222 70.77777778] ; [12.77777778 33.22222222],0
