Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,5e-05,16.457823,[90 58] ; [ 5 22],[80.34285714 67.65714286] ; [14.65714286 12.34285714],1
d1,1,0.000259,13.343659,[112  36] ; [11 16],[104.02285714  43.97714286] ; [18.97714286  8.02285714],1
a3,1,0.001109,10.636737,[126  21] ; [16 11],[119.96551724  27.03448276] ; [22.03448276  4.96551724],0
a4,1,0.002569,9.090716,[85 63] ; [ 7 20],[77.80571429 70.19428571] ; [14.19428571 12.80571429],0
s8,1,0.002931,8.84963,[94 53] ; [ 9 18],[87.01724138 59.98275862] ; [15.98275862 11.01724138],0
u1,1,0.015383,5.872117,[ 44 104] ; [ 2 25],[ 38.90285714 109.09714286] ; [ 7.09714286 19.90285714],0
v2,1,0.027737,4.844318,[98 49] ; [12 15],[92.93103448 54.06896552] ; [17.06896552  9.93103448],0
p7,1,0.028675,4.787048,[123  24] ; [17  9],[118.95953757  28.04046243] ; [21.04046243  4.95953757],0
r2,1,0.040324,4.204204,[144   4] ; [24  3],[142.08   5.92] ; [25.92  1.08],0
p9,1,0.077302,3.120741,[139   8] ; [23  4],[136.86206897  10.13793103] ; [25.13793103  1.86206897],0
n6,1,0.098617,2.727772,[134  12] ; [22  5],[131.65317919  14.34682081] ; [24.34682081  2.65317919],0
r4,1,0.126813,2.331096,[142   6] ; [24  3],[140.38857143   7.61142857] ; [25.61142857  1.38857143],0
d4,1,0.129195,2.302149,[134  13] ; [22  5],[131.79310345  15.20689655] ; [24.20689655  2.79310345],0
d5,1,0.167001,1.90966,[129  18] ; [21  6],[126.72413793  20.27586207] ; [23.27586207  3.72413793],0
p8,1,0.180027,1.797402,[106  41] ; [16 11],[103.06896552  43.93103448] ; [18.93103448  8.06896552],0
p10,1,0.266163,1.236417,[136  12] ; [23  4],[134.46857143  13.53142857] ; [24.53142857  2.46857143],0
s1,1,0.306037,1.0477,[  5 142] ; [ 2 24],[  5.94797688 141.05202312] ; [ 1.05202312 24.94797688],0
v1,1,0.310031,1.030545,[96 50] ; [15 12],[93.67630058 52.32369942] ; [17.32369942  9.67630058],0
s7,1,0.354189,0.858392,[98 41] ; [14  9],[96.09876543 42.90123457] ; [15.90123457  7.09876543],0
a1,1,0.370895,0.800665,[ 13 135] ; [ 1 26],[ 11.84 136.16] ; [ 2.16 24.84],0
p12,1,0.373085,0.793363,[ 20 127] ; [ 2 25],[ 18.5862069 128.4137931] ; [ 3.4137931 23.5862069],0
a6,1,0.414528,0.665776,[99 48] ; [16 11],[97.15517241 49.84482759] ; [17.84482759  9.15517241],0
d3,1,0.506774,0.440723,[113  35] ; [19  8],[111.63428571  36.36571429] ; [20.36571429  6.63428571],0
v3,1,0.530195,0.394017,[72 75] ; [11 15],[70.52601156 76.47398844] ; [12.47398844 13.52601156],0
a8,1,0.550004,0.35731,[ 17 123] ; [ 2 23],[ 16.12121212 123.87878788] ; [ 2.87878788 22.12121212],0
n4,1,0.576095,0.31259,[121  26] ; [21  6],[119.96551724  27.03448276] ; [22.03448276  4.96551724],0
p2,1,0.59239,0.286628,[132  16] ; [25  2],[132.77714286  15.22285714] ; [24.22285714  2.77714286],0
p6,1,0.612182,0.257009,[85 63] ; [13 12],[83.83815029 64.16184971] ; [14.16184971 10.83815029],0
n1,1,0.634433,0.226097,[14 11] ; [4 2],[14.51612903 10.48387097] ; [3.48387097 2.51612903],0
a7,1,0.691259,0.157725,[99 49] ; [17 10],[98.10285714 49.89714286] ; [17.89714286  9.10285714],0
b4,1,0.724221,0.124484,[93 55] ; [16 11],[92.18285714 55.81714286] ; [16.81714286 10.18285714],0
b1,1,0.754396,0.097874,[61 87] ; [12 15],[61.73714286 86.26285714] ; [11.26285714 15.73714286],0
s3,1,0.757256,0.095535,[99 48] ; [19  8],[99.68965517 47.31034483] ; [18.31034483  8.68965517],0
s6,1,0.77595,0.080998,[126  19] ; [24  3],[126.45348837  18.54651163] ; [23.54651163  3.45348837],0
p4,1,0.789518,0.071255,[123  25] ; [23  4],[123.47428571  24.52571429] ; [22.52571429  4.47428571],0
u2,1,0.801106,0.063462,[13  9] ; [7 4],[13.33333333  8.66666667] ; [6.66666667 4.33333333],0
p5,1,0.894704,0.017518,[ 42 106] ; [ 8 19],[ 42.28571429 105.71428571] ; [ 7.71428571 19.28571429],0
p11,1,0.905258,0.014166,[122  26] ; [22  5],[121.78285714  26.21714286] ; [22.21714286  4.78285714],0
s2,1,0.911075,0.012473,[105  42] ; [19  8],[104.75862069  42.24137931] ; [19.24137931  7.75862069],0
p1,1,0.912667,0.012029,[ 23 124] ; [ 4 23],[ 22.81034483 124.18965517] ; [ 4.18965517 22.81034483],0
s4,1,0.921334,0.009752,[ 35 111] ; [ 6 20],[ 34.80232558 111.19767442] ; [ 6.19767442 19.80232558],0
b5,1,0.935105,0.00663,[78 70] ; [14 13],[77.80571429 70.19428571] ; [14.19428571 12.80571429],0
r1,1,0.942568,0.00519,[126  21] ; [23  4],[125.87931034  21.12068966] ; [23.12068966  3.87931034],0
n3,1,0.949972,0.003937,[17  8] ; [4 2],[16.93548387  8.06451613] ; [4.06451613 1.93548387],0
r3,1,0.960317,0.002476,[142   6] ; [25  1],[142.04597701   5.95402299] ; [24.95402299  1.04597701],0
n5,1,0.985131,0.000347,[120  27] ; [22  5],[119.96551724  27.03448276] ; [22.03448276  4.96551724],0
u3,1,1.0,0.0,[16  6] ; [8 3],[16.  6.] ; [8. 3.],0
