Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000862,11.102397,[44 24] ; [34  2],[51. 17.] ; [27.  9.],1
v2,1,0.002676,9.015928,[18 49] ; [20 15],[24.96078431 42.03921569] ; [13.03921569 21.96078431],0
v3,1,0.005321,7.766921,[16 53] ; [18 18],[22.34285714 46.65714286] ; [11.65714286 24.34285714],0
r4,1,0.007649,7.113772,[42 27] ; [31  5],[47.97142857 21.02857143] ; [25.02857143 10.97142857],0
p2,1,0.011469,6.391193,[32 37] ; [26 10],[38.11428571 30.88571429] ; [19.88571429 16.11428571],0
s7,1,0.020503,5.368565,[16 50] ; [16 18],[21.12 44.88] ; [10.88 23.12],0
n4,1,0.032608,4.566235,[54 15] ; [34  2],[57.82857143 11.17142857] ; [30.17142857  5.82857143],0
v4,1,0.040198,4.209524,[51 17] ; [33  3],[54.92307692 13.07692308] ; [29.07692308  6.92307692],0
r2,1,0.041881,4.140002,[57 11] ; [35  1],[60.15384615  7.84615385] ; [31.84615385  4.15384615],0
n1,1,0.055656,3.662308,[ 9 17] ; [7 3],[11.55555556 14.44444444] ; [4.44444444 5.55555556],0
s6,1,0.061808,3.488199,[30 39] ; [22 13],[34.5 34.5] ; [17.5 17.5],0
p7,1,0.067852,3.334236,[27 41] ; [20 14],[31.33333333 36.66666667] ; [15.66666667 18.33333333],0
r1,1,0.069822,3.287205,[46 23] ; [30  6],[49.94285714 19.05714286] ; [26.05714286  9.94285714],0
a1,1,0.088948,2.893307,[ 9 60] ; [ 1 35],[ 6.57142857 62.42857143] ; [ 3.42857143 32.57142857],0
p3,1,0.100004,2.705482,[16 52] ; [14 22],[19.61538462 48.38461538] ; [10.38461538 25.61538462],0
n6,1,0.10563,2.61841,[49 19] ; [31  5],[52.30769231 15.69230769] ; [27.69230769  8.30769231],0
n3,1,0.113288,2.507744,[12 15] ; [8 3],[14.21052632 12.78947368] ; [5.78947368 5.21052632],0
d3,1,0.118095,2.442408,[35 34] ; [24 12],[38.77142857 30.22857143] ; [20.22857143 15.77142857],0
a2,1,0.122819,2.380997,[ 9 60] ; [ 9 27],[11.82857143 57.17142857] ; [ 6.17142857 29.82857143],0
s3,1,0.14455,2.128841,[29 40] ; [20 15],[32.50961538 36.49038462] ; [16.49038462 18.50961538],0
s2,1,0.187312,1.738636,[21 47] ; [15 19],[24. 44.] ; [12. 22.],0
b5,1,0.197862,1.658087,[35 34] ; [23 13],[38.11428571 30.88571429] ; [19.88571429 16.11428571],0
s8,1,0.227968,1.453497,[16 53] ; [12 23],[18.57692308 50.42307692] ; [ 9.42307692 25.57692308],0
p1,1,0.234343,1.414305,[ 9 60] ; [ 2 34],[ 7.22857143 61.77142857] ; [ 3.77142857 32.22857143],0
s5,1,0.261565,1.260452,[11 56] ; [ 9 26],[13.1372549 53.8627451] ; [ 6.8627451 28.1372549],0
u1,1,0.275205,1.19062,[ 8 61] ; [ 7 29],[ 9.85714286 59.14285714] ; [ 5.14285714 30.85714286],0
