Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,123.872842,[258  67] ; [189 288],[181.14089776 143.85910224] ; [265.85910224 211.14089776],1
v1,1,0.0,41.347583,[221 105] ; [216 266],[176.31435644 149.68564356] ; [260.68564356 221.31435644],1
n4,1,2.7e-05,17.608425,[277  52] ; [352 140],[252.05968331  76.94031669] ; [376.94031669 115.05968331],1
p12,1,6.6e-05,15.921343,[ 40 284] ; [ 23 466],[ 25.10701107 298.89298893] ; [ 37.89298893 451.10701107],1
s7,1,6.9e-05,15.831706,[180 131] ; [206 269],[152.7302799 158.2697201] ; [233.2697201 241.7302799],1
p5,1,9.6e-05,15.204744,[ 53 273] ; [ 37 454],[ 35.91187271 290.08812729] ; [ 54.08812729 436.91187271],1
s8,1,0.000162,14.22853,[169 156] ; [190 302],[142.80905753 182.19094247] ; [216.19094247 275.80905753],1
p3,1,0.000312,12.994525,[186 138] ; [219 273],[160.80882353 163.19117647] ; [244.19117647 247.80882353],1
n5,1,0.000331,12.887557,[268  61] ; [344 145],[246.14669927  82.85330073] ; [365.85330073 123.14669927],1
a1,1,0.000961,10.901254,[ 26 304] ; [ 14 480],[ 16.01941748 313.98058252] ; [ 23.98058252 470.01941748],1
a3,1,0.003608,8.471308,[252  75] ; [333 159],[233.57142857  93.42857143] ; [351.42857143 140.57142857],0
n6,1,0.005706,7.640918,[293  35] ; [405  87],[279.2  48.8] ; [418.8  73.2],0
d1,1,0.006307,7.460302,[210 120] ; [267 227],[191.0315534 138.9684466] ; [285.9684466 208.0315534],0
p8,1,0.010013,6.632556,[186 134] ; [238 249],[168.12887237 151.87112763] ; [255.87112763 231.12887237],0
s4,1,0.018712,5.528239,[ 44 281] ; [ 97 390],[ 56.43472906 268.56527094] ; [ 84.56527094 402.43472906],0
r1,1,0.020029,5.409378,[283  47] ; [389 101],[270.43902439  59.56097561] ; [401.56097561  88.43902439],0
a5,1,0.024928,5.028859,[255  74] ; [348 146],[241.05346294  87.94653706] ; [361.94653706 132.05346294],0
p10,1,0.027271,4.873559,[273  50] ; [382 106],[260.86929716  62.13070284] ; [394.13070284  93.86929716],0
d3,1,0.027551,4.855962,[238  90] ; [321 171],[223.6 104.4] ; [335.4 156.6],0
p7,1,0.028383,4.804674,[217 100] ; [292 188],[202.45043915 114.54956085] ; [306.54956085 173.45043915],0
s5,1,0.034376,4.475921,[125 193] ; [152 323],[111.07944515 206.92055485] ; [165.92055485 309.07944515],0
s2,1,0.039399,4.243569,[182 144] ; [238 253],[167.58873929 158.41126071] ; [252.41126071 238.58873929],0
r3,1,0.045454,4.00172,[320   9] ; [464  28],[314.17295981  14.82704019] ; [469.82704019  22.17295981],0
p1,1,0.053457,3.729586,[ 36 291] ; [ 35 456],[ 28.38264059 298.61735941] ; [ 42.61735941 448.38264059],0
p4,1,0.053689,3.722335,[201 121] ; [273 218],[187.73431734 134.26568266] ; [286.26568266 204.73431734],0
d2,1,0.054316,3.702974,[171 156] ; [224 269],[157.51829268 169.48170732] ; [237.48170732 255.51829268],0
u1,1,0.059984,3.537831,[ 69 261] ; [ 78 416],[ 58.87135922 271.12864078] ; [ 88.12864078 405.87135922],0
u4,1,0.061944,3.484557,[  9 321] ; [  5 489],[  5.60679612 324.39320388] ; [  8.39320388 485.60679612],0
p11,1,0.071704,3.243585,[268  62] ; [375 119],[257.51213592  72.48786408] ; [385.48786408 108.51213592],0
r4,1,0.086026,2.947208,[314  16] ; [455  39],[307.97330097  22.02669903] ; [461.02669903  32.97330097],0
d4,1,0.105931,2.613901,[274  52] ; [393 101],[265.17317073  60.82682927] ; [401.82682927  92.17317073],0
b4,1,0.106878,2.599787,[205 125] ; [279 215],[193.83495146 136.16504854] ; [290.16504854 203.83495146],0
a2,1,0.155569,2.016781,[ 87 243] ; [109 385],[ 78.49514563 251.50485437] ; [117.50485437 376.49514563],0
p9,1,0.160093,1.973348,[277  45] ; [400  86],[269.79455446  52.20544554] ; [407.20544554  78.79455446],0
