Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.008823,6.858348,[ 4 12] ; [12  5],[7.75757576 8.24242424] ; [8.24242424 8.75757576],0
p2,1,0.008823,6.858348,[ 4 12] ; [12  5],[7.75757576 8.24242424] ; [8.24242424 8.75757576],0
d5,1,0.023587,5.124779,[ 6 10] ; [13  4],[9.21212121 6.78787879] ; [9.78787879 7.21212121],0
u2,1,0.060676,3.518804,[1 6] ; [7 5],[2.94736842 4.05263158] ; [5.05263158 6.94736842],0
a3,1,0.081754,3.029692,[9 6] ; [ 5 12],[6.5625 8.4375] ; [7.4375 9.5625],0
a5,1,0.11415,2.495798,[8 8] ; [ 4 13],[ 5.81818182 10.18181818] ; [ 6.18181818 10.81818182],0
n6,1,0.118086,2.442528,[ 6 10] ; [11  6],[8.24242424 7.75757576] ; [8.75757576 8.24242424],0
n2,1,0.196667,1.666955,[1 4] ; [6 5],[2.1875 2.8125] ; [4.8125 6.1875],0
p9,1,0.199543,1.645714,[ 2 14] ; [ 5 11],[ 3.5 12.5] ; [ 3.5 12.5],0
b3,1,0.276116,1.186108,[2 9] ; [5 8],[3.20833333 7.79166667] ; [3.79166667 9.20833333],0
b2,1,0.276116,1.186108,[2 9] ; [5 8],[3.20833333 7.79166667] ; [3.79166667 9.20833333],0
v2,1,0.286201,1.137408,[ 3 13] ; [ 6 11],[ 4.36363636 11.63636364] ; [ 4.63636364 12.36363636],0
p6,1,0.315905,1.005826,[ 1 14] ; [ 3 13],[ 1.93548387 13.06451613] ; [ 2.06451613 13.93548387],0
p4,1,0.324534,0.970588,[ 4 12] ; [ 7 10],[ 5.33333333 10.66666667] ; [ 5.66666667 11.33333333],0
s2,1,0.324534,0.970588,[ 4 12] ; [ 2 15],[ 2.90909091 13.09090909] ; [ 3.09090909 13.90909091],0
n1,1,0.350201,0.872727,[2 3] ; [2 9],[1.25 3.75] ; [2.75 8.25],0
b5,1,0.352957,0.862797,[11  5] ; [9 8],[9.6969697 6.3030303] ; [10.3030303  6.6969697],0
b4,1,0.352957,0.862797,[11  5] ; [9 8],[9.6969697 6.3030303] ; [10.3030303  6.6969697],0
a4,1,0.36214,0.83046,[ 5 11] ; [ 3 14],[ 3.87878788 12.12121212] ; [ 4.12121212 12.87878788],0
n3,1,0.377026,0.780375,[2 3] ; [7 4],[2.8125 2.1875] ; [6.1875 4.8125],0
b1,1,0.392147,0.732274,[9 7] ; [12  5],[10.18181818  5.81818182] ; [10.81818182  6.18181818],0
p3,1,0.414216,0.666667,[ 3 13] ; [ 5 11],[ 4. 12.] ; [ 4. 12.],0
p8,1,0.460866,0.543791,[ 2 13] ; [ 4 13],[ 2.8125 12.1875] ; [ 3.1875 13.8125],0
d1,1,0.475067,0.510165,[ 3 13] ; [ 5 12],[ 3.87878788 12.12121212] ; [ 4.12121212 12.87878788],0
s1,1,0.508688,0.436765,[ 2 14] ; [ 1 16],[ 1.45454545 14.54545455] ; [ 1.54545455 15.45454545],0
p1,1,0.508688,0.436765,[ 2 14] ; [ 1 16],[ 1.45454545 14.54545455] ; [ 1.54545455 15.45454545],0
v3,1,0.508688,0.436765,[ 2 14] ; [ 1 16],[ 1.45454545 14.54545455] ; [ 1.54545455 15.45454545],0
s6,1,0.520171,0.413555,[ 4 12] ; [ 6 11],[ 4.84848485 11.15151515] ; [ 5.15151515 11.84848485],0
s3,1,0.529148,0.396028,[6 9] ; [ 5 12],[5.15625 9.84375] ; [ 5.84375 11.15625],0
p11,1,0.553564,0.350972,[ 5 11] ; [ 7 10],[ 5.81818182 10.18181818] ; [ 6.18181818 10.81818182],0
d3,1,0.578709,0.308326,[ 6 10] ; [8 9],[6.78787879 9.21212121] ; [7.21212121 9.78787879],0
s5,1,0.581815,0.303309,[ 1 15] ; [ 2 15],[ 1.45454545 14.54545455] ; [ 1.54545455 15.45454545],0
a1,1,0.581815,0.303309,[ 1 15] ; [ 2 15],[ 1.45454545 14.54545455] ; [ 1.54545455 15.45454545],0
a6,1,0.597504,0.278776,[7 9] ; [9 8],[7.75757576 8.24242424] ; [8.24242424 8.75757576],0
r1,1,0.605591,0.266645,[ 4 12] ; [ 3 14],[ 3.39393939 12.60606061] ; [ 3.60606061 13.39393939],0
a8,1,0.624206,0.24,[ 2 13] ; [ 3 12],[ 2.5 12.5] ; [ 2.5 12.5],0
s4,1,0.680243,0.169853,[ 2 14] ; [ 3 14],[ 2.42424242 13.57575758] ; [ 2.57575758 14.42424242],0
v1,1,0.737139,0.112658,[ 3 13] ; [ 4 13],[ 3.39393939 12.60606061] ; [ 3.60606061 13.39393939],0
d4,1,0.848698,0.036397,[9 7] ; [9 8],[8.72727273 7.27272727] ; [9.27272727 7.72727273],0
n5,1,0.86583,0.028547,[8 8] ; [8 9],[7.75757576 8.24242424] ; [8.24242424 8.75757576],0
n4,1,0.86583,0.028547,[8 8] ; [9 8],[8.24242424 7.75757576] ; [8.75757576 8.24242424],0
