Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,32.765815,[97 44] ; [ 1 21],[84.77300613 56.22699387] ; [13.22699387  8.77300613],1
d3,1,1e-06,24.546165,[102  39] ; [ 4 18],[91.69325153 49.30674847] ; [14.30674847  7.69325153],1
d5,1,0.000264,13.306577,[122  19] ; [12 10],[115.91411043  25.08588957] ; [18.08588957  3.91411043],1
a5,1,0.006153,7.505055,[114  27] ; [12 10],[108.99386503  32.00613497] ; [17.00613497  4.99386503],0
v1,1,0.009682,6.6925,[78 59] ; [ 6 16],[72.37735849 64.62264151] ; [11.62264151 10.37735849],0
a3,1,0.015123,5.902118,[110  30] ; [12 10],[105.43209877  34.56790123] ; [16.56790123  5.43209877],0
a2,1,0.01661,5.737081,[ 40 101] ; [ 1 21],[ 35.46625767 105.53374233] ; [ 5.53374233 16.46625767],0
d2,1,0.017656,5.629948,[83 58] ; [ 7 15],[77.85276074 63.14723926] ; [12.14723926  9.85276074],0
a4,1,0.01847,5.551046,[70 71] ; [ 5 17],[64.87730061 76.12269939] ; [10.12269939 11.87730061],0
u1,1,0.06291,3.458955,[ 30 111] ; [ 1 21],[ 26.81595092 114.18404908] ; [ 4.18404908 17.81595092],0
s4,1,0.073486,3.203386,[ 27 112] ; [ 8 14],[ 30.2173913 108.7826087] ; [ 4.7826087 17.2173913],0
u2,1,0.116985,2.457234,[14 15] ; [2 8],[11.8974359 17.1025641] ; [4.1025641 5.8974359],0
n5,1,0.131495,2.274761,[98 40] ; [19  3],[100.9125  37.0875] ; [16.0875  5.9125],0
s1,1,0.140374,2.17385,[  4 133] ; [ 2 19],[  5.20253165 131.79746835] ; [ 0.79746835 20.20253165],0
p3,1,0.150942,2.062707,[68 73] ; [ 7 15],[64.87730061 76.12269939] ; [10.12269939 11.87730061],0
r3,1,0.169736,1.885273,[132   8] ; [19  3],[130.49382716   9.50617284] ; [20.50617284  1.49382716],0
v2,1,0.181276,1.787132,[83 54] ; [10 12],[80.13207547 56.86792453] ; [12.86792453  9.13207547],0
b5,1,0.207624,1.587918,[78 63] ; [ 9 13],[75.25766871 65.74233129] ; [11.74233129 10.25766871],0
a8,1,0.255696,1.291909,[ 19 109] ; [ 1 18],[ 17.41496599 110.58503401] ; [ 2.58503401 16.41496599],0
b3,1,0.268833,1.222692,[37 53] ; [2 7],[35.45454545 54.54545455] ; [3.54545455 5.45454545],0
