Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,153.286154,[  8 107] ; [252  93],[65. 50.] ; [195. 150.],1
d5,1,0.0,84.032784,[79 36] ; [338   8],[104.02386117  10.97613883] ; [312.97613883  33.02386117],1
d3,1,0.0,71.240334,[63 52] ; [312  34],[93.54663774 21.45336226] ; [281.45336226  64.54663774],1
u1,1,0.0,36.099977,[  4 111] ; [108 238],[27.93926247 87.06073753] ; [ 84.06073753 261.93926247],1
a2,1,0.0,35.780093,[  8 107] ; [125 221],[33.17787419 81.82212581] ; [ 99.82212581 246.17787419],1
a5,1,0.0,29.150777,[73 42] ; [299  47],[92.79826464 22.20173536] ; [279.20173536  66.79826464],1
a4,1,0.0,28.452261,[35 80] ; [204 141],[59.75 55.25] ; [179.25 165.75],1
a3,1,9e-06,19.712666,[69 46] ; [278  67],[86.75 28.25] ; [260.25  84.75],1
r2,1,5.2e-05,16.360178,[98 16] ; [329  12],[106.98461538   7.01538462] ; [320.01538462  20.98461538],1
r1,1,0.002118,9.444674,[85 30] ; [296  47],[95.66593886 19.33406114] ; [285.33406114  57.66593886],0
n4,1,0.003926,8.317878,[84 31] ; [294  52],[94.29501085 20.70498915] ; [283.70498915  62.29501085],0
s8,1,0.005462,7.719819,[46 69] ; [188 154],[58.88402626 56.11597374] ; [175.11597374 166.88402626],0
v2,1,0.017763,5.619414,[56 55] ; [211 123],[66.6 44.4] ; [200.4 133.6],0
v3,1,0.029716,4.725634,[38 74] ; [149 177],[47.8173516 64.1826484] ; [139.1826484 186.8173516],0
r4,1,0.030721,4.668513,[100  15] ; [323  23],[105.52060738   9.47939262] ; [317.47939262  28.52060738],0
a7,1,0.032103,4.592963,[78 36] ; [271  75],[86.49130435 27.50869565] ; [262.50869565  83.49130435],0
v1,1,0.053513,3.727829,[59 53] ; [211 124],[67.65100671 44.34899329] ; [202.34899329 132.65100671],0
v4,1,0.053604,3.724989,[107   8] ; [333  10],[110.48034934   4.51965066] ; [329.51965066  13.48034934],0
s4,1,0.073138,3.211144,[ 14 100] ; [ 67 273],[20.33920705 93.66079295] ; [ 60.66079295 279.33920705],0
a6,1,0.077306,3.12065,[72 43] ; [247  99],[79.57700651 35.42299349] ; [239.42299349 106.57700651],0
s2,1,0.079597,3.073111,[60 55] ; [209 131],[67.98901099 47.01098901] ; [201.01098901 138.98901099],0
p1,1,0.08141,3.036526,[  6 108] ; [ 37 307],[ 10.70305677 103.29694323] ; [ 32.29694323 311.70305677],0
n5,1,0.096976,2.754588,[85 29] ; [282  63],[91.1503268 22.8496732] ; [275.8496732  69.1503268],0
s5,1,0.101951,2.674762,[37 74] ; [139 191],[44.29931973 66.70068027] ; [131.70068027 198.29931973],0
p12,1,0.113223,2.508648,[  7 107] ; [ 39 307],[ 11.4 102.6] ; [ 34.6 311.4],0
u4,1,0.1171,2.455691,[  1 114] ; [ 13 332],[  3.5 111.5] ; [ 10.5 334.5],0
s3,1,0.156506,2.007667,[62 53] ; [207 130],[68.44026549 46.55973451] ; [200.55973451 136.44026549],0
r3,1,0.168984,1.89193,[108   7] ; [332  11],[110.48034934   4.51965066] ; [329.51965066  13.48034934],0
n6,1,0.183891,1.765892,[96 18] ; [305  38],[100.03063457  13.96936543] ; [300.96936543  42.03063457],0
s6,1,0.190569,1.713212,[80 33] ; [260  78],[85.18847007 27.81152993] ; [254.81152993  83.18847007],0
p6,1,0.203677,1.615807,[51 63] ; [176 165],[56.87472527 57.12527473] ; [170.12527473 170.87472527],0
p3,1,0.241501,1.371812,[73 42] ; [240 106],[78.0802603 36.9197397] ; [234.9197397 111.0802603],0
a8,1,0.299482,1.076498,[17 89] ; [ 37 269],[13.89320388 92.10679612] ; [ 40.10679612 265.89320388],0
n1,1,0.333383,0.935711,[10 12] ; [21 41],[ 8.11904762 13.88095238] ; [22.88095238 39.11904762],0
u3,1,0.392595,0.730889,[27 16] ; [48 20],[29.05405405 13.94594595] ; [45.94594595 22.05405405],0
p9,1,0.398129,0.713969,[100  15] ; [308  35],[102.44541485  12.55458515] ; [305.55458515  37.44541485],0
p11,1,0.465471,0.532708,[93 22] ; [290  56],[95.54229935 19.45770065] ; [287.45770065  58.54229935],0
p8,1,0.483334,0.491331,[78 36] ; [223 121],[74.92139738 39.07860262] ; [226.07860262 117.92139738],0
b1,1,0.495673,0.464188,[49 66] ; [135 211],[45.90021692 69.09978308] ; [138.09978308 207.90021692],0
p10,1,0.51882,0.416239,[96 18] ; [298  46],[98.069869 15.930131] ; [295.930131  48.069869],0
b5,1,0.525585,0.402921,[71 44] ; [202 144],[68.10195228 46.89804772] ; [204.89804772 141.10195228],0
s1,1,0.559885,0.339903,[  3 111] ; [ 13 330],[  3.99124726 110.00875274] ; [ 12.00875274 330.99124726],0
s7,1,0.586013,0.296614,[59 49] ; [189 139],[61.43119266 46.56880734] ; [186.56880734 141.43119266],0
p7,1,0.617845,0.248908,[84 28] ; [249  94],[81.96923077 30.03076923] ; [251.03076923  91.96923077],0
b4,1,0.684505,0.165099,[67 48] ; [209 137],[68.85032538 46.14967462] ; [207.14967462 138.85032538],0
b3,1,0.773094,0.083134,[26 36] ; [ 93 140],[25.01016949 36.98983051] ; [ 93.98983051 139.01016949],0
b2,1,0.773094,0.083134,[26 36] ; [ 93 140],[25.01016949 36.98983051] ; [ 93.98983051 139.01016949],0
n3,1,0.839557,0.04099,[15  7] ; [43 18],[15.37349398  6.62650602] ; [42.62650602 18.37349398],0
n2,1,0.842835,0.03931,[16  6] ; [43 18],[15.63855422  6.36144578] ; [43.36144578 17.63855422],0
p5,1,0.895449,0.017269,[19 95] ; [ 59 284],[19.45733042 94.54266958] ; [ 58.54266958 284.45733042],0
a1,1,0.917281,0.010787,[  7 108] ; [ 22 324],[  7.23427332 107.76572668] ; [ 21.76572668 324.23427332],0
u2,1,0.977079,0.000826,[29 16] ; [43 24],[28.92857143 16.07142857] ; [43.07142857 23.92857143],0
p2,1,0.985946,0.00031,[103  11] ; [311  33],[103.04803493  10.95196507] ; [310.95196507  33.04803493],0
