Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2.5e-05,17.771236,[ 6 31] ; [11  3],[12.33333333 24.66666667] ; [4.66666667 9.33333333],1
v2,1,0.002274,9.314455,[ 7 29] ; [9 5],[11.52 24.48] ; [4.48 9.52],0
r3,1,0.005017,7.873246,[15 21] ; [12  2],[19.44 16.56] ; [7.56 6.44],0
s8,1,0.005564,7.686386,[ 1 36] ; [ 4 10],[ 3.62745098 33.37254902] ; [ 1.37254902 12.62745098],0
p6,1,0.006706,7.35,[ 2 33] ; [5 9],[ 5. 30.] ; [ 2. 12.],0
n6,1,0.014827,5.93692,[12 24] ; [10  4],[15.84 20.16] ; [6.16 7.84],0
b1,1,0.024089,5.08824,[21 16] ; [ 3 11],[17.41176471 19.58823529] ; [6.58823529 7.41176471],0
p2,1,0.028818,4.778439,[11 25] ; [9 5],[14.4 21.6] ; [5.6 8.4],0
s2,1,0.03735,4.334391,[ 4 33] ; [5 9],[ 6.52941176 30.47058824] ; [ 2.47058824 11.52941176],0
p11,1,0.039142,4.254688,[12 25] ; [9 5],[15.23529412 21.76470588] ; [5.76470588 8.23529412],0
r1,1,0.0446,4.033696,[10 27] ; [8 6],[13.05882353 23.94117647] ; [4.94117647 9.05882353],0
p3,1,0.045328,4.006386,[ 6 31] ; [6 8],[ 8.70588235 28.29411765] ; [ 3.29411765 10.70588235],0
p8,1,0.051537,3.790727,[ 6 30] ; [6 8],[ 8.64 27.36] ; [ 3.36 10.64],0
d3,1,0.060683,3.51863,[13 24] ; [9 5],[15.96078431 21.03921569] ; [6.03921569 7.96078431],0
u2,1,0.06399,3.430827,[ 3 16] ; [4 4],[ 4.92592593 14.07407407] ; [2.07407407 5.92592593],0
b5,1,0.072356,3.228738,[16 21] ; [10  4],[18.8627451 18.1372549] ; [7.1372549 6.8627451],0
r4,1,0.080021,3.06448,[ 7 30] ; [6 8],[ 9.43137255 27.56862745] ; [ 3.56862745 10.43137255],0
u3,1,0.136198,2.220395,[ 1 18] ; [2 6],[ 2.11111111 16.88888889] ; [0.88888889 7.11111111],0
d4,1,0.150445,2.06773,[21 16] ; [11  3],[23.21568627 13.78431373] ; [8.78431373 5.21568627],0
a5,1,0.179759,1.799617,[16 21] ; [9 5],[18.1372549 18.8627451] ; [6.8627451 7.1372549],0
b3,1,0.186449,1.745455,[ 9 15] ; [1 7],[ 7.5 16.5] ; [2.5 5.5],0
b2,1,0.186449,1.745455,[ 9 15] ; [1 7],[ 7.5 16.5] ; [2.5 5.5],0
v1,1,0.206994,1.59233,[ 7 30] ; [5 9],[ 8.70588235 28.29411765] ; [ 3.29411765 10.70588235],0
a7,1,0.242325,1.367018,[20 17] ; [5 9],[18.1372549 18.8627451] ; [6.8627451 7.1372549],0
p10,1,0.275641,1.188455,[12 24] ; [7 7],[13.68 22.32] ; [5.32 8.68],0
n4,1,0.276915,1.18217,[27 10] ; [8 6],[25.39215686 11.60784314] ; [9.60784314 4.39215686],0
s3,1,0.30474,1.053338,[10 26] ; [6 8],[11.52 24.48] ; [4.48 9.52],0
p5,1,0.306934,1.043823,[ 2 34] ; [ 2 12],[ 2.88 33.12] ; [ 1.12 12.88],0
p9,1,0.324198,0.971935,[15 21] ; [8 6],[16.56 19.44] ; [6.44 7.56],0
v3,1,0.325436,0.966975,[ 4 33] ; [ 3 11],[ 5.07843137 31.92156863] ; [ 1.92156863 12.07843137],0
n3,1,0.368066,0.810185,[ 7 11] ; [2 1],[ 7.71428571 10.28571429] ; [1.28571429 1.71428571],0
d1,1,0.374813,0.787645,[11 26] ; [6 8],[12.33333333 24.66666667] ; [4.66666667 9.33333333],0
d5,1,0.407431,0.686284,[19 18] ; [9 5],[20.31372549 16.68627451] ; [7.68627451 6.31372549],0
b4,1,0.430947,0.62027,[23 14] ; [7 7],[21.76470588 15.23529412] ; [8.23529412 5.76470588],0
p12,1,0.465994,0.531459,[ 1 36] ; [ 1 13],[ 1.45098039 35.54901961] ; [ 0.54901961 13.45098039],0
p1,1,0.528589,0.397104,[ 5 32] ; [ 1 13],[ 4.35294118 32.64705882] ; [ 1.64705882 12.35294118],0
